source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
129215.7897967144,30590949441.107967,174902.68563149043,537802.8586566019,938015876432.9109,968512.1973588722,229911.09675167451,111437708245.08247,333822.8695657062,693260.5727759913,1203719819156.6497,1097141.6586551846,,,,,
129834.05641480612,31327894888.111336,176996.8781874735,509978.2928847988,844016909168.6051,918703.9290046631,310367.1790312911,274939518463.54596,524346.7540316675,568186.4208042673,925553431975.7192,962056.8756449481,,,,,
242362.72873977802,251899007380.82675,501895.41478362476,466130.8828589635,532951813455.5683,730035.4878056054,220404.2784831234,126245697774.88277,355310.70596716163,635204.6712077614,821859298708.8832,906564.558489291,,,,,
131041.62385479364,29321360578.05241,171234.8112331497,489902.4626977423,603289842771.0364,776717.350630869,269309.5089234466,146004938076.56638,382105.9252047348,698309.858687581,928307646543.6073,963487.2321642914,,,,,
163363.3810712803,48846199615.10825,221011.7635220086,710615.8860749223,2158355269973.007,1469134.190594245,412020.2917082741,326783571940.43524,571649.868311395,952955.202874507,2644798617309.845,1626283.682913238,,,,,
106726.084458634,19009703626.260357,137875.68177985688,461575.80385267147,581070716064.8401,762279.9459941473,245720.56837823152,123651147990.1238,351640.6517883332,544510.151598744,729517777205.6122,854118.1283672723,,,,,
139651.73438101634,37759010293.17083,194316.77820808688,551074.2845392324,939773792280.6893,969419.3067402203,297340.56609643536,159727888799.03482,399659.71625751175,744794.7976359891,1357752289327.007,1165226.2824563335,,,,,
185040.15636341734,59378229554.78624,243676.48543670814,559594.8928200789,1410025583625.0723,1187444.9813044276,383958.4649057345,323421083846.519,568701.2254659901,665470.0949125792,1518491223980.549,1232270.759200489,,,,,
200664.87734742276,101646892972.85289,318821.09869463294,604950.8739285662,877922253069.7222,936975.0546677975,276847.8647561834,128427772178.47832,358368.20754424954,724634.9521162442,1142077685898.6392,1068680.3478583477,,,,,
139789.3642041219,44552242533.377174,211074.02145545333,675147.741301023,1910178036715.2593,1382091.9060305865,407661.72713191144,547398784825.23517,739864.0313092908,825921.054272718,2003476516809.5176,1415442.1630040267,,,,,
127518.55705037543,31712091142.603592,178078.89022173177,525980.8029036678,705085817380.516,839693.8831386805,288913.4372030481,173134787948.9119,416094.6862781498,724100.4494842812,1056777843128.3564,1027997.0054082631,,,,,
189928.81403830505,135634802216.44524,368286.304682166,571431.9234533645,1502678273460.657,1225837.7843175894,452644.14042210276,522435230294.7619,722796.811209597,662060.1125131184,1612489274843.0298,1269838.2868865742,,,,,
149622.6894927301,43006231565.5411,207379.43862770268,627181.9744961034,1522720275472.9153,1233985.5248230894,297501.5165476064,205270766533.8956,453068.16985294345,727610.1928558974,1657663186933.877,1287502.6939520852,,,,,
202430.0982966113,61227157497.49181,247441.22028775202,500132.6889946011,712260141926.9246,843955.0591867582,243674.09622811704,106498334156.2196,326340.825144847,696463.4632678693,926029921267.4517,962304.4846967366,,,,,
170773.3083057251,61621574918.14216,248236.93302597452,658633.1825629789,1611336911754.5537,1269384.461758751,369934.12589774624,242878812126.18802,492827.3654396517,727684.8837778168,1654404058419.4888,1286236.3928996446,,,,,
129641.39668069594,31549328112.300835,177621.3053445471,552030.3558381617,1158817132324.5146,1076483.6888334698,232852.23923970308,117463358318.31264,342729.27846671146,612077.6277025136,1227225626915.0,1107802.1605480828,,,,,
153375.24395267238,40699695136.81068,201741.65444154234,476106.1957124592,555505751210.1067,745322.5819805185,251007.8084325802,118455755888.55014,344174.01977568,584987.635703936,673353813270.782,820581.3873533703,,,,,
123243.5517243207,27020748095.489082,164379.88957134957,715763.7588056524,1718101982726.8848,1310763.892822382,359501.1129721983,236438629381.72034,486249.55463395576,884002.7599900424,2073687707698.233,1440030.453739862,,,,,
133688.22741133967,29226148889.749424,170956.5701859669,793875.3580129339,2009262492233.923,1417484.5650778434,411359.7915328241,602631116246.9697,776293.1896177949,893325.9039951381,2237887778810.6597,1495957.1447105894,,,,,
136296.68960838887,33070146777.794304,181851.9914045329,504688.15367050783,799137871117.7572,893945.1163901268,220344.82406812307,106077426726.62646,325695.2973664595,631134.2218410538,928596238174.9731,963636.9846446187,,,,,
124527.67210019896,27058339347.497925,164494.19244307053,618170.3128703481,963133857988.6149,981393.8342931521,332642.60911221796,206001909258.22507,453874.33201077266,788965.2990279609,1374813130989.716,1172524.2560346955,,,,,
141515.86546066758,64926689810.560646,254807.16200797938,683152.775190519,1643941405293.0356,1282162.784241157,393810.6991509878,353530827830.2617,594584.584252116,800670.8758564893,1821404355295.1382,1349594.1446579925,,,,,
142408.76937981823,34962677207.347115,186983.0933730296,888509.0196593553,3698631622281.496,1923182.6804236502,404668.8203717234,331025609679.9119,575348.2507837422,933693.5619325251,3338671659488.965,1827203.2343143893,,,,,
169590.86362359542,53520252231.482254,231344.4449981072,506718.1549514067,746194829480.0029,863825.693922103,309616.97705898865,203587440626.46863,451206.64958139596,745854.2140059434,1054510620252.5481,1026893.675242256,,,,,
131749.05305154386,31954096163.547543,178757.08703027005,608976.0965270032,904367645572.6675,950982.463336032,287126.8042683393,147957778574.6375,384652.80263458047,760229.4874640692,1172950838305.5703,1083028.5491645962,,,,,
298011.0533347928,209959308438.98563,458213.16921165155,518562.3078424934,747015256085.6217,864300.4431825902,267729.3817172534,132702447475.76192,364283.4713183703,886954.5372143975,1470214461371.498,1212524.0044516637,,,,,
220296.00412636297,199278856068.6806,446406.6039707305,647542.5867375535,1187876827900.6345,1089897.622669503,392144.16340153845,312718182744.39825,559212.1089035879,770878.9394419503,1328308939440.7249,1152522.858532847,,,,,
116024.74437847555,25931984140.539165,161034.10862466114,596553.2100278529,1301269679207.11,1140732.0803795736,292129.6813139133,181568063381.9723,426108.0419118751,695609.5030646904,1372208424620.2861,1171413.0034365703,,,,,
132979.8917370586,35733755297.80215,189033.74116226487,480788.95725673233,685770891783.8019,828112.8496671222,232198.4233893956,93766644549.44469,306213.3970770134,555733.3837682976,788981991151.4879,888246.5824034945,,,,,
165558.7359192377,52546963339.09326,229231.24424714284,476224.4863229765,511100732520.7004,714913.0943832967,206375.91605492504,77788278111.41948,278905.50032478647,580084.6747034845,624636828730.5334,790339.6919872704,,,,,
146168.60025569264,78080692714.77504,279429.2266653133,505344.65079250303,641619327528.1316,801011.4403228781,284024.03248691245,143659913353.6298,379024.95083256694,555491.7043785998,683669876559.5338,826843.3204419891,,,,,
147250.9266653444,83105366682.83186,288280.0143659492,731162.1333606989,3169021965997.0073,1780174.7009765664,583515.8055395961,1136692119075.2192,1066157.6426941839,821025.6540831134,3326166555691.6963,1823778.099356305,,,,,
161878.00920576596,45471661426.06072,213240.8530888505,631059.8282545805,1917878170954.3628,1384874.7852980655,364785.91034889006,276157472179.0798,525506.8716763653,729019.24603246,1825310533502.4062,1351040.5373275836,,,,,
162714.64035052265,46162667069.572495,214854.99079512325,689419.5506615366,1340523016815.2117,1157809.577095997,330783.86826557457,237256346376.58737,487089.669749408,805277.9428542886,1526313006019.8425,1235440.4097405276,,,,,
255799.08365380781,194641859505.74374,441182.3426948814,740713.0773220233,1886316603780.5413,1373432.4168959102,442973.8121075877,372075205821.2293,609979.676564088,961228.9416244836,2279859885576.287,1509920.489819344,,,,,
137819.98614745284,28061733224.548054,167516.36703483053,788039.5935041212,3591686036559.6235,1895174.4079528996,433759.9973226899,369003095905.87897,607456.2501990403,842936.9819005328,3539739324122.7783,1881419.497114553,,,,,
112979.03494432132,20008596827.58802,141451.74734724214,667807.0475628008,1565716917643.182,1251286.1054304014,311688.28613739344,306345671170.65,553485.0234384396,759322.0304329133,1730111409985.8113,1315336.9948366126,,,,,
158614.20040755678,61195761023.20248,247377.76986463935,524784.9135061551,666537003625.2607,816417.1749940473,244890.58134777294,158341819445.8427,397921.8760584076,686971.1307104724,980948566021.7681,990428.4759748016,,,,,
156402.69035032616,59149010818.28944,243205.696516939,636493.9278808135,1218938673391.282,1104055.5572032062,378178.8234891742,283935731650.2506,532856.2016625598,738386.3186470626,1366137558443.8208,1168818.873240769,,,,,
132068.15312939885,33715252227.955906,183617.13489747056,531702.0822508245,1529476653703.2063,1236720.1193896728,364534.56695093616,431355148502.4604,656776.330650291,588983.338414892,1597904943056.7957,1264082.6488235632,,,,,
140450.59944819647,36571747565.94504,191237.4115228112,687074.1867810965,1613901468928.1443,1270394.2179214074,265908.83086277766,135452215169.89302,368038.33383207925,804756.4853880666,2063704515010.916,1436559.958724632,,,,,
149047.4570601918,65332156724.20231,255601.55853242034,562500.7947016445,1472693066737.5562,1213545.6591070467,281367.5325533098,141899697876.8508,376695.76301950996,621338.3230944693,1563944777297.7153,1250577.777388402,,,,,
150633.05181216382,50730289962.14743,225233.85616320526,462872.81583566853,498628261096.2595,706136.1491215837,227637.7413145529,85125737777.50009,291763.1535638112,499984.01060805353,579158601881.652,761024.7051716862,,,,,
177259.29428777046,58341105764.47863,241539.03569501685,833105.2693318033,4448541473614.331,2109156.5787333883,370539.47657878883,253003991465.88654,502995.0213132199,951267.5601700014,4309003139282.8257,2075813.8498629462,,,,,
193095.41968011402,78743518458.70619,280612.75533857365,508378.73813305795,804568537375.2914,896977.4452990952,334987.90177168656,225322158384.35104,474681.11231051845,609638.4896877025,909439727146.3431,953645.4934336675,,,,,
129350.20349754448,37048311226.948784,192479.37870574289,695678.3840876302,1398146024742.6643,1182432.2495359574,387489.9085214952,258905516110.58124,508827.5897694437,805972.1849793094,1484217843231.3503,1218284.795616916,,,,,
172030.774857551,54082788227.10552,232557.06445323376,696177.8391654571,2071560514388.5125,1439291.6710620236,379842.73495772725,274761643343.01218,524177.1106630012,802273.8153550914,2272087167807.8857,1507344.4091540214,,,,,
212846.35031448957,82314138892.438,286904.4072377383,660985.5743410285,1323707668126.957,1150524.9532830468,366124.98087452585,349899522611.6525,591523.053322229,811426.369861425,1641502096708.344,1281211.1834933162,,,,,
113265.40605391217,23258956731.968037,152508.8742728371,669651.4703100731,1502043407946.9915,1225578.8052781394,344465.5346412124,235450670951.61258,485232.5946920843,797060.9157146147,1701501806037.4907,1304416.2702287529,,,,,
174804.76647983672,52886015522.27468,229969.59695202034,649121.0201625604,3519794634601.5566,1876111.5730684986,309754.57264202775,177357104850.43234,421137.8691716435,736520.8500613977,3366046052467.619,1834678.7327670257,,,,,
160773.14429203767,45283802176.3297,212799.91112857565,449055.92416082224,599902721838.8009,774533.8739130787,237805.50558079177,106052930737.4361,325657.68951068254,766980.8610347941,1295673723208.9546,1138276.646166895,,,,,
193858.06187454713,83101219845.72206,288272.8218991899,610586.5919757895,1930424159104.3362,1389397.0487604816,256381.4327809148,142713962719.81177,377775.01600795647,781922.0419952943,2504027859580.468,1582412.0384970747,,,,,
183304.32353990807,64051520152.908226,253084.01797211185,517630.9065823482,853479069400.7426,923839.3092961257,314811.63120096864,158923594085.94543,398652.2219754274,579294.8755537287,845831754725.1669,919691.1191944646,,,,,
152961.98231595953,43164111127.140205,207759.7437598059,658385.0845609147,1449488947261.3425,1203947.2360786176,335849.1930459479,195197701586.99078,441811.83957312733,779756.9473982069,1679459771667.6587,1295939.7253219993,,,,,
138573.93772796626,31308755570.008495,176942.8031031737,585666.937107326,1354802515561.8547,1163959.8427617056,366512.496512193,268881860975.3312,518538.19625494437,643862.1689104314,1463192530622.3997,1209624.9545302873,,,,,
223650.56357473863,322853279182.7948,568201.7944206044,593416.9461998865,1745135568103.4375,1321035.7936496034,421368.4014072966,610580898437.6249,781396.7612152132,745839.9025826803,1986520820193.55,1409439.8959138165,,,,,
137801.31843225224,34387311965.03611,185438.16210542023,714721.0475820919,1690292135994.6372,1300112.3551426765,364832.95979675464,312955021096.6557,559423.8295752655,835492.2080928141,1927162858923.2756,1388222.9139886992,,,,,
178849.69429523914,70584253212.59517,265676.97155115864,301100.9563020009,240504872993.54657,490412.96168998897,174391.79056764554,69924701448.68996,264432.79193150374,464267.4843847462,390134202264.5698,624607.2384023177,,,,,
106586.7758093118,20840046232.262188,144360.81958849565,716643.1498427063,1729776431054.5544,1315209.6528898175,360212.1699583506,254086195654.16138,504069.6337354209,885311.4689273601,1829391329518.2825,1352549.9360534835,,,,,
128463.60496302118,29154089786.933853,170745.6874621841,538487.0509686121,899008360776.2543,948160.5142465353,276999.5059194875,158386426978.85306,397977.92272794864,626381.2630847367,1036678840344.1869,1018174.2681605084,,,,,
177192.2127776118,88780452123.9489,297960.4875213304,487177.8140285031,650041215730.4055,806251.3353355798,254583.96772012752,125896308921.54128,354818.6986638969,674758.3897701195,1049320643291.4788,1024363.5308285232,,,,,
151375.60460948356,55201962364.0083,234950.97864024382,516069.54527303815,598621090564.8745,773706.0750471554,243050.242985234,121487420637.85391,348550.4563730392,636191.6406901366,857723451137.1792,926133.6032869011,,,,,
117245.95235177771,26133699638.80536,161659.20833285482,576103.7641329226,969685762289.5327,984726.2372301922,326030.97416285425,226016002478.0896,475411.40339509066,634482.8805693813,1058886448210.3549,1029022.0834415337,,,,,
159870.02836765305,71503884602.61661,267402.1028388083,520124.13827671006,664768003018.9515,815333.0626308193,280510.79091194324,188521291125.47363,434190.3858049757,632990.9043249983,870793631543.2915,933163.2394941903,,,,,
184835.25694259847,105360691136.55733,324593.1162803015,684822.0814561712,1551364244890.8188,1245537.733226424,272871.79401247896,129788645165.43053,360261.911899427,786821.321696351,1667660923955.83,1291379.4655157833,,,,,
132365.72788574413,34090242405.348854,184635.43106714066,532344.1140760633,809267179449.6022,899592.7853476829,274400.36261981644,142461638373.14478,377440.907127387,622562.5755875887,972838327056.7058,986325.6698761854,,,,,
141219.06603231758,34315214958.851696,185243.6637481879,570153.8701011741,1905055431419.6016,1380237.454722774,398799.5885695994,564799053635.0996,751531.1394979582,641524.4855888276,2005246145595.913,1416067.1402147263,,,,,
158524.0685753263,60204894330.6702,245366.85662629784,486985.4603925177,789033097614.1893,888275.3501106452,204888.28816696885,65459211039.44145,255849.97760297236,609191.1338519403,1057225076464.516,1028214.5089739378,,,,,
141001.08055195294,43506254223.72238,208581.52896103333,623100.2563199888,1391269165989.7786,1179520.7357184435,368680.0935107603,364897070526.26263,604067.1076347914,730283.1614425633,1517230047125.3765,1231758.924110305,,,,,
225736.35415200822,120905630835.57382,347714.8700236644,526413.895897384,1088441982116.6184,1043284.2288257877,268099.94736910245,290555550670.0008,539032.0497614227,690023.9699648678,1397489584767.969,1182154.6365717005,,,,,
