source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
132556.62272613263,31188349907.821712,176602.2364179506,699166.0320482673,1221807184895.07,1105353.873153331,226260.65964827884,108876263015.37787,329964.03291173704,533431.3971305996,893357475653.8087,945175.8966741634,,1.548299443988387,,,
128358.3763622745,31471005995.732983,177400.69333498384,557853.4717411805,923228895244.4558,960848.0083990681,300226.9911954196,279908480060.80365,529063.7769312918,494375.7333098652,815174524516.1567,902870.1592788172,,1.5405404469294055,,,
250230.90381462287,253010192441.42413,503001.1853280508,631264.8965903373,824179427303.0074,907843.28344875,210692.1347928958,118870714351.212,344776.3251025395,427786.07551900065,451391195047.2156,671856.5286184362,,1.5676613434716509,,,
131797.78168175175,30202152299.112144,173787.66440433034,692741.0803263013,930343122978.0563,964542.9606700037,269463.4553535156,146075639848.77545,382198.4299402281,463625.5946159975,566823341730.5922,752876.7108435432,,1.4671520814723469,,,
157814.09169444244,47291675562.23176,217466.49296439154,906675.2695186342,2504895876234.817,1582686.2848444781,408049.02393987845,345267195188.37036,587594.4138505491,644997.6382589766,1920708687730.5244,1385896.3481193406,,1.6085454117847455,,,
113251.59238631764,22322757173.635124,149408.02245406745,517336.3144292962,683622571871.393,826814.7143534595,237817.32261467166,117567271365.38348,342880.84135072853,443210.8340247036,537841180985.9112,733376.561519327,,1.4973470318575381,,,
146074.93578412652,42823392386.59777,206938.1366171972,728782.4548513422,1363853740552.807,1167841.4877682703,279451.1114752251,146921547259.40128,383303.4662762669,564705.0759211578,948731649851.4893,974028.5672666327,,1.5609743638632794,,,
171463.25404639525,50357032003.025536,224403.72546601258,686996.583767703,1487349605458.7732,1219569.4344557726,386748.2417745306,318631094130.72327,564474.1749014948,584169.4602890447,1386751274256.8027,1177604.0396741184,,1.5145901143781992,,,
207632.9843078625,103411091284.35641,321575.9494806109,727351.1344028112,1132579409543.1555,1064227.1418936634,256736.955231334,125102991498.66527,353699.0125780185,571688.1886773593,793768212521.9348,890936.7051154278,,1.525104519060624,,,
130553.93408065244,38753489074.910904,196859.05890994935,823270.7744564979,1993684786950.672,1411979.0320506436,397338.95209055237,548482832856.145,740596.2684595062,638549.8631115422,1902552507824.4338,1379330.4563535287,,1.51045461398246,,,
125842.41103580734,29786782358.356716,172588.47689911607,711725.7104758855,951971357161.7128,975690.1952780467,282599.91700702306,170631873431.0794,413076.11094213545,512355.22748667083,697961554486.2837,835440.9341696657,,1.6283090624488012,,,
176313.6865497942,132623058106.45103,364174.48854422936,653168.2616700337,1661017538128.8435,1288804.693554785,463908.2976099179,409693228949.94507,640072.8309731206,568046.9918641598,1477819595360.8196,1215656.034970756,,1.460163645911287,,,
152373.87130151273,43055468391.76604,207498.11659811766,712334.5401193378,1660083547654.0613,1288442.2950423746,290508.53425852745,196453943698.9261,443231.253071042,598811.5320292232,1446883752814.1306,1202864.810697416,,1.5384776805757898,,,
