source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
116249.65504414836,25701113577.942146,160315.66853536852,539648.679746738,957332993405.1958,978433.9494340923,529518.6331237995,754379845892.1312,868550.4279500018,540547.4379061469,957575617699.311,978557.9276155863,,,,,
129368.72059568865,33673244901.43689,183502.71088307357,519100.94049083814,845285689291.4403,919394.1968989364,532547.8664537169,560709122337.6104,748805.1297484615,519168.6324602509,845437870398.7499,919476.9547948169,,,,,
227789.82465886418,265244863568.03085,515019.2846564397,438137.4266800201,497467334949.4246,705313.6429627776,458938.34663434396,404026356804.61774,635630.6764187972,438042.5026531136,497569856394.36096,705386.3171300964,,,,,
110232.35888501277,24814334802.64512,157525.66394922804,473353.19881657715,606369335257.4559,778697.2038330791,479015.078740177,437560395064.6192,661483.4805681992,473263.9334133779,606467681784.3495,778760.3493914861,,,,,
113459.46158760236,25877292152.283813,160864.20407375848,706869.2356055742,2181863356072.5032,1477113.1832302166,781692.7853722867,1641435662035.7253,1281185.2567196225,707142.0527833471,2181509548747.3135,1476993.4152687727,,,,,
96109.37151115056,17173937677.364315,131049.37114448247,460731.1481258805,576576834083.9368,759326.5661650044,402410.64253507607,387281836826.78784,622319.7223508089,460846.55946155183,576774372823.1543,759456.6299816957,,,,,
138633.70944914222,36788618896.09993,191803.59458597205,582465.4125258015,1130668302097.614,1063328.8776750183,591011.4486589942,748796072042.5919,865330.0364846883,581887.3497930056,1130502520145.2842,1063250.9205946093,,,,,
127280.954522919,33107919300.601036,181955.81689135698,567908.8720477833,1399957180760.9792,1183197.8620505445,773360.0405672231,1290735241909.642,1136105.2952564044,567703.812602474,1399061192314.1294,1182819.1714349787,,,,,
198940.29965743874,102114280739.20805,319553.2518050913,574471.9264336105,788469704521.0433,887958.1659746383,504202.51468310284,528109348125.6845,726711.3237907364,574358.6128478858,788370129604.0197,887902.0946050413,,,,,
127722.36440926684,38330218900.23294,195781.04836840808,656737.5882874002,1973311280697.8,1404745.9844035148,663550.223145153,1330010121390.4136,1153260.6476379975,656586.3195346077,1974263582652.6575,1405084.9022933303,,,,,
119663.25321588315,30197334835.67079,173773.80365196243,528145.8502014808,756245075882.4135,869623.525373143,558521.7836094601,549689595899.9547,741410.5447725671,528048.1795702305,755827152902.0134,869383.2025649066,,,,,
173388.1731274053,142409299852.05884,377371.56736041844,571494.1172640431,1510195171390.384,1228899.9842909854,565462.9580465795,1159903647407.266,1076988.2299297731,571546.7565255943,1510040896778.7961,1228837.2132950712,,,,,
134784.17212553485,43244523477.00464,207953.176164743,616148.5513892185,1506847710920.2488,1227537.2543919997,584455.8949053291,823579476021.7025,907512.79661595,615938.0651533055,1505785854955.214,1227104.663407003,,,,,
177971.81517671197,50565947953.25661,224868.73493942327,477046.4591412552,720332532493.93,848724.061455742,488940.3589045331,520588563756.76227,721518.2352212329,476320.18768971274,718852998241.1675,847851.9907632272,,,,,
150575.15385487134,64984976504.59131,254921.51047840453,657290.1201256728,1611425598808.7446,1269419.3943723817,599828.1119621224,1098417280530.2692,1048054.0446609942,657592.1582605977,1611403515321.9736,1269410.6960798674,,,,,
119389.86628723641,29344458875.713768,171302.24422264224,561965.715908151,1162589137861.505,1078234.2685434853,579167.6663767201,770032663816.4985,877515.050478622,561907.62838706,1163434955945.7454,1078626.4209381046,,,,,
159534.72728907186,51165345755.52654,226197.5812327058,475809.8051194258,588421709755.9647,767086.5073483986,482525.54343888484,419025299919.93805,647321.6356031506,475570.1072154622,588039922495.5004,766837.6115550804,,,,,
108103.46131756301,22312884500.411667,149374.9794992845,723144.132805384,1691563864297.0513,1300601.347184083,756437.4335368833,1138106160039.1768,1066820.5847466465,720298.324341375,1688809528157.6208,1299542.0455520556,,,,,
129195.57401120897,26343186008.409546,162305.84095592354,770515.3192083534,1997844532050.5305,1413451.2839325345,741458.1528359994,1355372545535.8796,1164204.6836943578,770545.8692574358,1998163265117.305,1413564.0293659517,,,,,
135508.80048947755,32063405377.862743,179062.573917228,496635.86044722924,839425852016.9503,916201.8620462143,518865.477023485,604278972088.4658,777353.8268307848,497347.47849606664,839927342522.888,916475.5002305779,,,,,
103855.98616046947,22825544980.33379,151081.2529082738,624385.1205150465,960327199102.8052,979962.8559811873,570111.3883971513,649170187663.9423,805710.9827127481,624825.7366798599,960873126143.4291,980241.3611674571,,,,,
103581.34727734698,54943467592.94568,234400.22950702434,681458.8903872394,1699624574842.778,1303696.5041154241,666990.7599514435,1245966303354.758,1116228.6071207628,681191.3743668613,1698913549080.6506,1303423.7795439558,,,,,
138700.68972324804,36619710140.40469,191362.77104077663,905929.8598675788,3944510819830.8564,1986079.258194611,912820.8444841605,1723178204256.2437,1312698.8246571426,905773.88884994,3944443269374.449,1986062.2521397583,,,,,
152371.10733626413,42150753006.02319,205306.48554301247,466327.0556358162,748746686044.229,865301.5000820402,504316.63884275523,626604483729.353,791583.5292180814,467880.1793913592,752454853123.5347,867441.5560275717,,,,,
113774.12725427505,27359941454.85769,165408.40805369505,599395.1958616263,882895140237.3967,939624.9997937458,557388.147512306,563032679013.928,750355.0353092381,599386.5415709985,883004216322.7563,939683.0403507112,,,,,
193065.0230057326,86209311972.26837,293614.22304150794,487523.60043614486,718872497462.701,847863.4898748153,499079.9596904726,579379922890.1305,761170.1011535664,486576.5100873996,716855536162.9957,846673.2168688199,,,,,
166936.0703857519,172006723782.17416,414736.9332265625,637387.241283973,1204199399917.704,1097360.1960695058,676039.931604062,886653295641.9031,941622.6928244153,637583.9468565542,1204013691730.956,1097275.5769317735,,,,,
104843.98093947941,26336218007.35634,162284.37388533851,591833.0872060166,1288438438915.812,1135094.022059764,588659.9649705803,722832934886.3225,850195.8214942735,591350.5804110294,1287889275814.3154,1134852.0942459046,,,,,
130870.10852923323,47163637217.60637,217171.90706352046,478835.7686368187,671166247226.6924,819247.3663227074,443691.36595902836,430450390019.1294,656087.1817214,478751.233963114,670820197161.1865,819036.1391057092,,,,,
138633.0042842356,47447552469.935814,217824.5910588054,475672.9850522357,520270994401.1099,721298.1314277127,362485.7229192379,259968119935.1744,509870.6894254409,476057.49009679013,520523350750.32666,721473.042289403,,,,,
142348.42023252882,83522464585.25911,289002.5338734232,504857.8986550468,656460304976.5435,810222.3799529013,447210.60163967905,433395040699.8791,658327.4570454123,505151.5843155191,656807604729.6952,810436.6753360161,,,,,
128321.43345436358,78001694185.86517,279287.8339381527,737520.280267154,3169981577952.7305,1780444.2080426812,777266.28850319,2704282088576.754,1644470.154358769,737502.5960469253,3169667776852.2964,1780356.0814770444,,,,,
147174.56619840476,44495435986.73887,210939.41307100214,618399.2776848763,2021066438012.1135,1421642.1624347365,633820.319919073,1149797376016.2202,1072286.0513949718,618417.9015809244,2020975614408.02,1421610.218874365,,,,,
170253.7647602045,54175916886.52707,232757.20587454876,659668.710443046,1350323668871.2878,1162034.280420026,671401.4029407763,831298885083.3328,911755.9350414631,660103.880051882,1349774854948.4932,1161798.112818442,,,,,
248865.21478577182,287935635083.50586,536596.3427787278,751689.0550716686,1950371829576.48,1396557.134375991,789013.7032630823,1530587297403.6057,1237169.0658125936,752466.6945550406,1949678543665.9155,1396308.8998018724,,,,,
103634.86823759288,19647047671.497192,140167.92668616166,798500.1510263826,3615971577226.6675,1901570.818356936,876083.9426970265,2311167898874.2915,1520252.5773286133,798371.8197981081,3615313894211.122,1901397.8789856483,,,,,
