target_rmse,target_mae
1166218.4850291777,725136.0797812851
1411073.3696135525,925890.7774337769
2363550.784438009,1163334.6416741181
1329277.1151987952,925168.9331570434
1360692.0066663353,859650.3459942627
834689.806549887,634119.8272563171
986817.8317488089,716915.1666853332
1548215.6179996913,989650.7340098709
1481203.3722438822,898936.8396748352
952138.7920166559,715501.659081192
1103952.911751347,833274.2570320984
1461599.6253638114,958033.2163080048
1152194.7352376475,757255.7452544403
1370182.5864374298,991737.4810249328
1689081.066994038,1024188.3423690796
1053023.4784611552,766084.3539486694
2398828.8477341193,1203567.9455008698
1172391.5656047754,757882.8759138489
1071063.260861809,765732.0157563782
1479137.981431787,873743.1001878357
1442986.6402632652,943947.2273362732
2763927.883661629,1042910.5049181366
1408623.0037496889,823072.0573010254
1640648.6435227995,1056096.641302719
1327320.5297975626,884082.6408205414
1130776.0620539938,759968.8265395355
1145735.826036829,816957.788991394
1737994.3689370628,958403.0942725373
1066506.4701347777,790656.3761267853
1780035.3978002907,1035875.1915736389
1276607.012562939,905371.9865830612
1531501.5496232742,889714.8104576111
1228080.019771361,904327.9216729737
1209919.0128917252,831187.5259751129
2817406.2578275017,1061798.9117653656
1166364.576676636,850868.8140013885
1234847.343896799,822951.6646433258
1318263.1318997245,973624.1398789216
1071897.220713986,772831.3811653153
811204.8928423394,649988.5013697814
1210285.103707993,804454.5560708619
1138406.4476538824,721530.1988722229
1090273.0993777756,738904.9633775878
1202425.0229278037,779973.3550163269
1421381.6214644006,875873.2965110779
1802585.4856789857,1035929.8665494537
1535636.0679159185,969582.9182252502
1126103.132742311,808767.4306541443
1185214.4351949973,803506.3622766114
1401173.5668899487,1043603.558208313
1179123.226612311,899385.5520100632
1486959.1793838916,968749.1919183349
1206433.550086554,879722.5864420319
2028120.6881131583,965146.6601686096
1133629.0549878702,831453.0583142852
1060624.314637187,739685.6130809784
1510472.4984255186,959301.2862825776
2150676.1263624295,1121668.2318450166
1064188.9859425381,782514.5142132324
1178674.9903021988,800974.4133971405
1239432.118620038,863121.1781523132
1179080.1413157575,794831.2814215088
1046110.3070010213,794515.0326787567
1141257.179774628,821576.1123386383
1115448.7335692388,733747.722551117
1299684.0275060716,837636.0958167694
1373297.0630961119,830405.7309321595
1135535.5755599278,825575.5814689636
1518356.9862486497,922730.1107673645
1248168.7396375134,769230.0651386292
1138855.2883927478,889044.5665796661
1373069.21582389,911987.9889687835
1881719.2740533215,1091837.3663344574
1170040.9795204992,896064.0885549164
1858604.221941702,1042273.5228106689
1122740.6041585938,773336.4249184006
1007181.7889711173,726000.9224073029
1190597.103487872,738264.4347387695
1872852.2528694668,952175.9035417176
1543206.515483894,1064116.4856653595
1776144.7076533714,1147264.3717387787
1362615.5392345442,947841.4496464538
1643404.2453825565,1022267.4502645874
956965.5213990437,690920.820071106
1160036.2209886701,784710.2196341705
1085483.1952764255,796203.3700489807
1605672.6013874428,928658.6106733703
1312459.6267196338,918017.2220552826
1276774.9878549047,812414.1454447937
1825556.6564643155,1045911.3364920807
1522989.6425916892,931625.9672766876
1580975.1918531545,914464.7518118286
1254147.5653680796,832905.0999088287
1573108.7283139222,966419.1241352845
1000532.4211481751,728458.4068937683
1228937.7802974053,899112.1650063324
1015293.3324366765,733933.9965088654
1251435.8748575957,819957.4224402832
1275551.5718433477,850688.6745411683
1267941.9010646788,815444.8759429932
