target_rmse,target_mae
941368.5,557921.5
1371276.0,672565.1
1093441.8,574725.75
1016024.1,580105.44
1162259.4,612310.44
1204159.9,623099.44
1734516.5,703444.6
1095232.8,598246.44
1003849.9,595006.7
918675.75,550907.94
1080569.5,590756.2
1449463.8,673058.4
745714.06,481917.44
891111.4,510718.3
820274.56,492082.0
1086721.2,550244.8
953189.3,535868.5
957550.2,467298.97
1140691.6,567256.75
1027136.8,564279.75
1111119.5,580642.2
1330413.0,630252.4
991734.44,589123.6
884299.56,528184.0
741527.2,467524.88
1402137.2,713983.7
1202669.5,527678.4
812195.4,494155.72
1143141.2,531253.2
1081429.1,561357.56
1408662.9,705170.2
1028617.6,546432.8
908995.6,484958.1
928478.1,532893.9
1993019.8,909155.7
915183.75,539434.06
24980136.0,24963262.0
825281.3,498379.44
906230.4,489461.03
778037.3,523019.12
676300.75,421230.3
1232219.0,635582.75
1482524.2,649555.56
1166332.6,608417.7
938279.25,553426.25
938421.06,505186.97
651580.6,411979.16
770233.1,491771.53
783041.4,498694.2
1669360.6,732341.1
1299652.9,654822.5
1008634.1,533966.44
1199571.0,585938.6
1130547.9,591817.8
995656.44,522704.03
1087216.9,537690.25
1183703.0,605220.75
1077379.4,594844.0
1037407.75,568998.25
1173357.5,504705.3
1096424.1,628058.4
935618.4,517343.7
854943.2,492419.97
,
745986.5,497877.62
1336960.5,567175.06
876671.06,496773.47
648502.06,422002.7
1115508.2,576361.3
997419.25,519044.75
1048291.8,574959.4
1588563.0,692974.06
2129999.2,872468.0
1397972.4,594925.75
884127.06,545591.25
801814.75,478841.4
818147.94,482105.25
676417.44,436863.25
1200194.6,646915.06
1397091.4,658156.9
1352961.2,683225.8
1376800.2,712639.2
640213.7,438461.1
1450890.2,657481.94
1544833.2,738647.5
1131651.1,634968.25
1223455.8,617191.94
,
824427.25,514766.3
1074755.0,531591.4
1166785.2,613012.2
826633.5,419714.97
794364.56,419283.38
1461611.6,746612.94
1140753.2,652066.06
1099421.8,636948.4
1683842.9,764634.25
1743731.6,660242.06
1213630.1,776730.06
1321025.6,754651.44
