target_rmse,target_mae
956107.753439869,729510.0354949421
1315379.1423868686,879277.7914329761
1021924.8844708579,715476.1119623593
1270665.9906357094,873065.4894928482
1407063.8019324532,866587.0893078455
834685.3436541824,640620.6649644227
1362882.486458579,753801.0175401178
1283457.619479151,901137.750831052
1187745.9940034372,829794.0115927634
1254803.3187403332,828599.9546088288
1531533.348767481,978570.9939336918
1631268.0794920628,857142.5148459745
1383035.0344981167,925190.4456301769
1095120.8537774417,822148.1003575154
1468168.0144353998,1012390.8097171875
2418374.803698232,1144932.0256934296
2621497.129156152,1096558.9012941276
1738417.5355848088,964239.6094606983
1324861.5492576668,887494.0990899729
2084506.5198131616,887978.4163289879
957035.869365852,700076.5224472326
1024562.9884001198,747786.0953209697
1437568.734220899,1000684.6455864683
1173617.2540983388,789148.7306932472
1032357.3548204739,671780.4451843506
1304921.12151052,807613.2660243467
1223788.4153237967,818209.2170180979
1155811.4385006174,811300.2236637839
1049475.150743055,738674.5186525091
1048789.3753073867,798868.0808196624
970678.7093668256,739675.6675568589
991634.1239888752,770922.6969689903
1057072.3094061192,760656.6870755461
1113464.401140155,795022.6950208672
2030438.4534385414,830494.1581682164
1266350.3956424783,807236.3818490959
1411968.1683462572,869453.9804055658
1423328.52824499,906905.3971375446
1148354.0752975047,822710.9082742156
1070292.6119066875,757770.7022222474
980540.3101299079,733539.098962457
1128840.2457382223,760789.829576059
,
1115731.8490443954,769217.9864771906
892285.2146187327,644031.150010771
1139422.478862006,838926.6509579945
1719751.498802293,875491.2969836834
1213100.3038410193,854300.3121170752
1276286.3361781682,822268.7398901473
2427496.261397116,1131673.3303843532
1216994.9237672146,753338.4692936686
1326496.2488970147,900957.5622145637
1607836.9786235567,1022022.592219999
1464519.4184708889,902364.4951345711
1346116.1888297827,953845.881049584
1060831.262064315,855829.1946747351
1521414.5290155425,944034.6962504839
1024253.5980609282,787366.866787647
1258233.6504625645,940040.4300010235
1118349.0255312475,785237.9355983055
2924047.369905293,1264010.2932548537
2779986.010878873,1368860.3673517571
993814.7663277735,730882.6744115404
1242111.9900554032,911755.7712002882
1056514.859634232,740823.6085013078
964246.743116025,716520.073143705
1559084.7930903854,1052824.1250405158
2199809.4968305095,1090776.628034016
1023383.3011949117,697603.2065456939
1200398.006816432,819127.7973416002
979475.2946885371,747732.6438908197
1130795.4816238065,772447.7805092424
1532995.988330233,958970.9664935564
1270775.1090879133,877891.1975152938
1135535.8254119512,758736.5353069273
2153676.5078273094,916163.9514493211
1218444.5966888794,862032.7557645851
1179658.4054816694,797867.3851927486
964039.1785617861,718855.7993253736
1048668.720248406,772000.842136891
1031644.6314319577,752714.4098379803
1348160.1743622303,911646.683850689
1322023.9786329083,920649.0238160155
1271835.5558666873,875785.0543288368
2553072.287246859,1211404.0140471496
1219697.9886195268,807787.2395713846
1407611.2282750763,961987.12655103
1730874.8125653453,975576.6852424659
1206703.1659529486,814797.6217237184
1202206.6422865142,844293.0443506051
1310286.6006349705,867565.1420605747
1056884.290050191,747593.9737791464
1007991.9057376789,750315.5149588983
1469474.3704079783,1062219.4938514745
2070755.3099868044,946092.6039290781
1105840.318566423,797232.0221962275
1025353.0401378549,786726.0207390756
1286349.837356004,793589.2567406495
1533119.134833696,981038.9614680038
1025061.4071766904,790857.4821045912
