target_rmse,target_mae
908468.2024372634,681256.9827720642
1032184.7129769202,703698.4184846496
826529.6514552496,646458.0301501465
1033305.9197815901,759686.99186203
1010675.3035658795,723444.1898817443
1087068.4687703103,755321.0024121094
1009744.6294708571,659824.7546873474
967577.282085137,651169.5835487365
999278.1536437264,703749.8326443481
747597.814994475,578478.0537205505
1011313.1334011307,683016.9015574646
833995.7892488423,628554.1205230713
968007.226851643,678560.9583973694
913392.4776080851,675675.7823501587
662063.9330491078,519195.8637197876
1007563.2188385831,724178.392822113
950487.0015617544,743562.2138352967
895880.0201504829,677006.7802589417
794008.084985763,628662.7545114136
954187.03902117,656630.1641436768
818622.7641050214,624626.6661051941
960526.7766717905,665876.6507774353
999400.4845215857,750787.9957899475
790072.4203586264,600858.806311798
904275.7711224967,657207.3593049622
777647.0794860711,595220.403310852
824322.6289845746,603054.6536659241
699462.9569989188,528617.9501239014
721900.0979197022,582023.1986532593
943031.2945912243,657807.0176829529
723485.7277930079,567570.3661775207
896569.784798556,717880.2278033447
1142724.4002015763,727983.390149231
1435203.9493527815,823307.7936833191
1050472.3531789759,728425.567538147
917712.3739816119,674863.0938287354
849841.9425244331,622878.3490257263
1110411.2595482147,797643.8281134033
1007968.484531568,737662.630397644
977457.4143771789,663152.3044802856
820642.8415830015,577565.089375
820196.0271543693,619352.5169174194
1033031.1083845503,666663.3381764222
920303.3030081851,666687.9028286743
1094949.008810491,742445.3287722778
1032596.7587125921,670456.5832029724
829473.7455599935,580069.9802784729
1072366.848507963,726583.6998495483
905389.3108301081,662179.8556217956
1014830.0047720033,706765.2182128907
728708.5615285606,554297.0012025451
898677.9742214126,654439.6747343445
975183.1436967273,664273.8212983704
1052111.6841801107,733193.5859088135
907592.4509136155,684469.9325950623
1039549.7706224826,759975.1963265991
763914.4997076548,608979.7394708252
732021.306543466,562757.927555542
763722.529582224,585691.6451750183
851785.7581745295,601255.6082220459
840808.740396385,631784.4986294556
1000454.3937102909,714229.7717108154
987457.9911840023,729716.947723999
787470.7378272878,585267.821042633
917581.9180885267,687610.5035839843
1041992.0926101683,737909.0066856385
921778.727321633,615271.3911450196
1052051.9884451595,720751.3002330017
1042163.0002169868,752941.3507124329
1015351.7612980087,739046.5728341675
1029851.4509586614,753139.5163796997
924600.8161520263,643651.297600708
912999.7234147012,638015.5880485534
714410.0385304689,543342.2717906189
817992.4573714922,617535.6597038269
870736.567383486,615525.8354888916
1137507.298780907,795212.6174533081
797640.2785223565,601068.0029566955
1183584.8725360136,778551.789789734
929553.6413139384,668458.0469007874
1101286.681707081,690165.8790617371
1075416.129112432,725293.8155136108
954291.8343560621,647562.7255137634
1092456.0231596443,746341.1554884338
1042810.9783650226,700573.3950119019
869186.6720770297,628991.2143026734
791177.0755452581,586763.6331729126
954621.8000183298,684693.5100395202
1175080.2128717403,825775.1074285889
812713.56983399,584804.0600531006
1012602.6708124476,679699.3119798279
720604.5996573402,554003.7973432923
971925.7310036062,664323.1843203736
898244.0781091125,663525.8374798584
912079.8399399127,656794.8359074402
1070705.7431715697,760141.1175047302
884860.5121768508,623995.061509552
1105227.891717827,723461.7992456055
972306.0726627257,654377.5067071533
825238.8752273186,543964.676856842
