source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
1592247.276147068,6441288196203.454,2537969.305607035,1001843.1986908109,1390925300423.164,1179374.9617586276,305111.9594441098,239338711952.0735,489222.55871134304,4170775.750146874,27956243710300.113,5287366.424818703,,,,,
343065.1240873629,243006522421.2086,492956.91740882245,444402.0899568778,382563712390.17017,618517.3501124849,285967.42571801617,150216058002.5889,387577.16393331136,580463.2522400118,593915002642.8534,770658.8107864942,,,,,
495286.2499514067,1062987544661.6808,1031012.8731794191,580061.1061861918,447767327255.7601,669154.187953539,243576.6724405774,127156741392.9973,356590.43928994687,741543.6470354119,814763811698.0697,902642.6821827504,,,,,
540478.9239918896,662558400097.0477,813976.9039088564,545906.1232930511,403935077388.7977,635558.8701204616,244169.86996040453,136379373766.05197,369295.7808668439,875327.1335448605,1284302574176.342,1133270.7417807723,,,,,
952957.8612235688,6819573928568.341,2611431.394574313,704637.3640670377,598858256856.7512,773859.3262710938,240532.95361263785,107391494023.887,327706.4143770869,1096340.857272614,2065923855249.8872,1437332.2007281014,,,,,
317682.776626497,231972409886.04605,481635.1418719839,410930.1123036149,242602715601.59195,492547.17094060336,209664.48824746258,100509551183.86865,317032.4134593633,537700.5379036954,497618325134.54236,705420.6724604421,,,,,
425657.7161136996,328691868225.4018,573316.5515013515,525497.2238432444,442148290973.4408,664942.321538824,340329.87490002596,264821747341.8101,514608.3436379652,764635.5600698702,905660126726.1324,951661.7711803562,,,,,
813021.3739261666,1462830177496.4583,1209475.1661346578,1000388.0595885905,1660666760795.4556,1288668.6000657638,394520.5129874181,299886024103.4972,547618.5023385324,4399449.594803585,30324414752262.574,5506760.822140596,,,,,
429527.75130744843,333457265763.16565,577457.5878479438,496262.6705587508,436275941992.6981,660511.8787672922,253854.49923755604,119197020457.03432,345249.21499843313,690779.8685559359,786425451054.3235,886806.3210500495,,,,,
422162.14845966536,414872531509.50806,644105.994002158,617496.8169774342,1213751215085.7827,1101703.7782842459,409168.38928148226,760793762215.3478,872234.9237535424,1257902.951372339,3167613196844.3545,1779778.9741550365,,,,,
508704.66763609706,546922094182.7755,739541.8136811302,593194.8733390225,469087527873.1939,684899.6480311506,275099.77983588056,150264367085.581,387639.4808137853,944280.3277523976,1322501970757.493,1150000.8568507647,,,,,
512248.25268229435,821433624754.16,906329.754975616,635817.5412113777,621408748847.9182,788294.8362433425,304238.62679096556,207044322335.03568,455021.2328397826,851847.1832617989,1382928490464.7402,1175979.8001941787,,,,,
