source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
313277.07080941275,183449998691.0582,428310.6334088125,644038.7038369959,646227030937.129,803882.4733362017,264957.9834887193,138928842701.20865,372731.59605969634,496187.21956102736,467800533138.61554,683959.4528468888,57722005.1718769,0.28724023203536336,0.797534162927603,1.0,0.26521454564440267
457627.69335135823,507729086234.6796,712551.111313904,619598.3297782583,826090960508.4956,908895.4618153265,349865.24103017116,425367392720.3013,652201.9570043479,550264.1017879625,797481869092.1082,893018.4035573445,52323965.727150016,0.35350448724889433,0.8088662048816121,1.0,0.21318249756182456
345784.65907566866,263008986467.73553,512844.0176776322,762132.9747646458,1894470081532.8157,1376397.5012810854,393612.65059970977,527080406303.77765,726003.0346381327,628179.5930430348,1696726792580.4312,1302584.658508011,72857197.07043588,0.3594234725914773,0.8043276198987706,1.0,0.27500530293001113
349776.59629329015,251653512490.21698,501650.787391206,743940.288993871,1674965797487.7727,1294204.6969037675,423867.657830311,562220180517.2964,749813.4304727386,644065.9687258067,1401405989437.2732,1183809.9465020867,77324576.42606507,0.3169704061564444,0.7857708267364579,1.0,0.19452221388214097
411227.2383489208,391433378089.4358,625646.3682380293,849785.3346737024,1419073893997.9456,1191248.8799566384,400252.58456621633,488369376402.91034,698834.2982445197,584999.3464445584,895924484479.7739,946532.8755409259,77179883.94824043,0.314866564368904,0.8276730798267977,1.0,0.38588463175134724
377296.7732515118,371655664998.2077,609635.6821891315,670640.8684990748,703119397984.8938,838522.151159344,304008.5527039425,221626788182.0456,470772.5439976779,547426.5794830237,529964416217.854,727986.5494759185,53199642.14487289,0.3286590565907412,0.8089498751124153,1.0,0.2215563118675833
335452.1758281035,248892727753.6239,498891.49897911056,697207.6190716851,765974946395.4628,875199.9465239145,244045.2353993449,164370486915.42044,405426.3026931287,545249.7098247218,578765228235.1609,760766.2112864641,61027988.14045764,0.35994096429294575,0.801220904920907,1.0,0.2834961580395918
415855.4097946549,346752300790.54364,588856.7744286752,750772.2417534393,1014148758967.8912,1007049.5315365036,404071.5816261544,434710892022.0041,659326.089292699,568229.3852546322,741237773487.7437,860951.6673354803,58740052.285474166,0.33015237185126073,0.8003433574217509,1.0,0.2375933784255551
599862.0724123103,1188813066441.4663,1090327.0456342292,920258.9403510621,1381176197555.416,1175234.5287453972,278660.7908605004,169308932291.2988,411471.6664501929,599438.1378316779,712185138858.347,843910.6225533289,85705353.74287179,0.33599504119117873,0.7801057537057421,1.0,0.2001232781639239
560905.261739953,556639378335.6132,746082.6886717136,733756.667568755,888085376557.3711,942382.818475258,290286.72419276065,169104517197.4814,411223.1963271058,563471.1454957289,574733924338.7214,758112.0790085866,66803898.98397617,0.35964884907992895,0.8004158333862077,1.0,0.2656942485035132
310950.950155418,190863799000.9927,436879.6161426998,610002.072036853,559810109836.1162,748204.5908948409,285082.24540759483,171456714610.70227,414073.32033192174,484343.57393923076,440578985655.24365,663761.241453012,51926403.90771051,0.30386301775178465,0.8192546141455607,1.0,0.20210886269809814
413483.0418316353,358665782817.59125,598887.1202635695,645866.7605206635,892033075508.327,944475.0264079655,367792.5417025318,341158362274.25494,584087.6323585828,570561.0305793511,739454095858.0378,859915.1678264769,55566078.1563675,0.32847925947370527,0.8079250375656029,1.0,0.24492046555474595
385925.03610492224,289704235248.24036,538241.7999823503,643650.8820940306,758236843816.5073,870767.9620981168,299574.5661610053,175079399525.98093,418424.90309012553,485823.19860879064,499844382432.0502,706996.7343857044,56883822.87201459,0.3585483024471601,0.7870298835841861,1.0,0.301087378572372
440874.4656144903,634565154570.3995,796595.9795093116,727773.5337416652,892733742811.9246,944845.8831004793,310641.8913961147,254747654686.13663,504725.3259805145,676869.5269759272,901485889388.5066,949466.107551242,65083794.381629385,0.3066072853221377,0.7867593576244871,1.0,0.18778565228112573
324088.00430147053,227963431025.5543,477455.1612722961,729851.8802096733,1938447216703.0393,1392281.2994158326,566800.3001503432,870708473142.4148,933117.609491116,699392.5346053467,1928544517183.565,1388720.4604179938,66456984.94676195,0.30279064646395976,0.788773202931313,1.0,0.21927024163710515
362059.7356234041,359008527011.0892,599173.2028479654,806916.2187708742,1272485880890.1519,1128045.1590650757,308737.4859598184,209178199512.0721,457360.0327007948,670564.5771587212,1099751565933.4797,1048690.4051880515,77771243.2950748,0.34689223212351167,0.7877023521417893,1.0,0.3074034299324103
389364.89057178213,284100870703.176,533011.1356277427,734393.6123527752,870534915438.0591,933024.6060196157,340272.46161753504,291480430806.4065,539889.2764321278,629489.5716228755,880196783570.0103,938188.0320969834,60423966.90857881,0.3309370987545351,0.8525939065836565,1.0,0.28076725745873027
449917.5839905566,430849773894.7004,656391.4791454109,934108.8541092762,2159356494734.6985,1469474.904424944,479715.19107255334,1167934828680.012,1080710.3352332723,743055.5403399314,1944983160932.2515,1394626.5309867912,80305694.03561473,0.3601449681193069,0.8389625513252611,1.0,0.2184814462465054
398460.5181899152,382087643621.9893,618132.3835732839,652794.8401102666,990359192998.9207,995167.9220106126,417865.5088619952,415724953952.23724,644767.3642114939,606028.9164069697,885641614427.8662,941085.3385468643,51673469.24193323,0.2910729666982395,0.7605396004171985,1.0,0.23733566893202857
449193.12313440966,547881569958.7803,740190.2255223182,812249.3434960146,1809699825970.2021,1345250.8412821016,611872.2954321611,763340827926.2366,873693.7838431933,690856.8913732922,1705112654618.4097,1305799.622690407,73404039.49835935,0.3124883194314583,0.7632545024956492,1.0,0.22479749341126923
279256.13742472365,140191623457.0095,374421.7187303769,820151.1383287668,2060972830973.7122,1435608.8711671128,424923.38604623434,476373042373.7468,690197.8284330855,651049.2081142669,1705083215962.311,1305788.3503701168,75927668.70058523,0.32023794629699187,0.7933459123754006,1.0,0.24087411589929025
