source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
1466940.1678298137,5131808710686.777,2265349.5780313415,8434006.36648173,122455777563054.94,11065973.864195367,350822.9489312165,218821273814.89386,467783.36205437436,7863127.969755722,108237847394825.1,10403741.990016146,,,,,
333776.88055370766,227046280184.5958,476493.73572440154,888827.0472235339,1399094450921.9043,1182833.230392985,361153.4265967943,248296831488.2568,498293.92078195856,1080075.6656558681,1986961507064.215,1409596.2212861578,,,,,
477027.521853617,1050706271695.7399,1025039.6439629737,1138794.8191750825,2120652833761.3662,1456246.1446339923,248892.396985332,107231122987.04156,327461.6359011259,1166590.129522269,2696237501202.8184,1642022.3814561171,,,,,
533160.10796676,636260454318.1812,797659.3598260984,1492181.8665828223,3943322499725.817,1985780.0733529928,327346.9934410977,262054062457.40094,511912.1628340168,1982838.8931366906,6407231459254.671,2531250.967259997,,,,,
971045.8833825189,6819718886266.499,2611459.148879511,2322243.2833004715,8883955456783.855,2980596.493452922,403272.9924391425,282933139631.51154,531914.5980620494,2217982.951142138,8389757613693.349,2896507.8307667924,,,,,
327177.25936011446,234494173546.16168,484245.9845431469,932574.1801267624,1507021789692.5874,1227608.1580425357,308700.9820315139,145995195200.31516,382093.17607138073,999522.6128002909,1593533587638.5366,1262352.4023182024,,,,,
446700.57935243833,353852199725.3173,594854.7719614572,1136946.4641728878,2285931892001.9746,1511929.8568392566,328479.6323124538,191823387394.62054,437976.46899647533,1205497.8114803617,2317778568414.241,1522425.2258860667,,,,,
1156663.6559901605,2645779205936.7207,1626585.1363936414,9265225.412487084,157165748787442.7,12536576.438064847,361816.34551109275,228371723257.2409,477882.54127687163,9558750.754267916,151358234815093.75,12302773.460285032,,,,,
599394.7428796627,802813652137.6666,895998.6898080078,1623090.518766545,4582236704311.706,2140615.963761764,262976.89184026176,117267399782.25581,342443.2796570197,1612747.2713793507,4331884905122.7607,2081318.0691866297,,,,,
408233.4739763764,349306803668.47565,591021.8301116091,1251323.9924370826,2663557629974.3135,1632040.9400423488,329224.2251580374,167784440099.59402,409614.9900816546,1482388.983442978,3593064047288.6113,1895537.9308493438,,,,,
420447.6338096544,313826785289.5333,560202.4502709117,2072859.799282318,6956191901288.695,2637459.364860186,392550.0428338127,332274493864.1627,576432.5579494644,2040308.6320333162,6839397054908.94,2615224.0926752225,,,,,
483534.81495640054,441500389079.1697,664454.9563959695,1544121.1407776522,4430995608485.264,2104993.0186310033,360310.27059789794,204022475705.62238,451688.4719644972,2161964.9894547784,6954500726479.24,2637138.738572402,,,,,
465667.0745716244,433543971619.24133,658440.5604299004,1434693.4198074841,3999244175640.584,1999811.0349832017,406504.9185495694,248993275162.3422,498992.2596216721,1490735.7348096126,5419072078072.329,2327890.0485358685,,,,,
1065250.2946625843,3673161001107.288,1916549.2430687211,9299217.325625017,148784903201560.53,12197741.725481832,289399.2635786189,148515124010.43213,385376.6002372642,8196506.955242902,110537520075212.08,10513682.517330077,,,,,
504419.9390483556,927145002307.5248,962883.6909552081,1715561.9845240044,5223223077329.831,2285437.1742250607,263790.7902869926,114629067479.05467,338569.14726397424,2162976.9929357325,7618311139962.32,2760128.8266967395,,,,,
352654.8597827974,208660743737.83118,456793.9839116001,2536885.500139347,11372714300375.613,3372345.5191269494,279675.02570772934,135914304654.25313,368665.57291704515,2320940.91784164,9293054239717.63,3048451.1214250475,,,,,
2344159.6509290836,22962959337155.555,4791968.211200441,6483192.689281529,72153371253191.42,8494314.054306647,377598.962017681,268357064915.57663,518031.91495850583,8131248.150601288,120487613264183.06,10976684.985193985,,,,,
548514.352387001,903781866100.0597,950674.426972799,1506256.1880106812,4466603182192.157,2113433.9786688765,278356.20638709085,130093990252.65158,360685.4450246802,1790751.7968839747,5559500384774.667,2357859.280104448,,,,,
463316.5421311071,395572103147.6667,628945.2306422767,1233130.4936105753,3002927798610.9575,1732895.78411714,293133.4716405575,144607564039.43344,380273.01250474434,1355622.9781605944,3213763826708.2627,1792697.3606016892,,,,,
417621.92654604535,335946805418.50806,579609.1833455609,9246617.723883683,152688254838420.28,12356708.899962816,429646.0737846672,294346395343.75525,542536.9990551384,9344313.803844903,156016075771110.7,12490639.526105566,,,,,
477331.7526697418,1111029219748.2458,1054053.7081895997,1726246.0756891007,5396932323585.421,2323129.8550846055,344906.04865287757,234576864484.63342,484331.3581471196,2437223.1519942353,9681987932441.863,3111589.2936635874,,,,,
1047921.8677311385,2726903412189.194,1651333.828209546,9461786.774495238,147540505624591.22,12146625.277194947,413782.9215945607,342636142343.2593,585351.2982331715,8974796.025575265,136585413870271.81,11686976.250094453,,,,,
419614.33973804076,403130511832.41907,634925.5955089692,1580227.6075787214,4070033031767.625,2017432.2867862566,412529.4879950963,276132062995.117,525482.6952384987,1947494.7317417637,7173530897217.735,2678344.8055128627,,,,,
438391.74318660033,602460180873.5262,776183.0846350146,1236070.7058279219,2591391316221.3516,1609779.8968248272,408120.59901097266,273471955645.04846,522945.4614441629,1402177.3911519903,3543019998383.7485,1882291.1566449406,,,,,
388972.65874721966,385055260496.3739,620528.2108787431,2826770.992791533,13189093213830.555,3631679.1176851727,417529.6767121042,272496202116.7338,522011.687720432,2710089.845453877,12926403658325.617,3595330.813475391,,,,,
