target_rmse,target_mae
27922568.0,27905702.0
10272940.0,4622869.0
4796375.5,4734780.5
2099452.0,1557143.2
5206133.0,4837906.5
1818651.9,1578779.6
1652658.9,834754.25
4032000.8,3965869.8
7751804.0,7572391.5
32229600.0,32210558.0
2495519.5,2388835.0
10441133.0,10409035.0
4926125.0,4844508.5
1078565.4,614275.5
13742185.0,13711793.0
27410376.0,27383764.0
4229401300.0,4229400800.0
1389213.1,819964.2
7674195.5,7574878.0
7216133.5,3015159.8
3471132.5,3409911.0
,
1363829.5,964606.5
9717725.0,7140395.0
7367316.0,3328246.5
3821001.0,3472937.5
4303332.0,4163470.5
1302622.4,975091.25
1295154700000.0,1295154700000.0
3152825.0,2338857.5
,
2876195.0,2280666.5
5358367.5,5275818.0
21272676.0,21253088.0
7825261.5,4315718.0
6476617.5,6352563.0
13075708000.0,13075707000.0
1868652100000.0,1868652100000.0
1191915.1,895494.75
7106019.5,7028755.0
3727862.8,3293236.2
13826758.0,13807932.0
2424604.0,2085597.6
1251762.6,952712.6
4064680.2,3524278.5
981825.5,640047.8
5841868.0,5630325.0
2551448.2,2393200.0
2140500.0,968981.1
1961484.4,1700307.2
3413718.5,3139492.8
13536864.0,13497920.0
1133511.8,621027.94
11749168.0,11720864.0
6799971.5,1565442.2
2917802.0,1859167.9
7686534.0,7614043.5
2527388.5,2169493.2
3765017.5,1755265.6
1966179.0,1666499.6
1234528.5,830613.25
2983501.8,2847358.8
20752632.0,20727540.0
7838883.5,7190478.5
4100319500.0,4100319200.0
7633305.5,3738955.5
2966945.2,2406883.8
1685582.2,1432108.4
3041150.2,2791365.5
3768195.2,3701703.2
2372644.2,1366754.2
9588092.0,9341708.0
2258647.0,1339164.8
3769815.0,3429378.2
9221304.0,9128968.0
2542217.2,2372092.2
1684819.1,806219.75
10178115.0,10102031.0
5653530.5,5588249.0
6237286.0,6171893.0
6416363.0,6347250.0
2335143.8,1900216.0
5097160.5,4963222.0
7071069.0,2214804.0
2173032.0,1953928.6
4575939.0,4461608.0
24566270.0,24502520.0
3996051.2,3879669.5
13913416.0,13852727.0
8831450.0,8777775.0
16552184.0,16536275.0
2743883.2,2447756.0
2824827.2,2447167.5
5430179.5,5395652.0
13146107.0,13111026.0
7287253.5,7216366.0
54353027000.0,54353027000.0
134167710.0,134163360.0
2717355.2,2321042.5
1382000600.0,1382000300.0
