source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
352625.7833774069,268244616772.89844,517923.36959525046,928257.0980827282,2399876366774.695,1549153.4355171842,603968.1580035799,854867887473.3331,924590.6594127659,922634.3590982488,2356366893690.92,1535046.2187474747,,,,,
302682.5187309699,306392884553.9895,553527.6727987404,568130.8281548889,749680591677.6162,865840.9736652662,330081.24235453806,228150965267.90155,477651.51027490903,552601.7320817158,691354833603.7124,831477.5003592776,,,,,
283432.30719467264,186508509079.91568,431866.30926701805,778617.9936617574,1785223820312.1086,1336122.6816097796,470392.3955369258,451954473865.6971,672275.593685876,780704.5411243897,1806470680257.018,1344050.1033283758,,,,,
339669.29785592144,433920066031.2059,658726.093328028,713599.0012180078,1012601294802.044,1006280.9224078751,349109.09573585674,263843512407.99405,513656.99879198964,715804.9336597803,1014512545523.0894,1007230.1353330774,,,,,
279080.33859648934,168004543603.4259,409883.5732295525,667215.6506560777,1281060746321.3193,1131839.5408896613,339665.231348484,227447492450.41824,476914.55466405954,653302.5757913444,1292294226973.6812,1136791.1976144437,,,,,
437985.88999278075,429720205273.62964,655530.4762355672,700755.9767726911,1038135598886.5409,1018889.394824846,424640.6273224298,462629698788.1108,680168.8751979987,680556.5731927854,1029570738721.4226,1014677.6526175309,,,,,
646688.2234996388,2338514688094.776,1529220.28762856,837943.355202837,1260291635026.5732,1122627.1130818876,309437.7247756575,220162379134.452,469214.6407929446,796692.7356149508,1149735542833.2358,1072257.2185969353,,,,,
393925.8272291403,370632655672.09753,608796.0706772815,692864.465346147,2216238821472.99,1488703.7386508405,579498.512577047,853197811253.9393,923687.0743135574,704740.3932606736,2206227957792.732,1485337.6578383555,,,,,
631767.0696946648,2282195317265.3354,1510693.6543407256,1444397.813179961,3972755747833.4336,1993177.2996483361,483561.39742264117,461876635773.3903,679615.0644102809,1394708.9022404852,3774009035876.027,1942680.8888430512,,,,,
522175.22122491576,792724976173.4518,890351.0409795969,764516.7838922249,1297503914515.4038,1139080.2932697078,309161.38695655944,175848774768.01498,419343.2660339438,763892.3025215283,1319904120839.1572,1148870.8025009416,,,,,
480795.31789124745,437396786366.9104,661359.8009910418,877471.5854051034,1979887770791.8608,1407084.8484692958,474418.62620137347,447871500146.3494,669232.0226545868,867254.3740530882,1910665256893.8257,1382268.1566518943,,,,,
445927.4335278809,554326347640.4459,744530.9581477763,804678.0753198894,2415974002986.573,1554340.375524799,445219.4148929212,444821976439.8011,666949.7555586935,832096.3880643537,2532719900044.306,1591452.1356435155,,,,,
552781.0764405342,792155034258.8268,890030.9175859155,848156.1114558822,1899173071290.1228,1378104.883994728,438986.3253416196,398974703026.71674,631644.443517646,793504.4952747405,1636014961017.5476,1279068.004844757,,,,,
360686.3445758144,299642205581.32416,547395.8399379047,704222.4944276346,2261286750972.119,1503757.5439452063,333218.5959692087,221887551407.46033,471049.4150378072,698864.8779147805,2237790569407.3643,1495924.6536531725,,,,,
594058.12462937,2452807119002.0605,1566144.0288179312,820996.2394787249,1469670163696.7485,1212299.5354683383,402260.57864786196,333085123764.00726,577135.2733666581,829866.5680434856,1499098619467.1917,1224376.8290306672,,,,,
300068.9839772827,196195014948.54172,442939.0645997954,632997.2037773796,928810834492.3434,963748.3252864014,343115.54178878316,253302057767.3784,503291.22560141893,627646.5275385615,916822502165.6792,957508.4867329788,,,,,
