source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
375566.2359253014,371696965771.8682,609669.5545718748,652784.7434628247,705490482764.1848,839934.8086394472,182194.58959378742,64582021099.713936,254129.9295630366,535417.7598624007,638401086265.7708,799000.0539835844,61711862.845893286,0.23870443837891422,1.0383849886385987,1.0,0.3052457420849841
552913.0768148034,485441297647.467,696736.1750673399,993773.3014181721,1621113138300.4666,1273229.4130676005,308294.8509089451,181958122322.3358,426565.49593507417,720088.3492199738,982544960249.1978,991234.0592661239,94200628.23948866,0.28247150421561823,1.0907949392343426,1.0,0.3648037219782011
342967.6713424633,299963410193.6469,547689.1547161099,909213.5153314609,1585010242111.556,1258971.8988569824,210694.08118782568,86404525730.53584,293946.46745714743,602356.4151504579,956761115280.9994,978141.6642189409,92001296.82872199,0.20771086904363364,1.0732809716918719,1.0,0.25620308093298066
413956.91151268646,385657906820.4623,621013.6124276683,854514.5157293134,1464006634244.6396,1209961.418494259,171584.96552941413,56352382482.13605,237386.5676110088,775501.0998833586,1436487689713.8762,1198535.6439062946,81379377.47417776,0.21238208449903123,1.0656784023300512,1.0,0.4581541503978037
379538.69326559466,358642024077.4169,598867.284193599,757965.38667882,978139902553.7046,989009.5563510519,150363.03622480255,43949982891.75771,209642.51212899951,516829.3836872378,540247488291.04156,735015.2979979679,73791832.07616611,0.21426081573383268,1.0493704149793994,1.0,0.2630175964480559
499281.2020225571,472217758771.6355,687181.023291269,716600.2164445252,832499948774.6548,912414.3514734163,182999.87785523623,62570806855.3325,250141.5736244827,554136.992380397,627691221757.5436,792269.6647969955,68457732.7554849,0.2866686772940031,1.099199922672962,1.0,0.2308633318872221
249245.68002028024,113874220874.30385,337452.54610730655,649988.2408539817,827470988710.5958,909654.3237464415,234138.67551905138,120751904515.26007,347493.7474477204,492028.908376544,539800562092.3862,734711.2099950471,57039203.43599613,0.2778220240506231,1.0941415805896046,1.0,0.25511805096637397
333287.77095570334,202282276540.68866,449758.0199848455,826917.5637126609,1104742360867.7393,1051067.2484992286,231860.2991018003,85866733000.4716,293030.2595304308,526198.1757262786,595860058443.5135,771919.7227973344,80020603.89999025,0.22747201499043487,1.0714796517851954,1.0,0.31194298364403755
267974.1997281719,136976969198.21347,370103.9978144163,725988.2575061192,958510428850.8364,979035.4584236653,218758.1041962422,102095453761.14932,319523.7921675776,634597.7983052168,839408889829.0618,916192.6052032191,65570690.161782235,0.23028250167704858,1.0888566825888943,1.0,0.25366486399862453
309290.5133592011,170855349902.49713,413346.52520917257,845493.5990852645,1328534623689.1611,1152620.7631693787,245648.40062333498,99550267761.81645,315515.8756097963,550838.899851966,630745845735.5492,794195.0929938747,76005000.53654331,0.26645065161105724,1.0753437787747324,1.0,0.37421788871046086
339184.937351975,222739649694.38144,471953.01640563906,823977.4431305622,1385806786950.8464,1177202.9506210245,212473.10851982102,81078024738.5682,284742.03191409627,502189.079182478,575544814805.6073,758646.6995944866,79435862.33610246,0.2731592088433768,1.0705158812520208,1.0,0.4344474397714841
559722.8811339523,862747145330.8765,928841.8300931954,1277959.869228475,2789608310928.3457,1670212.055676867,181274.39295178457,53738932727.455086,231816.59286482295,765393.6357111986,1634155619670.275,1278340.9637769866,126048523.14047246,0.2310366025008214,1.1054747618231813,1.0,0.27086167480813816
433091.9093345329,319430591755.40076,565181.9103221552,1006069.3728457585,1871310584514.6804,1367958.5463436677,171214.77484451164,60781272480.36524,246538.58213343655,670935.9956835728,888767029862.462,942744.4138590597,99091079.64416441,0.25514780280849136,1.0545371823625973,1.0,0.30026741462227424
446649.97696689866,398891975531.7159,631578.9543134855,829474.7788861424,1391303928939.1257,1179535.471674814,183506.32044134967,59095385754.60215,243095.42520294813,713636.655602216,1308918538786.3794,1144079.778156392,81830565.98727483,0.32100211094320225,1.1032071974356439,1.0,0.5481827722823484
425322.4567455143,564715690525.8824,751475.6752722489,1187121.3782343983,2593830236514.956,1610537.2508933025,191879.6895743647,70471986509.73393,265465.6032515963,689139.6623314578,2267606608712.28,1505857.4330633958,114668070.66492885,0.24835128580286975,1.0390613033154703,1.0,0.35883641890200657
303393.87262195616,255007148474.16736,504982.32491263235,880618.7179038018,1324876442379.9792,1151032.7720703608,183054.85301760462,57289689586.16202,239352.64691697483,535594.7366692373,507201684413.7818,712180.9351659041,83626705.52119783,0.24829716312076736,1.0626297328834824,1.0,0.2757010363600491
408332.7536936065,407741466463.10626,638546.3698613486,851489.1806456111,1105857671445.8032,1051597.6756563336,184782.63093119793,59244588351.90196,243402.11246392658,538619.8864542346,495775008085.8038,704112.9228226136,83029695.9781494,0.2694727044628058,1.0742796931734993,1.0,0.25487630479383916
299788.9421762425,157012286275.7284,396247.758701205,782767.467573557,1011710410283.8319,1005838.1630679122,168325.50760916565,46599929213.4683,215870.16749302877,480261.8541176772,415916286375.01776,644915.7203658613,75487434.10814704,0.30171905959851464,1.0751087668776924,1.0,0.28475437794761665
352848.1081071003,244615615073.3251,494586.3070014425,729397.265364398,889822313623.2255,943303.9349134644,174925.4381160084,53972721169.98974,232320.29866111514,611682.3097053925,707632346511.1022,841208.860219091,70355145.74103813,0.23414395358065912,1.0435273073784483,1.0,0.27966258272216676
365498.60085474723,208264842691.52606,456360.4306811953,782040.5128634921,1210017144736.9507,1100007.793034645,279841.8377145547,140524814258.51678,374866.3952110362,675348.2227587895,902873853454.4761,950196.7446031774,72922611.8112982,0.263979305790146,1.087303802847207,1.0,0.3018693444037278
