target_rmse,target_mae
1481274.5837125974,821418.5002416992
1308091.6124926277,779476.2039086914
1327223.3461322158,830309.5127833008
1012135.8290957094,678066.1450050782
1803895.4774087116,995312.3069458008
1126034.3466766656,711634.7583421387
1021730.2133632947,699052.6277832031
1303493.8459553428,863813.2027783203
1303401.329959127,825481.348202002
1400955.0983941872,767967.4309161133
1458194.5186139978,811440.78953125
977980.2007891053,662820.826875
1119423.764809245,789189.4054174805
1045299.2851388978,785068.707006836
1727884.7374046226,831249.6245336914
1760015.0145383545,1076473.6958471679
1126183.8000914445,697431.4855755371
1246977.002400368,776899.8157739257
1124920.3525051617,733359.1562866211
1746851.1706413361,937171.5674853516
