source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
302648.04845015716,190121030270.31686,436028.70349360816,801893.0713395026,1251770464210.1284,1118825.4842512878,348933.1605049353,339396100041.84186,582577.1193943699,767166.6521452517,1146880576950.8315,1070925.10333395,,,,,
288320.6830134541,168424373316.6636,410395.38656844525,1018120.4907460348,1897015831929.9094,1377321.9783078716,402938.943491308,321572579675.39465,567073.6986277839,986758.9854194489,1714161121834.1975,1309259.7610230742,,,,,
249273.76315719736,100396841561.75658,316854.606344545,946038.4152871802,1833533284433.4746,1354080.2355966484,374201.4266279603,318859934097.0233,564676.8404114192,1062662.4986162197,2078268106204.6587,1441619.9590060685,,,,,
283733.089861092,144203636994.7371,379741.5397276641,837186.3171664608,1258497845705.0176,1121827.9037824909,279355.4233025979,121243152304.0187,348199.8740723763,2176764.6784802238,7025446589282.975,2650555.901935097,,,,,
350862.9139799478,276203970637.4626,525551.1113464251,800432.9659624585,1339609901353.9294,1157415.1810624956,350645.19373458007,253930194804.8919,503914.86860866874,1650835.9170404985,4091484087790.7393,2022741.725428815,,,,,
521874.122772461,846125430084.4915,919850.7651160004,903901.1353839099,1609328642252.1997,1268593.174446481,412778.719311613,353643706870.1768,594679.4992852678,2108159.086474067,6636152233141.362,2576073.0255839727,,,,,
254314.56523189956,119040138706.21289,345021.9394563379,928214.3298637365,1259246946095.4133,1122161.7290281348,240483.65540235752,99032339700.19704,314694.04141196737,905279.7707404111,1315583355751.5688,1146988.821110114,,,,,
300338.1152458309,200313879970.91556,447564.38639699155,782322.3788732707,1020340865386.9929,1010119.2332526853,243417.10805113305,124953390009.11671,353487.4679661455,2485605.4944507126,9268442890935.494,3044411.747930213,,,,,
297431.8338647237,164438448377.61172,405510.1088476238,718225.2711853434,902149952289.2538,949815.746494684,214956.57622556202,103072158360.77754,321048.52960382414,2678156.3307996313,9343835817611.695,3056768.852499596,,,,,
302831.7225718021,161393467082.40536,401738.05779687513,788047.9466941629,1273420393659.878,1128459.3008433569,210631.28282983988,78882615679.0407,280860.49148828443,1037619.0739744377,1568918584119.0828,1252564.8023631682,,,,,
448247.96637040225,394598227640.65546,628170.5402521321,1077706.5801190636,2344334740263.6416,1531122.0526997976,302895.17538964143,170457432259.48184,412864.9080019781,1251560.7030753389,2503978572156.7026,1582396.4649090641,,,,,
345412.21163265494,199218466073.9306,446338.95872299856,653120.3268231719,980224585778.0514,990062.9201106621,324989.8533297148,158471291260.1819,398084.5277829595,770523.2869059945,1553614805871.8252,1246440.8553444585,,,,,
302585.68097825977,192743632923.10336,439025.77705996187,691677.560729191,1581167298528.906,1257444.7496923695,224485.90338709406,91149025149.34175,301908.96831552015,740764.708046355,1796386004461.2253,1340293.2531581384,,,,,
270313.76015774586,143880829550.31354,379316.26586571994,931304.4502304037,3418474491118.5664,1848911.704522032,445188.0331658005,503148172152.1566,709329.3819884784,1383771.7666879059,4766874320335.763,2183317.2743180874,,,,,
322500.619529574,200960884810.37646,448286.6101172067,746124.2993425481,1415605141744.623,1189792.0581953062,232888.22035420378,111200923641.35782,333468.02491596976,1907615.4683017945,5403498822511.622,2324542.7125591007,,,,,
316899.63209993293,181742512199.88,426312.69298471516,864424.3641326192,1614863124442.5918,1270772.6486050098,348833.59873812675,377897598611.6685,614733.7623814626,1126701.2705362728,2041475147852.0806,1428801.9974272435,,,,,
474474.75931149354,454273698900.6556,673998.2929508468,873915.4123462853,1283509088342.1091,1132920.6010758693,262940.12803299667,116985420973.67032,342031.3157792285,1377642.0533037996,2820719392856.754,1679499.7448218782,,,,,
