source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
435659.3647158956,366775145109.7222,605619.6373217453,1237604.5491561207,2221949934337.5107,1490620.65406914,428409.37444467423,342361464895.81323,585116.6250379605,466610.1436242622,447463174755.3632,668926.882966564,,,,,
309294.24093781685,172364572597.92322,415168.1257008096,3269669.289721594,14366103008975.512,3790264.239993765,301374.49981794436,170358086150.05096,412744.5773720728,373344.74108690635,266197865410.36398,515943.6649580688,,,,,
412145.9095682915,327619299815.087,572380.3803547838,552289.7633523591,706657623622.5103,840629.3021436442,405539.99317518837,317280601566.6103,563276.6652069037,510464.07347915287,577797218122.82,760129.7376914154,,,,,
468665.91466788395,474008410560.8642,688482.6871903636,2841322.053791314,11606792351805.453,3406874.2788376347,474006.84524753527,482793693623.1185,694833.5726079437,580437.9268699302,689460783515.235,830337.7526737147,,,,,
405219.5915660275,340814072352.15686,583792.8334196617,800842.6318348893,1244412295599.3752,1115532.2924951008,404276.43686856236,350332167274.6332,591888.6443197177,608679.5943698554,732625329646.5651,855935.3536608737,,,,,
407081.948136684,323184507991.4227,568493.1908048,1092184.8427642367,1659836399848.0403,1288346.381936178,402610.533804036,331409130367.582,575681.4486915328,510340.1760828393,514627581392.03064,717375.4814544686,,,,,
505770.4867115442,759502816069.2906,871494.5875157749,2521007.7339955443,8819008142848.268,2969681.488450953,520775.26464792853,793398909220.6509,890729.425370382,571483.8461726989,884861706687.9624,940670.8811736241,,,,,
374758.949183611,300809460766.1038,548460.9929303121,862855.3766583174,1317011694107.3787,1147611.2992243404,374450.67632701865,288420685071.82697,537048.1217468571,520639.13526560314,588528498372.9359,767156.110822912,,,,,
477079.33008797833,406499816400.7551,637573.3811889853,1033437.2612807577,1699834081635.5254,1303776.8526996963,478089.3455103602,403885897033.5736,635520.1783055937,540485.1574070848,511699525158.32526,715331.758807286,,,,,
428186.10738521226,402834253792.8077,634692.2512468604,631124.9157849684,868921063841.3816,932159.3553901509,423100.57661779074,353277585288.3686,594371.588560867,454223.043481686,452661039567.1976,672800.8914732483,,,,,
402810.7193212649,287172711166.24207,535884.9794183843,2624667.9910329906,9113491302514.01,3018855.9592193216,392191.33430412825,280505079407.8998,529627.3023626141,500104.7194159659,481321509840.8517,693773.3850767495,,,,,
423954.8304776333,355570934924.0034,596297.6898529823,1232113.583949386,2414497792616.683,1553865.435813759,433722.9663667408,374726313793.3681,612148.9310562978,525774.805549578,537806039269.65594,733352.6022791873,,,,,
426004.99293169664,381637117413.09576,617767.8507441899,1247960.3957584605,2302380983550.8096,1517359.8727891843,429792.7070054756,383076382959.6181,618931.6464357094,477674.4871048744,481772099106.5947,694098.0471854064,,,,,
420549.6065980316,535236297286.56494,731598.4535840442,494402.19871965604,714766143801.4963,845438.43288645,428552.1510872856,534539491381.71454,731122.0769349771,448045.9721142763,612602744239.3315,782689.4302591109,,,,,
353059.1853156789,231932047084.94702,481593.2382051756,530392.1098835794,678584358036.4285,823762.3188981324,333875.56422576646,222708594466.76123,471920.11449689366,469526.614606519,391216038659.13574,625472.6522072214,,,,,
380805.0853365262,301384856730.7031,548985.2973720727,892589.8955834125,1206902933009.975,1098591.3403126637,383225.2200998148,298302920310.25616,546171.1456221907,443286.11306114873,396959701323.0494,630047.3802207651,,,,,
392637.8572941846,309134719221.662,555998.8482197261,2317655.737884817,7366553580333.415,2714139.565374893,396861.16514121456,335343939940.0212,579088.8877711445,542945.4202808018,600463124214.5809,774895.5569717644,,,,,
446669.3480993229,405709749378.8156,636953.4907501611,1342920.1439312957,2577793067545.359,1605550.7053797331,442599.53153690766,405785081538.8873,637012.6227469024,551705.1417158874,602552281365.4489,776242.4114704432,,,,,
454061.913558564,451022142280.3324,671581.8209870874,1519440.53893444,3341643129845.1694,1828016.17329967,456684.46506466623,447514819068.9271,668965.4842134437,538364.5527901527,642918208186.0522,801821.8057561495,,,,,
447499.80704252777,404449019024.46716,635963.0641982813,613917.4756720942,846893567281.985,920268.2039938058,431065.19998367404,378145083218.35767,614935.0235743267,520975.6545533153,538073881332.01874,733535.1943376805,,,,,
397352.2972557841,280690465586.7308,529802.2891482546,1028110.213317335,1569853295748.357,1252937.8658769783,403258.20543357654,289559363678.7572,538107.204633758,533445.829895446,488794480508.62415,699138.3843765297,,,,,
384130.66625017434,281989453095.39276,531026.7913160246,896395.75823547,1208133973330.4768,1099151.4787919256,385255.9278744309,276084154958.81726,525437.10847143,514784.3426123076,461039692992.4294,678999.0375489714,,,,,
392526.86718544515,322274278609.3727,567692.0631903997,674023.648474075,854347749784.8212,924309.3366318557,386092.542681268,313478385705.043,559891.4052787764,538322.006429728,548466563116.9778,740585.2841617755,,,,,
416395.0546613366,320329132638.67413,565976.265084212,2243138.534771814,7126415574727.428,2669534.7112797443,413350.19047016744,323507232912.33014,568776.9623607572,514496.141538204,522463920934.64417,722816.6578978684,,,,,
376257.1865227542,283973338105.8529,532891.488115407,911164.339446837,1253406489229.8352,1119556.3805498297,379206.09182008967,285496987779.22345,534319.1815565145,418993.0541445802,335510211434.5993,579232.4329961154,,,,,
434495.2467954621,364493089803.6401,603732.6310575238,477336.05202626844,573184303489.0613,757089.3629480349,428579.6164217861,364927674945.9662,604092.4390736622,457527.05158693355,419826707726.98126,647940.3581557344,,,,,
414441.70891802054,346674218325.22174,588790.4706474297,979665.3336878096,1494812484794.0837,1222625.2429890705,402859.0263482917,332016180653.3226,576208.4524313424,558300.8773160791,608048495412.4435,779774.6439917391,,,,,
387709.2370375398,309463705623.93536,556294.6212430382,942791.8445211381,1344196879400.1,1159395.0488940773,395776.99893517676,308813155245.63,555709.5961431924,454888.82409115246,396276087942.3035,629504.6369505975,,,,,
423071.0291075376,339586469971.8561,582740.4825236154,1110129.7282350126,1876569176795.0403,1369879.25628321,413501.5216989798,330025890895.31366,574478.799343643,479500.65876543697,435771818856.21564,660130.1529669855,,,,,
416075.20685598,353582782687.6401,594628.2726944962,591927.983237632,704192543207.7239,839161.8099077935,415794.18752610526,358833026270.4412,599026.7325173737,457161.81568007683,437718681786.2623,661603.1150064685,,,,,
355129.7151975596,233636866882.5879,483359.9765005248,1011558.9333856631,1557196628625.0051,1247876.848340815,361981.35890599585,241766505436.0359,491697.5751781128,446375.89457871846,361059543442.49133,600882.3041515629,,,,,
399390.38721268286,287281713038.3712,535986.6724447272,653192.1605127925,971922821178.2664,985861.4614530108,394894.3932155849,290179779593.512,538683.3760136951,469150.28360692423,413091487500.98566,642721.9363776109,,,,,
510079.09366763657,980407247258.0066,990155.1632234246,1876504.65276572,5586840090983.553,2363649.739488394,501415.130601942,1011011354203.9767,1005490.6037372884,636398.0987731635,1316555403092.1917,1147412.4816700364,,,,,
