target_rmse,target_mae
1590717.0849564716,928578.4393620564
1457505.9524088067,952668.2121465823
1675273.602179556,1014465.2048821895
1318645.4027746352,867171.1582841508
1465097.1317249967,1010649.4212047011
1214212.8627024272,891364.9142473275
1515744.42780545,985594.4250285288
1165053.8952477733,846830.0319277754
1308678.9309555064,950556.383075298
1353383.2726854368,929014.6284689753
1041117.1578060857,790994.403861269
1295159.1183537,970675.8527070588
1673182.9270356374,1056326.0521276428
1346399.4259411134,855851.1993040992
1457052.58178021,984328.7898496166
1040981.3504834783,784805.3773314053
946834.7363010204,748862.2896585985
1236319.2817089248,829920.0706447603
1434461.0388999914,944593.6827581458
1009961.7820724632,764764.2016384879
1424088.5527962344,996525.413958335
1167470.0563660692,841888.0507159184
1405463.460938016,919654.4884593497
1354095.2864995296,948128.6064560366
1275795.5555429803,882915.1220138435
1240505.1938989784,861677.8286719151
1434281.3879888826,984206.6490473782
1328977.488785141,900963.7953299716
1393178.9327038212,928688.1000403468
1307130.1111912532,866290.116933347
1307749.6412897394,904477.46286456
1246336.9064536213,877809.6322570262
1520342.5937510906,986413.6820518868
1476244.6374886094,962732.8765246192
1132830.1628766367,813466.6870583404
1224895.2630631935,911947.345115105
1387049.509226184,949207.7028672097
1204000.304622025,821598.8424225993
1748255.1496112228,1015651.6850126517
1433118.7583499851,1010519.7360094904
1388620.9610473572,980490.2606728629
1122709.0881045896,857691.1106048274
1187263.6273623954,898176.792178508
1112338.3907741283,846780.0542539565
1244761.3788905295,818874.6653576447
1390674.126870193,957542.2925069501
1093768.5575275123,831028.7906976572
1315825.5257161185,874228.8140931819
1167798.442469323,804574.7487578865
1212262.87292761,883145.6048726056
1603814.1700336547,1037250.8815508686
1631299.7814086692,993824.8451633947
1142511.446889405,803797.5418080894
1457877.2143677084,941594.047397809
1313106.1979770302,964651.0365285309
1256672.8535910193,928950.1509724144
1238018.1311112882,894160.4551573199
1055618.273903548,783461.2537247622
1217917.698465795,889369.1923458324
1605072.0083998672,981122.229585359
1140042.924234247,877805.2995241996
1039618.0472874311,791679.9037541739
1260194.0510256526,870404.9811906677
1220166.7822463294,860455.3294403749
1316724.5646105367,904844.0419171127
1721436.3166488563,976669.1912933134
1219728.081978962,859850.4259624775
1257733.544853279,892431.4187975837
1242284.9167083863,882307.5862723324
1175480.3810683682,845171.0979799755
1307368.314240354,859668.1423388945
1249943.1032716674,887578.4828762633
1238770.6833844802,897391.6776718698
1092247.14641954,811932.8011888134
2184639.8893185183,1011144.4224244081
1249689.7996370494,888642.6061842901
1181269.9937978329,866346.4111874441
1142063.868232979,815131.8248404505
1106002.988400396,791625.13980181
1157574.0204680641,870637.7213589958
1376306.8510686883,933476.6922633445
1274520.7015609161,897579.9589226736
1321164.5044573792,935254.9929469872
1110090.2292576458,833450.9595453154
1146248.6578180732,874396.7679499217
1518924.0208223292,1001880.5544964566
1408125.8671904947,855498.1778442388
1314761.4397235522,960790.5626413521
1274393.0047007455,918162.0881768485
1248703.1563781044,866358.509142325
1244359.2606649783,867618.3271666581
1588346.8436395992,1050055.4976547682
1175567.658884594,859921.126918006
1149795.1927564894,869870.432757616
1219609.686491112,874749.0910824178
1313693.8115658672,874053.4747579903
1321475.1355432328,928956.313157829
1165332.8515045345,840361.1737295991
1393325.8851689706,964930.977257812
1207183.8310077272,917890.3639738191
