source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
317437.1295452595,453924889945.2355,673739.4822520314,356635.6267652053,241679128728.75647,491608.7150659114,251538.70660404288,108901368677.00858,330002.0737465275,355506.3028392597,240344795983.9779,490249.7281834819,,,,,
382171.82151603006,218658299855.2581,467609.131492594,498932.1533025874,466806718000.29047,683232.5504543021,333119.7774383392,180878186092.56155,425297.76168299024,503409.84732556046,463398708835.4422,680733.9486432583,,,,,
362004.97343503736,423738180207.3242,650951.7495232072,480230.28114601935,501377452388.80975,708080.1172104819,205842.10842939364,68870765118.12811,262432.40104477975,474108.0907248623,489888603503.7818,699920.42655132,,,,,
302219.8155904201,195748661741.70853,442434.92373648414,521097.05862821057,528281685415.7711,726829.8875361215,311971.0857723477,168091161572.40488,409989.22128807835,532924.8465997482,543276402691.16064,737072.8611820955,,,,,
278519.43334977556,183617814030.2699,428506.49240153865,678753.7483235066,3156364822223.47,1776616.1156038945,628480.9710101865,714587389515.6748,845332.709361039,676752.0978420659,3146131464812.503,1773733.7637910892,,,,,
341920.42742802127,291546387498.5047,539950.3565129897,682463.2343912983,1258605561234.7742,1121875.911692008,468532.3215706119,372019411061.5193,609933.939916053,684227.8325669339,1262684986894.7263,1123692.5677847683,,,,,
215461.73239846373,93243720338.71019,305358.34741940524,498936.922679751,475450472970.5275,689529.1675995494,215451.78101414698,85880473067.30145,293053.7033843822,493213.3162397806,465133656467.51306,682007.0794848929,,,,,
327065.12228572275,280637024463.0266,529751.8517787613,543729.268479136,1348369174820.532,1161192.9963707721,504616.42216609156,673135861811.0374,820448.5735322095,548146.1399422343,1349367366841.3894,1161622.7299951517,,,,,
280526.023836421,212400300931.40823,460869.07135477016,518485.5760029148,574690349514.1167,758083.3394252354,319798.69904713065,195683226070.18817,442360.968068147,506819.13036002545,552122355019.2661,743049.3624378303,,,,,
369936.475416396,299733514892.21564,547479.2369507867,551759.2573795439,843042113298.412,918173.2479757903,392448.9856541354,262404688887.74844,512254.51573192445,558347.4625708489,846717090092.0155,920172.3154344601,,,,,
