target_rmse,target_mae
,
79161530000.0,79161524000.0
47500607000.0,47500603000.0
8522956300.0,8522956000.0
,
14121035000.0,14121035000.0
,
31274942000.0,31274945000.0
,
71194670000.0,71194670000.0
,
,
26012318000.0,26012318000.0
23461054000.0,23461054000.0
5568425500.0,5568425000.0
8048963600.0,8048963000.0
23609524000.0,23609524000.0
229045760000.0,229045760000.0
,
,
,
93495580000.0,93495580000.0
16475231000.0,16475231000.0
128273070000.0,128273080000.0
146083660000.0,146083660000.0
233110370000.0,233110370000.0
29193974000.0,29193972000.0
44900524000.0,44900530000.0
,
21059535000.0,21059537000.0
722363740000.0,722363740000.0
13030524000.0,13030525000.0
292380840000.0,292380840000.0
329655120000.0,329655120000.0
,
,
30976346000.0,30976348000.0
,
,
8335397000.0,8335397400.0
391461400000.0,391461400000.0
99809790000.0,99809780000.0
,
40622260000.0,40622264000.0
66610237000.0,66610237000.0
,
11325998000.0,11325999000.0
143279060000.0,143279060000.0
,
38345777000.0,38345780000.0
142653800000.0,142653800000.0
,
,
58902614000.0,58902610000.0
220902010000.0,220901980000.0
31953332000.0,31953332000.0
50430284000.0,50430284000.0
47473185000.0,47473185000.0
20301990000.0,20301990000.0
59127450000.0,59127448000.0
33151177000.0,33151175000.0
,
,
2571149300.0,2571149300.0
,
18868134000.0,18868136000.0
,
128244050000.0,128244040000.0
39673560000.0,39673565000.0
,
125678500000.0,125678510000.0
5422084600.0,5422085000.0
6412809700.0,6412809700.0
,
25205030000.0,25205033000.0
3751966700.0,3751966700.0
105270000000.0,105269990000.0
,
97359570000.0,97359560000.0
11264893000.0,11264893000.0
,
8914665000.0,8914664000.0
,
,
114616120000.0,114616130000.0
21492216000.0,21492216000.0
12890401000.0,12890402000.0
4515756000.0,4515756000.0
148490080000.0,148490060000.0
185836300000.0,185836320000.0
226713270000.0,226713270000.0
,
292503450000.0,292503500000.0
56663925000.0,56663920000.0
43230454000.0,43230450000.0
66177000000.0,66177004000.0
15513652000.0,15513654000.0
367621000000.0,367621050000.0
126525930000.0,126525930000.0
,
