source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
425483.9649222412,636115832512.7794,797568.7008106445,668211.5517716819,1150958471067.9946,1072827.3258395288,215004.31265106975,113791883439.03601,337330.52550730715,992886.8204446295,2357366577523.4,1535371.8043273427,,,,,
413939.1238548792,496610434494.05206,704705.9205754213,657234.3234803148,668832060378.6017,817821.5333302259,223308.70924188578,95246007450.23451,308619.5189067511,1103170.6477602879,1928561079867.4326,1388726.423694542,,,,,
398746.16732095357,529742053384.0771,727833.8089042561,739087.3128301933,1329197132955.3171,1152908.119910393,232364.39410583104,116617821568.90115,341493.51614474494,894667.558432124,1938707818486.4307,1392374.8843204658,,,,,
511022.6530056834,727444313874.2273,852903.4610518516,837953.0609692879,1670155032505.157,1292344.780817084,355578.46089447,250633340605.65195,500632.9399926177,1267071.8751434793,3045435003105.0425,1745117.4754454333,,,,,
417582.2365965761,377630828378.4579,614516.7437738844,742560.1553743373,1553519519947.0635,1246402.6315549335,242729.44949275348,103767805689.74107,322130.1067732432,1020027.9478608723,2281546080646.858,1510478.758753945,,,,,
581343.9621817314,769485575535.4297,877203.269222949,714873.8785035515,761237579436.5693,872489.3004711114,268335.09593802766,207619209280.8535,455652.5093542814,1140351.385304248,1918395660095.146,1385061.6087723845,,,,,
293657.3991926074,184002001638.97855,428954.54495666386,737804.7614841657,1458866515188.3115,1207835.4669359198,232730.48377188266,93338981757.4798,305514.29059453146,1153860.2166617056,2678226848152.243,1636528.9023271918,,,,,
508826.93782982876,715937866024.4644,846131.1163315437,894323.6062602343,1070690790908.6012,1034741.8957926664,323285.09696385363,204890313734.4732,452648.11248305585,1376641.516212701,3585400146288.978,1893515.288105427,,,,,
476412.2453869134,598129996687.0249,773388.645305208,681874.7779266451,1067305774573.0939,1033104.919440951,258894.91796628584,119126425510.87346,345146.9621927353,837836.7436983793,1371020619740.85,1170905.8970476023,,,,,
401854.04696244013,425185284069.0185,652062.3314293033,739359.923961427,1173589314066.7715,1083323.2731123113,243849.47786285012,150160970753.04504,387506.09124637645,829964.6074381002,1507869933012.2969,1227953.5549084488,,,,,
466033.0330706939,480781101666.87396,693383.8054547235,646355.6937047405,643021353536.1508,801886.1225486763,254711.42640013888,132619650242.87791,364169.8096257815,893433.089729077,1267134088459.474,1125670.5061693115,,,,,
502818.4373474741,560770848655.7819,748846.3451575242,661427.4553303528,668182197529.6642,817424.1234082,182695.06373429354,63205389173.4531,251406.82006153514,1092731.1880212398,1889670823790.8215,1374652.9830436558,,,,,
623007.2718709924,961027273021.9553,980319.9850160943,751700.6872043408,849219218950.3972,921530.9104693109,268118.7135984412,116503463958.49677,341326.0376216511,1275787.0675195577,2758131789644.083,1660762.412160175,,,,,
503007.4419893022,456522795425.55084,675664.7063637044,776020.8621660812,1077157130397.4628,1037861.8069846596,294104.4253180343,162636415607.48535,403282.0546559013,1358548.8837903491,3094569911822.529,1759138.968877254,,,,,
522880.4173392484,650876500636.1721,806769.1743219817,870861.3659862679,1476098397446.2568,1214947.8990665637,276902.46281746787,163492611269.9337,404342.19575742236,1402089.402673712,3819459833620.759,1954343.8371025603,,,,,
330827.1976276218,300429405245.8254,548114.4089018509,999483.9158867779,2646988205014.677,1626956.7311439714,430477.7746044191,454270529783.64545,673995.9419637817,1317203.370089963,4436736124676.537,2106356.1248460663,,,,,
479672.919237041,599814678133.6895,774477.0352526209,789118.3848758279,1017854014817.6598,1008887.5134610696,300325.54872014537,187433052986.8491,432935.3912385185,1178972.2421718366,2465672751464.0723,1570246.0799072457,,,,,
338310.74328880734,223147532415.64392,472384.9409280994,644823.4137384613,701227948940.7728,837393.5448406399,167821.55546383891,58464925609.141945,241795.21419817628,891481.7358514477,1611358765891.6455,1269393.0698927126,,,,,
362485.7208091606,234792893170.9819,484554.3242722965,661323.3849247969,1297671186151.0022,1139153.714891455,304248.45130827435,170228384655.63934,412587.4266814724,775104.0673937532,1395696981436.8518,1181396.2000264144,,,,,
516786.9037734187,716840283510.1001,846664.2094184094,701600.5401405215,833217533760.0535,912807.5009332765,238113.5117542754,127842777208.56355,357551.0833553208,1067187.5501676898,1835930175696.29,1354965.0090302296,,,,,
571047.6305519082,638541671762.7305,799088.025040252,673048.4718914601,723850832791.0175,850794.2364585091,200614.48173527542,89273578029.82124,298786.8438031053,719288.6209115991,976260276983.9738,988058.8428752478,,,,,
562024.2883521882,1101219073294.775,1049389.8576290773,784002.8910958503,1273002670998.545,1128274.2002716118,243527.75226946254,110541588417.29082,332477.9517761904,1186013.0594385709,2994342589195.766,1730416.8830648197,,,,,
627848.2176041353,866215772450.2242,930707.1357039358,678572.6559987988,571796761649.1539,756172.4417414019,185614.15524161013,77003300366.6401,277494.68529440364,942865.8962739366,1468451596003.0264,1211796.846011338,,,,,
399270.18417158036,333200697837.3652,577235.3920519472,765635.67633983,926853092636.1216,962732.0980605776,174639.14884749486,54852434297.108154,234205.96554551754,1231280.075865978,2920888651846.285,1709060.7513620704,,,,,
460562.3310059756,400976525510.11694,633227.0726288611,709217.7217110293,1589709075721.588,1260836.657034363,222182.1126419581,94609358903.56653,307586.3438183928,1099462.633661794,2455837700203.449,1567111.2596760478,,,,,
654441.9132266894,1008852574715.6156,1004416.5344694479,916267.1742484914,1054900797924.0415,1027083.6372584471,231184.95152003068,105297312269.80574,324495.47341959295,1428782.4702097634,3024167723549.619,1739013.433976178,,,,,
443258.7900692992,499945371150.60474,707068.1517015208,716819.711512805,1143442174561.581,1069318.5561663003,314782.11532931833,193973483902.79236,440424.20903350937,871724.3045932077,1504250350504.6628,1226478.8422572413,,,,,
481595.3047837557,581624622638.2233,762643.1817293217,693270.5707616772,925844064781.4982,962207.9114107814,310269.9680547072,206388453823.59457,454299.9601844519,954644.0547694424,1734745313309.9368,1317097.3059383035,,,,,
402265.32368728356,375753703605.65936,612987.5232055375,555013.117232626,552121336915.1581,743048.6773524047,240198.60652674857,114594473908.03474,338518.0555126044,910659.2121291042,1477181144541.1584,1215393.4114274103,,,,,
705637.0869504759,1269916619495.9849,1126905.7722347442,792394.1967307797,1137006554050.1382,1066305.0942624903,178470.06440535962,70212372806.97704,264976.17403641605,1079097.5943638082,1847874498235.7754,1359365.476329223,,,,,
405792.9812754972,363787374314.90393,603147.8875988077,582742.0271570038,474897197730.0095,689127.8529634465,173421.74539726521,60013731611.72538,244977.00220985108,903988.3026372114,1437194893105.4968,1198830.635705268,,,,,
262799.64120969916,146836396750.31363,383192.37564220093,549815.691629998,792355120669.9119,890143.3146802328,209270.95131275794,92929174094.12263,304842.8678747834,831037.7449544753,1595367488898.186,1263078.5759002431,,,,,
356838.03925675957,258238505026.7293,508171.72789002076,868890.054363653,2309676496563.483,1519761.9868135545,306086.3185683064,246614820655.54785,496603.2829689589,1236818.4686218714,4225924913787.811,2055705.4540443802,,,,,
830327.864010058,1598890687273.8171,1264472.4936801975,897175.231848372,1361714328783.3499,1166925.159889592,238706.20048831456,140026687081.40692,374201.39909065934,1361673.9212142578,3561792947189.886,1887271.2966581902,,,,,
346636.743617294,288596513859.4964,537211.7960911659,657791.9903870054,697923185959.994,835417.9708146061,298898.3393068762,165719535642.17227,407086.64390049974,1076457.9730839035,1706685863365.32,1306401.8766693962,,,,,
431635.5860388652,332830955255.2568,576915.0329600164,888687.8232490447,2222007015285.965,1490639.8006513729,242413.30535434483,109128063219.55637,330345.3696051397,1388163.225296129,4818932137497.253,2195206.627517613,,,,,
413067.15356724354,414035055655.0958,643455.5584149505,696332.4565218105,1219206256926.5896,1104176.7326504348,266100.9735948121,128122039072.1118,357941.3905545317,1054348.8031109723,2552670288676.5957,1597707.8233133228,,,,,
475718.76027814473,560079805501.4985,748384.7977487908,940703.9802201173,2160974446978.03,1470025.3218832763,308101.0725243514,186822131291.22913,432229.2577917755,1082382.5376896611,2805676369979.941,1675015.3342521796,,,,,
467771.7333350076,521558699554.69885,722190.2100933652,864637.3362035806,1480166412138.8293,1216620.8991049058,182461.07438655023,71343122634.54599,267101.33401865663,1135581.9180314601,2459960135911.8994,1568426.0058771977,,,,,
434452.7059059724,509722925013.8287,713948.825206561,731722.6967202142,1437220317857.0615,1198841.2396381188,253641.9880896195,130453788103.35033,361183.8702148122,913419.0170867507,1927971418075.0928,1388514.104384645,,,,,
378995.22535399225,309757738622.88245,556558.8366227621,622332.0987717758,1293509785905.8625,1137325.7167170108,204291.17756980046,79637893929.55174,282201.8673388816,894156.6131304209,1704011433020.2893,1305377.8889732617,,,,,
307779.58727458457,201222795848.9243,448578.63953706523,621174.8059545499,709986166581.3573,842606.7686538943,168254.8517529523,51884233521.48367,227781.10878974065,996872.428651702,1976281196722.1875,1405802.6876920485,,,,,
481673.27430697455,647663831189.7137,804775.6402810125,896612.8491511638,2003365761527.778,1415403.0385468933,200041.61266354777,67521815917.86444,259849.60249702987,1240020.498281594,2923719117789.3438,1709888.627305692,,,,,
475193.2439859021,641831341857.4609,801143.7710283098,781767.9755543631,1460088431259.6707,1208341.1899209886,266124.69911616074,129432458727.72844,359767.2285349632,986016.3565884818,2076468868113.1,1440995.7904564121,,,,,
520001.9191714453,488222353018.358,698729.0984482884,673560.8092184504,665052502305.5042,815507.5121085667,187641.00460477895,67660872581.014465,260117.036314453,949785.0163291356,1927863379353.3906,1388475.199401628,,,,,
694096.5269240818,1563656392941.043,1250462.4716244158,813411.5857883126,1394537246820.1978,1180905.2658110207,171235.86337337657,60709162235.94921,246392.29337775402,1081449.3490446198,2087311141519.8975,1444752.9690296184,,,,,
633559.4424035063,1264054135074.8389,1124301.6210407414,711699.71676875,803599169971.2375,896436.9302807853,272603.00036033185,172341074591.3204,415139.8253496289,853458.2563174817,1155818900008.2808,1075090.1822676463,,,,,
657623.7646015974,1242697345272.593,1114763.3584185448,859407.0032614416,1636619121585.836,1279304.1552288635,193831.51133432475,78416283881.90294,280029.0768507852,1194537.1602131606,2952092178893.3223,1718165.352605308,,,,,
455609.3174388392,568752025875.3413,754156.4995909942,694640.3069600527,701413165516.1464,837504.1286561794,242596.4322283836,112321838249.07301,335144.5035340323,1082040.949235985,1996097129399.2485,1412833.0153982276,,,,,
376830.95566183527,322728666811.4132,568092.1288060707,690085.8498961937,1892023512119.8374,1375508.4558518124,265061.2275149964,150127030100.84198,387462.29506990995,983296.3889119496,2500950343661.6504,1581439.326582481,,,,,
468873.67307168554,478358086429.93085,691634.3589136754,856501.6286426602,1365513728229.2744,1168551.9792586355,266282.2099219906,143397748943.25397,378678.95233727206,1508412.387309403,3733620613539.987,1932257.905544699,,,,,
490108.5667789573,718234916224.9824,847487.413608593,974448.028026764,1769678504843.0044,1330292.6387990743,214598.31275661304,75302737710.736,274413.4430211756,1325105.325317557,3350781564771.006,1830514.0165459006,,,,,
