source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
426379.0806968131,651385850816.483,807084.7853952415,1016620.9203893632,2347874819690.245,1532277.657505403,203053.55713345867,106802261316.85364,326806.1525076504,640410.162277837,1051285145776.4156,1025321.9717612686,,1.4054734142720615,,,
401647.86610277876,486267832002.9844,697329.0700974572,1113661.3930797274,1880326593889.6665,1371250.0114456394,211948.09210266385,85055245812.3439,291642.32513876294,556652.9810664764,514362137846.5938,717190.4474033336,,1.3628286441495805,,,
379711.36390433385,499610978947.5982,706831.6482357014,900410.5773535873,1934173435832.8962,1390745.6402350848,240712.44729189965,120371080958.43692,346945.357309241,628431.9569531917,1081628736612.8413,1040013.815587486,,1.3554940316579227,,,
489084.7349191066,716706957693.1871,846585.4698098634,1210800.9006138255,2834626307484.8057,1683634.8498070494,353336.64334355056,251696064870.88773,501693.1979515845,749718.6767828383,1645343007375.065,1282709.2450649387,,1.3267564427734038,,,
414708.7376186007,367027032634.38464,605827.5601475923,1002489.6045465716,2338806619401.123,1529315.7356808707,221691.32697083865,87185361465.7024,295271.6739982052,709261.7844067995,1395542833280.4163,1181330.9584026046,,1.3581308331047361,,,
596812.5638814996,808779466971.9034,899321.6704671936,1153615.1272580198,1999637358345.8245,1414085.3433742337,258830.37765632648,194524342918.45657,441049.13889322645,673032.194238826,683373944783.2828,826664.3483199714,,1.3850816116684643,,,
289290.0159708332,177606975259.2437,421434.4258117076,1152361.9664468006,2672364081957.272,1634736.7011103875,219912.66394044473,82585454765.96361,287376.8514789659,590370.6560876742,1061247076011.4507,1030168.4697230113,,1.3821043145638146,,,
543943.7784142839,784632495242.4719,885794.8381213744,1368672.1847142458,3678579705913.035,1917962.383862894,262289.42971973866,128024722912.19879,357805.4260519239,759139.8127604111,738275433560.0004,859229.5581275125,,1.3231564550119352,,,
471042.93332057557,583992411790.0253,764193.9621522963,876848.3444732195,1436293288878.9688,1198454.5418491971,224190.1805293937,99153000294.47049,314885.6940136698,633009.5520730364,1066850514904.2345,1032884.5602990852,,1.332140307097321,,,
398528.1642401211,422239705271.2508,649799.7424370456,893115.5956133445,1582975733119.9055,1258163.635271623,233116.4148376338,132661605201.05016,364227.4086351138,631781.2027327747,1044513644901.5814,1022014.5032735991,,1.3723469087583173,,,
469593.7948415214,491046172998.0305,700746.8679901684,860437.6505827856,1194877747277.2444,1093104.636929715,272371.0153044871,151283551144.31668,388951.8622455955,594130.6059488129,597201265042.3562,772787.9819474136,,1.371742266046358,,,
541158.0506325136,640793209484.4872,800495.6024142089,1092745.6721263228,1924499857924.0137,1387263.4421493323,195226.02000114898,70804169817.9793,266090.5293654385,604763.8912925172,586391146540.6045,765761.8079668145,,1.3497662715059242,,,
595879.3790304244,912852392621.3754,955433.091650784,1266126.7168712767,2813495878981.8867,1677347.8705927064,269522.2722348111,116092765434.00133,340723.8844489792,704675.1467088445,678526044532.948,823726.923520743,,1.3309649153375047,,,
484927.82699133566,446174727729.7484,667963.1185400496,1290314.863818518,3005540311705.301,1733649.4200689194,279762.77712649264,139770153878.36618,373858.46770986234,682833.7718382566,899160732992.8441,948240.8623302648,,1.3575908903118659,,,
518080.4720913105,629732167251.3971,793556.6566108542,1436985.9409487576,3934286995720.8276,1983503.717092768,309092.70475266967,191460494659.3963,437561.98950479727,793748.1323020895,1326436468333.0515,1151710.2362717157,,1.360699264853568,,,
349774.06851003953,305860152045.857,553046.2476555257,1341495.2314469526,4429857583520.418,2104722.6856572856,440817.4648317253,460260895693.2031,678425.3059056709,860536.2486253083,2148116339818.8389,1465645.3663212117,,1.5098085597152626,,,
479575.3040363344,607188137229.4779,779222.7776634085,1171479.7007177316,2411502584829.901,1552901.344203778,305821.59629224887,195399485614.38196,442040.1402750456,709944.5440304446,824059531211.4231,907777.2475731164,,1.365328383926787,,,
333838.0396026892,218391836894.9552,467324.1240241672,902411.9812274885,1594767550916.4307,1262841.0632048796,162735.56514115699,57163728713.50644,239089.37390337203,560436.9007301613,599056377420.6124,773987.3238113221,,1.3960024183083974,,,
349384.03272596275,214438532566.50577,463075.0830767142,840189.9991823043,1507328423086.2812,1227733.042271927,304036.81276374485,173102077080.90347,416055.3774209672,620375.154268126,1231192128553.099,1109590.9735362392,,1.3377125432072905,,,
528405.3303806498,748053114907.647,864900.6387485483,1099755.040555694,1947235474845.8774,1395433.794504733,227865.7882098308,114963804285.86559,339063.12728733214,664821.7935968818,843056817027.8834,918181.2549970095,,1.391868621304513,,,
557400.1314112141,618283340774.7378,786309.9521020561,710684.1804937907,955460582901.9855,977476.6405914698,190513.20380882637,84778851057.0235,291168.08042267186,648205.5408853999,684194441886.1111,827160.4692477216,,1.4328688893798087,,,
