source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
415265.562246659,629016317610.1923,793105.4895852079,1016549.2508909309,2384872519749.3687,1544303.2473414568,220274.8390901388,110073980349.70146,331773.9898631318,721694.5446353969,1569634137086.4512,1252850.4049113172,99202135.53252755,0.31079277910941955,1.0198847303364005,1.0,0.2924285947580857
405465.87921256234,488969195943.85236,699263.3237513979,1055065.1417720763,1867925224037.6252,1366720.6093557035,226196.691104925,94900965383.76886,308060.00289516465,708821.9760756178,1025664148156.3275,1012750.7828465636,103166283.09206918,0.33670129009542327,1.0187322815860007,1.0,0.2703076565746917
380698.63309363666,498984902622.4837,706388.6342676273,911664.8408385485,2006876712711.2324,1416642.7611473657,222509.7339926198,109746794486.66841,331280.537440201,734024.337291446,1498550259272.9502,1224152.8741431562,87435351.74949059,0.33143696351089286,1.022474336063084,1.0,0.2407652757348503
506212.73044451623,746832825383.0475,864194.9001140007,1254821.4416945002,3012341482698.205,1735609.8302032647,361494.2989338025,257796142039.72046,507736.2918284653,947976.048732363,2821387256565.23,1679698.5612202059,120189109.32631253,0.3326865791504552,0.9727849669114106,1.0,0.25099626039009504
425279.51770071674,391427497111.2956,625641.6682984723,1018718.246313787,2251574082393.8,1500524.6023953755,244491.6356944232,106795193864.1985,326795.3394162752,885720.7091990273,2050863669158.4902,1432083.6809203888,100407723.85405968,0.3702063658488832,1.0083972324234414,1.0,0.3969061975637875
576817.9767154236,745024724642.0533,863148.1475633562,1143698.8814033635,2000317003022.874,1414325.6354258994,292117.83384424495,225144822846.439,474494.2811525119,666803.8213149552,824520119040.2098,908030.9020293361,104478668.1889224,0.34210998050694685,0.9836869680903448,1.0,0.2755616711667307
303497.99335242924,181963492213.02127,426571.79022178816,1145784.5231852336,2685290474530.83,1638685.5935568695,220796.67930378136,82450492421.02505,287141.93776079634,770313.5635310884,1758840667396.9644,1326212.9042491496,109003731.33232905,0.33045598465632364,1.051129459365153,1.0,0.24357620058838336
514343.15815339447,691612331991.1202,831632.3298135542,1418065.662183984,3797343551995.319,1948677.3853040216,284148.45773367275,140972033799.6214,375462.42661499616,1115946.001021013,3218490596257.8545,1794015.2162838124,134847922.90729088,0.3582038418509127,1.0144727193187015,1.0,0.3730155194065062
475400.3786230807,587992249908.2294,766806.5270380981,872506.1274420439,1412916763633.8403,1188661.7532476767,233286.46307908063,108607111172.26744,329555.9302641472,715389.5515788238,1337533292192.542,1156517.744002461,80784865.23204614,0.31920207050885896,1.027354894997898,1.0,0.38737066544731763
399150.696046236,419407253561.3853,647616.5945691828,871588.4799357742,1672905561850.5234,1293408.5054036577,241526.5870861314,158006725072.8518,397500.59757546504,746087.106829681,1452983099899.8928,1205397.4862674524,86732886.21405572,0.2972249970064367,0.9800526744052711,1.0,0.23966025527221319
472702.43936319056,465526261453.4805,682294.8493528883,813839.6074589475,1082576171509.7446,1040469.2073818161,267476.5354721009,140722605948.50934,375130.11869018106,663793.6303787109,806734605084.9376,898184.0596920754,77662855.06633869,0.35920867673214985,0.9998642575066243,1.0,0.33428505890415205
551390.4686509756,645502677031.8749,803431.8123100895,1090491.9613854827,1848865994488.224,1359730.1182544366,206537.11328076367,75321818174.8325,274448.20672548126,742974.0506627173,1012569076366.5503,1006264.9136119923,106902987.81145416,0.34992027975290196,1.004070930608015,1.0,0.24715164437563014
