source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
319110.12307208095,169654767426.4985,411891.6938061491,712388.9810275984,1439018184418.7637,1199590.8404196673,212468.88023717518,110058874333.02065,331751.2235591915,831333.2687110509,1540759367527.3936,1241273.284787598,,,,,
349845.52178861777,247618012995.81754,497612.3119415531,728059.8717540549,1289680479968.7273,1135640.9995983446,182782.967762307,68791897526.73775,262282.09532245575,751045.8094715794,1558681677630.955,1248471.7368170395,,,,,
297136.28646989824,170729020817.88943,413193.6843877087,872793.3836008167,1754021136553.2656,1324394.6302191298,286787.2426359076,157566687716.22424,396946.70639296685,894525.6151140664,1741889539928.7388,1319806.6297487442,,,,,
300697.78557646397,186485993059.29572,431840.2402038232,891765.9472514966,2017082885386.0984,1420240.4322459274,267664.519705808,170948833161.40332,413459.5907236925,846860.9046040564,1911522934620.8115,1382578.3647304813,,,,,
397453.6103790052,424089256197.0263,651221.3572949112,877222.1362894052,1409849498159.1719,1187370.8343054296,287026.3598501114,152793804280.10806,390888.48061833193,903817.5931963857,1508846459606.3684,1228351.1141389373,,,,,
326529.3654899181,181211339569.96933,425689.25235430757,677527.9097385724,891692342905.2092,944294.6271716309,193473.04766942334,98678334386.42842,314131.07835174224,712006.3046961308,992554760077.809,996270.4251747158,,,,,
297021.95111670974,160655544239.00418,400818.5926812829,514049.3179948115,449878902585.7745,670730.126493342,167694.64045927252,58600949351.350266,242076.32959740254,560455.5655367288,520005489671.3942,721114.0614850014,,,,,
334957.15629857715,227253317054.29965,476710.9365792856,755415.8436270547,930952166066.9053,964858.6249119118,208606.925356568,120715554348.27028,347441.4401712471,726517.3056837246,950122056414.2362,974742.0460892391,,,,,
314538.59896728647,207849971830.1509,455905.6611078118,977887.3182778747,2739110558499.525,1655025.8482874292,298444.5802199727,202882279815.59628,450424.55507620395,879023.7857550096,2487732169421.938,1577254.630496274,,,,,
268068.4194336849,134006806256.36494,366069.40087415796,749540.8626819052,1649423391227.0283,1284298.7935940095,238356.17856159993,103481450209.36908,321685.32793612004,752331.6078241107,1782873566674.566,1335242.8867717537,,,,,
327423.4978307915,192138853065.90244,438336.46102725976,774353.7600703317,1579552975054.8154,1256802.679442885,255757.35199312956,117622826790.22145,342961.8445107582,765326.4502851999,1476376743793.1028,1215062.4444007406,,,,,
338573.8838974573,242985175326.70032,492935.26484387415,717644.811984446,1050250669053.6178,1024817.3832706087,196385.56854720492,82061456139.25084,286463.7082411153,639078.266349248,835660966098.1776,914144.9371397173,,,,,
356930.3429489768,235148819213.0,484921.4567463477,786785.7806148813,1159481841654.9412,1076792.3855855134,233049.72974349867,133468311555.11832,365333.1514592103,732100.3688302151,1165164502164.136,1079427.8587122606,,,,,
