source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
312895.3270368279,164270263649.896,405302.68152319937,650667.7163089425,1176901153402.9634,1084850.7516718432,200436.0853996711,99110994365.46588,314818.9866660934,721432.3501713123,1520556808008.61,1233108.5953834765,,,,,
340089.900059847,237064008839.00165,486892.19426789094,697154.5037607572,1295200656595.5254,1138068.8277057435,187709.8750221526,70278352746.01459,265100.64644586324,725086.0491113107,1294986259857.669,1137974.6305861431,,,,,
298396.57986542664,161100943440.6,401373.8200737562,801215.8799893211,1776868436363.325,1332992.2866856076,269046.50829906185,143239384851.36346,378469.7938427365,892122.3527274366,1840682637624.6282,1356717.5968581776,,,,,
303077.44011530245,192651105855.1737,438920.3866935024,775303.3087659642,1732568969873.8528,1316270.8573366853,255712.65457660507,161545403953.95853,401927.11273806664,857079.2609156121,1947972447313.9329,1395697.8352472761,,,,,
395745.2230896665,424732018413.13416,651714.6756158973,721666.4895159961,988028376836.0593,993996.1654030961,309740.80672958953,193977661400.2496,440428.9515917972,855179.4359436255,1381986694889.4253,1175579.3018292834,,,,,
322234.27156081557,178248214485.90347,422194.52209367126,563975.0703538909,607536408831.6338,779446.2193324397,195625.75303243104,99626763200.14471,315637.0751355815,672460.500080153,870295366896.1747,932896.2251484217,,,,,
296876.1248804358,161902512825.53073,402371.11330900824,523614.0111159812,443860953706.24945,666228.9048864883,167669.25641632217,57131889854.25004,239022.78103613897,515132.2757841365,440917731235.40436,664016.3636804476,,,,,
337884.72962520446,222177295073.42566,471356.8659449289,694915.8788144244,813568982083.9441,901980.5885294562,216092.1210929701,112503762238.82155,335415.80499258166,757210.4165592389,967700145221.5472,983717.5129179857,,,,,
310585.7145426968,202188768318.05215,449654.0540438306,894225.8922581248,2490703901114.0967,1578196.407648331,285870.80648809386,203206557636.7888,450784.38042681647,965707.6039946093,2734914071401.3823,1653757.5612529735,,,,,
258780.16100869357,121993572599.17943,349275.78301276406,663362.7386873107,1388272895338.8933,1178249.9290638184,224954.65172037474,95904878400.12428,309685.12783168047,749184.2532179081,1663569014364.7031,1289794.1751941289,,,,,
323444.8068686695,190590285772.75748,436566.4734868649,628687.4908012926,1314075085309.2139,1146331.1412106075,257376.50858414336,123744879655.29193,351773.9041704088,794561.9459138954,1618365269128.505,1272149.861112481,,,,,
336038.6208511087,245363765421.01837,495342.06910075626,597610.2837623451,825834460205.8845,908754.3453573603,204867.57037245165,79114364546.06453,281272.75827222323,754324.4332215519,1119959696183.2866,1058281.4824909708,,,,,
358889.5321542397,238663494772.22568,488531.9792728268,655972.3272439556,825838587039.9606,908756.6159538871,221323.71908345236,126899498489.82184,356229.55869750876,797922.4424851206,1194953556300.0479,1093139.3123934607,,,,,
273925.81134668837,132268715948.40648,363687.6626288091,785664.7856315626,1857095392910.8743,1362752.873015087,237495.38903541703,117078895155.2018,342167.934142289,867369.862708013,1982621828581.6108,1408056.0459660727,,,,,
244747.8956075176,105115244411.93422,324214.8121414785,581307.0111582341,1015701924723.3827,1007820.3831652655,182828.67059614434,63085179793.93641,251167.6328549051,800531.0635452844,1484090375081.1997,1218232.4798991363,,,,,
