source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
491494.6610857932,622722776306.6708,789127.858022178,1362157.9714422843,3003611896937.1646,1733093.1587589758,208504.51979798035,106017404121.82661,325603.13899258804,1199450.9044717858,2805951629468.57,1675097.4984963024,,,,,
568161.9569872573,951223591964.9811,975306.9219302102,1242837.038305647,2653723353933.098,1629025.2772541924,218207.0902235786,93833520253.77646,306322.5754882856,1226964.6638715733,2782339656718.9214,1668034.6689199603,,,,,
407187.4464377987,349841784204.63293,591474.2464424237,1197321.6072804655,4294147035774.2773,2072232.3797716985,178343.20355641772,64107215107.24247,253194.0266026086,1416176.7574888286,4133547154824.9614,2033112.6763721094,,,,,
414050.1288474044,337074788525.36456,580581.4228214374,950363.0149118832,1607394083469.5522,1267830.4632203598,239136.53825868276,114299183129.9472,338081.62199378305,1084447.6823415402,2077190824214.831,1441246.274657746,,,,,
359212.0304704464,291734162493.053,540124.2102452482,1035333.7546913017,2712096758010.1333,1646844.4850714148,415766.3855064597,385789486513.0918,621119.5428523335,1131742.5075469727,3067688472954.5767,1751481.7934978874,,,,,
288654.67059182725,198460499047.5173,445489.0560356307,838860.265414783,1223837614624.0098,1106271.9442451796,221319.28954032352,92982917209.57367,304931.00401496346,690050.0295961527,944083417628.8064,971639.5512888544,,,,,
334536.3883551062,295057592073.63257,543192.0397738102,1194326.2240716016,2589550315551.7817,1609207.9777181635,220919.63788931014,115442062021.78362,339767.65888145333,890514.9561280188,1458574346589.155,1207714.5136948363,,,,,
412306.1124286425,361098330512.0311,600914.5783820119,1385893.6584733955,4770104002383.539,2184056.7763644652,237087.8066266854,114669354056.12779,338628.63738338463,1520972.0776408976,5278640999414.222,2297529.325039013,,,,,
350538.60164603445,219321669003.7344,468317.9144595415,1385032.7007320574,3356290616855.0137,1832018.1813658439,280267.720622848,178691842022.6541,422719.5784709458,1498107.8197680006,3942139336963.0693,1985482.1421919335,,,,,
454929.7546703386,467367696928.36566,683642.960124922,916258.233080054,1637965653261.3328,1279830.3220588786,235085.95626518648,94683311287.13104,307706.534358845,1081579.148088522,2376182266815.1177,1541487.0310239778,,,,,
370763.2003714449,239247423831.8348,489129.250640191,1110692.9925687467,2492677803132.8027,1578821.6501976412,300688.8477109833,169200702189.15985,411340.129563309,1110984.1056120226,2427830999016.708,1558149.8641070146,,,,,
217875.36715362707,91871938350.32564,303103.8408702959,835696.9493529848,1528711619416.1353,1236410.7810174315,287816.905290762,147630428398.1279,384227.05318356736,1028728.1275088777,2171117912868.7468,1473471.3817610259,,,,,
389330.1011012423,422675349363.991,650134.8701338754,1226939.3677076958,3159099074389.1445,1777385.4602727976,271945.70656009,150494439540.34756,387936.1281710529,1179404.487778583,2526945080761.28,1589636.7763615937,,,,,
429001.16858382337,336254720523.4033,579874.745547177,1027206.1062413603,1894575258448.9766,1376435.7080695692,302071.8108308772,172851503031.2158,415754.13771989784,1216251.369212527,2646390459910.105,1626773.0204026944,,,,,
393230.02947716764,396949312307.9342,630039.1355367809,1024485.9463439558,2133486341181.268,1460645.8643974138,285119.58046771033,172175693121.0504,414940.5898692612,987869.4638706985,2286309633505.497,1512054.7719925682,,,,,
332243.2311957847,190835485703.3045,436847.21093684976,1245436.3566551232,2545966545411.429,1595608.5188452175,296015.8364687778,161821002029.5774,402269.8124761258,1118740.3225740164,2324940265465.4473,1524775.4803463516,,,,,
357874.6943035525,264676922598.54102,514467.6108352605,962605.9703872252,2183063902143.95,1477519.5099029825,300334.1867252389,239298236834.85077,489181.19018912694,1000080.9971368478,2557557287692.3564,1599236.470223324,,,,,
306070.6491626775,223453189808.22397,472708.35597461567,822111.0632260714,1424628078191.7117,1193577.8475624083,271839.1059418584,143441003321.1611,378736.0602334574,896852.6152114006,1791667989578.2056,1338532.0278492426,,,,,
444959.72198157944,422532012757.2818,650024.6247314649,1218259.3195627488,2660316991552.5283,1631047.8201305221,220011.86977503504,83472250561.9965,288915.64610106614,1317389.2152893324,3524883791572.9976,1877467.3876190227,,,,,
