source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
522871.47932698746,651286503097.0173,807023.2357850778,732108.6120624027,1212077398462.349,1100943.8670805832,185023.72720143758,94195407199.90428,306912.7028975899,1296716.5678702542,2833260721926.785,1683229.25412042,,,,,
592457.6467096435,994515389939.0823,997253.9245042269,596948.758796866,508933088061.7844,713395.4640042116,231959.83263801373,106355409130.38957,326121.7704023906,1280547.7972377818,2780743586545.4824,1667556.1719310933,,,,,
396810.7692876242,300281622935.4959,547979.5825899866,792542.2988479473,2602882545144.025,1613345.1413581735,174731.78306158114,64099891660.4505,253179.56406560642,1233945.6218060562,4215346200085.405,2053130.828779648,,,,,
417090.54761129967,346866777435.0584,588953.9688592466,654657.3975599301,777079457221.4009,881521.104240506,241768.40965660795,118548478352.15584,344308.6963063173,981119.0513276943,1604937481403.1516,1266861.271569682,,,,,
350952.2913552998,280892479700.11017,529992.9053299772,861540.8329266557,2379151056655.3223,1542449.6933953217,416155.74758207187,374250740188.7672,611760.3617338795,1074330.5430027216,2810845451089.706,1676557.619376592,,,,,
288262.9946254471,194176338176.92795,440654.4430468482,562875.8493245399,547997747615.70557,740268.6996055591,230792.42091696474,92520291361.95387,304171.48347922735,828594.0661622765,1169874820378.3152,1081607.5167907788,,,,,
341983.25052025105,297472544908.9977,545410.4371104367,751567.0861539227,1045614974501.8611,1022553.164633439,224962.4178992175,116492953056.52353,341310.64011619025,1224337.0602835668,2621724413646.568,1619173.9911592477,,,,,
417903.3556193538,389147325885.9547,623816.740626568,895579.3741238007,2939162312306.4326,1714398.5278535539,241625.79126784104,109645255059.47285,331127.24904403876,1343948.6287070946,4619504197919.154,2149303.188924065,,,,,
334889.40382994025,210549960142.74466,458857.2328543429,871266.1887775646,1779712260127.9941,1334058.5669782246,301766.55924935936,203160006198.1544,450732.7436498866,1338956.5965948266,3294994057255.85,1815211.8491393367,,,,,
465230.56249017257,461351944165.76965,679228.9335458035,604456.9273934246,874570245032.0895,935184.6047877871,233311.98499988831,89552442156.14627,299253.14059529314,939843.1526743365,1684050440518.6426,1297709.6903848113,,,,,
354008.8241467544,221663418612.47012,470811.446985383,729830.1283719969,1169257331484.0037,1081322.029500927,301116.05692471727,172846215948.17688,415747.7792462359,1100131.6066762735,2397983244891.3706,1548542.2967718288,,,,,
220444.4527073676,92709820993.25032,304482.8747126024,705633.0935107399,1287958833527.3965,1134882.739990082,271241.909322301,134763466639.34903,367101.4391681801,827495.203771323,1476589916762.603,1215150.1622279459,,,,,
376660.3348464941,417339914870.003,646018.5096961255,769352.2014173217,1616467692404.9985,1271403.827430529,233901.74273757276,122100541895.16293,349428.8795952088,1277015.0942381015,3446413222357.947,1856451.7829337628,,,,,
435620.32939240633,351487176523.3133,592863.5395462546,712855.7042247242,1311354750324.636,1145143.9867215983,278715.51717239816,136260542864.4667,369134.8572872341,1003146.5369807353,2064718337502.5938,1436912.7800609868,,,,,
392811.96062483103,404816166048.27563,636251.6530809768,738759.4042439269,1372111239244.2273,1171371.5205878224,294691.539224494,177017983635.60364,420735.0515890061,1094491.7775312513,2304986444792.5415,1518218.1808925031,,,,,
330841.48019551265,199966567520.4546,447176.2152892913,692054.9542842736,1010407477823.453,1005190.2694631763,253805.88839145648,118594845214.227,344376.0229955434,1179323.398143413,2294308535385.7246,1514697.506232094,,,,,
375582.22213858366,273660917220.84814,523126.1006878247,741430.727322548,1461765316763.1697,1209034.869953373,307377.62703330925,233579633557.9616,483300.7692503309,958017.274709139,2086685153754.1328,1444536.3109849931,,,,,
302083.08127243037,231267952594.79114,480903.2673987474,686945.0177499343,1143627961897.2095,1069405.424475306,293273.7492983228,156890711737.33575,396094.32176861074,884121.0530102345,1488342546258.8318,1219976.453157532,,,,,
436440.9695869773,408837478626.5133,639404.0026669471,741745.6247480602,1088134000606.6023,1043136.6164633482,212388.9664734168,87310777932.62613,295483.9723785812,1158839.5216622748,2644070500022.1924,1626059.8082549707,,,,,
375617.8631287177,249155730467.70917,499155.0164705441,833880.2169770009,1354868186004.0715,1163988.0523459301,202883.1205637531,77322423107.45387,278069.0977211489,1262647.2264178034,2822532321072.7407,1680039.380810087,,,,,
290997.48568789376,158504656915.98444,398126.4333298964,598476.5051441902,571307686821.1935,755848.9841371711,142599.40345290524,38528351214.688416,196286.4009927545,1030532.2743977009,2739735815645.927,1655214.7339985608,,,,,
180315.21211070055,64428040932.68436,253826.79317338497,575070.480844659,666089664605.4172,816143.1642827239,278777.2375116085,127648922400.30309,357279.89364125027,884860.9320954272,1204206310446.9512,1097363.3447709794,,,,,
187931.82424351864,66481693864.62023,257840.44264742534,576997.4743224824,699923516969.4883,836614.3179323961,208478.07854851984,92387399645.10995,303952.9563026324,827071.9547595216,1266832104769.8328,1125536.3631486248,,,,,
329810.7739641968,225830150593.7949,475215.8989278398,757474.0886780242,1351872389117.2285,1162700.4726571795,228958.32361892992,111719389571.31487,334244.50567109534,985708.3878054974,2402178266338.5537,1549896.211473063,,,,,
294142.068115497,207289992693.5937,455291.10763729364,801742.8459255365,1761676337204.6013,1327281.5591292607,289369.50280572695,162250896571.60483,402803.79413754883,1167702.1320939388,3386539660659.002,1840255.3248554945,,,,,
419473.75278496183,509796148503.8023,714000.1039942517,551101.2898112,528342685548.4239,726871.8494675825,223001.70600843738,107646685102.94763,328095.5426441323,1021126.2944421083,2222741822035.9517,1490886.25388926,,,,,
266687.98953100416,153959627526.44385,392376.89474081405,722795.6472330816,1487301035046.517,1219549.521358816,134499.08086130983,45730338981.44719,213846.53137576766,1051926.7711658098,2444423953694.34,1563465.366963509,,,,,
