source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
513281.2449870115,617142118266.7162,785583.9345777867,1336527.2875640562,3039017037640.2188,1743277.670837385,188541.22253721568,96071525274.42601,309954.0696206875,704854.8756033251,1070484753926.174,1034642.3314006507,,1.3492407467179746,,,
568925.6976276216,827198966491.9583,909504.791901592,1320891.9485478469,2951855253929.865,1718096.4041432207,235797.981693854,115494424387.39905,339844.70628126466,555097.0944625741,446175005417.9699,667963.3264019589,,1.241159673512735,,,
429457.93376795115,363706082749.37866,603080.4944195913,1243874.5550989567,4093724840643.208,2023295.5396192637,153127.9409075722,50649533961.45138,225054.51331055633,692333.994024041,2248982267215.1226,1499660.7173674726,,1.3207849171398944,,,
423342.41988084867,351546233781.16876,592913.3442427897,964200.3603172279,1563621853263.1587,1250448.660786663,241875.00775135122,112721507781.13979,335740.2385492984,599720.1034188651,663396310222.3721,814491.4426943797,,1.3531855024315296,,,
355692.76278706046,289971413451.8436,538489.9381156937,1075510.4078061671,2922382255733.7837,1709497.6618099785,410222.3289594675,375109842546.7704,612462.1151930708,833634.6959473931,2258526980376.9956,1502839.6389425572,,1.333826904772034,,,
304024.7605215264,211259292725.48563,459629.5168127104,817703.2066702837,1172705397885.5254,1082915.2311633285,233429.19756403714,97710384404.05281,312586.6030463443,455148.6954554162,408260761823.98804,638952.8635384523,,1.2538434352931571,,,
336274.62525984313,296888666093.4158,544874.908665664,1218641.2887325948,2650652479207.7246,1628082.454671054,225124.70681366656,116684518337.85925,341591.1567032426,581046.1036753759,680653163138.2373,825017.068392065,,1.3752015302627618,,,
375227.4767710327,329945759593.4961,574409.0524996069,1387097.5137560675,4775917531542.687,2185387.2726687794,241816.30512894795,116464141105.47101,341268.42969350534,736417.1474494204,2165013515505.8887,1471398.4897049095,,1.3403703250186594,,,
331824.5921498209,208367647340.0713,456473.0521510238,1334816.657037367,3321390957724.4604,1822468.3694715968,279644.05217876507,180277486588.27844,424590.96385613113,727103.5300475976,1597775097132.98,1264031.2880356165,,1.282666683271525,,,
470988.80287955166,477601090019.6355,691086.8903543429,900516.5250628463,1623350846991.0425,1274107.863169772,232000.333628055,89747150257.37225,299578.2873597021,561402.5470858575,780819329347.2217,883639.8187877353,,1.306285616499821,,,
379716.3112376034,260487297177.19888,510379.5618725331,1068005.613633659,2366517389831.4556,1538348.91680381,305753.69286307105,174689742773.60596,417959.02044770605,660130.39119081,960055452975.6652,979824.1949327773,,1.2976108870101157,,,
203894.3354049337,78988582933.00342,281049.07566651667,833710.6498125339,1491178692190.0535,1221138.2772602183,269605.9701658326,129918042909.6382,360441.4555924973,625715.4019923453,1106036679974.9233,1051682.78486192,,1.316955862402407,,,
391131.47874245595,429654866873.5201,655480.6380615068,1312679.3695467007,3740772495149.569,1934107.6741354316,268030.6169456456,149332425134.50406,386435.53813605715,646194.3762632998,1190724762605.2473,1091203.3552941666,,1.3756402115781907,,,
455835.2214217176,378634246473.0292,615332.6307559425,1006537.5126035776,2210852765762.2974,1486893.6632329486,285482.99881940393,151289292839.06848,388959.2431593167,708339.6869992791,1268484456269.5176,1126270.1524365803,,1.2908847923590658,,,
383577.99726171617,397008110087.00104,630085.7958143486,1083071.173619909,2237432583425.5264,1495804.9951198606,286760.1084005701,184564734185.78934,429609.9791506121,709521.9272159572,1241497263209.3267,1114224.9607728804,,1.21959476093465,,,
327421.4365902542,191107783259.2191,437158.7620753118,1213682.8935510132,2421103480772.67,1555989.5503417335,274870.7734611357,133765652658.91934,365739.87020684435,627913.6075618654,821162755542.425,906180.3107232164,,1.2888269686351106,,,
392901.15687977144,298710319467.8612,546543.9776155815,948123.3742614419,2125020303762.1262,1457744.9378276456,308973.21910647996,236959153427.6011,486784.50409560197,682635.1477424296,1329154570132.265,1152889.660866236,,1.2758278172227369,,,
303537.88750195614,229924619585.4805,479504.5563761417,844227.9034428325,1483380513473.9597,1217941.0960608725,281715.09593364777,146449873339.77878,382687.6968753748,640372.957443218,1045003243928.2013,1022254.0016689596,,1.3288469388584128,,,
410581.7833264311,373926045892.94244,611494.9271195489,1165952.0139509288,2584392669869.865,1607604.6373004357,216025.56073172766,81748147331.40092,285916.3292493119,632459.3103230521,890647683697.4647,943741.3224488291,,1.2778898284691773,,,
365874.17900324246,237184425007.066,487015.83650541183,1381536.731839143,2971516976331.3945,1723808.8572493745,203230.83923983574,77151793576.25005,277762.1168846645,749053.0257507659,1126601090261.9375,1061414.6646160197,,1.3287096267857192,,,
336344.3434036377,193265115345.92764,439619.28454735427,1029486.7809688263,2727853262955.855,1651621.404243677,143716.56181470116,37411102389.09032,193419.49847181982,499657.04798912554,398496352870.2315,631265.6753461505,,1.2898487289460694,,,
193842.30399097118,72573828265.87872,269395.3011206371,857965.8923307313,1192767207448.6765,1092138.8224253713,255455.9367477914,117283965869.50957,342467.4668775263,531539.7467664409,588508398047.0537,767143.0101663272,,1.310506902900354,,,
188009.50874366294,65844497021.96944,256601.82583522168,844218.2073639749,1349275691442.1235,1161583.2692674785,220186.85345453152,101089761329.23882,317946.1610544131,483146.02720925823,512475792109.3268,715874.1454399137,,1.3382042726302688,,,
317837.006731491,206843880276.99582,454800.92378643627,1010776.7281385432,2444456364670.85,1563475.732037709,216846.59782582428,106728328485.47922,326693.0187277947,665739.302296455,1216424000763.6768,1102916.1349638859,,1.3226201573270129,,,
299585.5978828913,212016691862.4151,460452.70317635784,1156071.4516598694,3357113711969.2495,1832242.8092284193,300677.3060766461,161631590335.6133,402034.3148732622,685542.9645369543,1302982118515.9458,1141482.4214660276,,1.338507010289681,,,
422666.8607659359,505403507055.0998,710917.3700614579,1076088.5808438691,2360051189192.714,1536245.8101465122,231055.5730879914,108862639723.93562,329943.38866529154,535795.6492796395,472997668994.725,687748.2598994526,,1.3350928324342517,,,
279452.12060009723,152341701224.90466,390309.7503584873,1064845.4693804951,2510054916814.1094,1584315.2832735374,137738.04823847325,46422670821.57991,215459.20918257337,565428.4704054516,1105509415923.532,1051432.0786068551,,1.3370089527896725,,,
376452.0408442962,287008911241.9118,535732.126385857,1150769.1633409695,2258847556795.127,1502946.2920527556,198570.74127248235,101742377752.8944,318970.810189419,659104.8998380242,928430101453.1475,963550.7778281057,,1.3510861773857115,,,
247501.91268315914,129546648755.5204,359925.8934218548,947001.5993544527,1820932169846.7925,1349419.1972277528,222082.58295310865,116664324603.77846,341561.597085765,546690.2638657029,730828329063.4856,854884.9800198185,,1.39039847346662,,,
433902.69532210875,326312161779.31146,571237.3952914072,1041403.9422493025,1945363454846.225,1394762.8668867785,219384.68698107087,86881855604.50256,294757.2825300548,607095.7142859817,594138205104.8972,770803.6099454239,,1.381663822603306,,,
457199.52604625525,578004126390.1873,760265.8261359558,1334756.871347384,3458405507365.205,1859678.8721080865,281352.0692737335,197121679299.36105,443983.87279197545,631192.123670896,1042254380171.3157,1020908.605199954,,1.3552800852474214,,,
267448.3042140064,181244546775.18076,425728.2546122359,1360750.9421733273,4095114403632.0063,2023638.9014920637,434529.67577770824,348358877622.25916,590219.3470416394,874824.2474041075,3101974663347.2524,1761242.3636022534,,1.3843708455804704,,,
260964.10135686846,139736158380.48196,373812.9992128176,884541.5828132689,1415541919771.4717,1189765.4894017861,227087.4432696735,103396272306.59848,321552.9074765123,472987.44722317666,508164905263.1008,712856.8616932159,,1.2972520310644748,,,
283471.4201030834,230663438414.5556,480274.3366187242,877589.8240471797,1536186491782.2627,1239429.9059576797,210898.30375767336,95971125474.80885,309792.06812765374,622038.481254424,965721564754.3977,982711.3333804581,,1.2859288458311953,,,
350042.13268256595,312722907556.6669,559216.333413704,1410280.8566436407,3536287232623.82,1880501.8565861136,214872.03768042274,104268298145.62408,322906.0206091303,679632.8864921653,1392409738929.0205,1180004.1266576233,,1.3218827338461518,,,
344794.98660044,260668389591.31284,510556.9405965537,878583.8507529413,1466668707908.253,1211060.9843885868,247111.8453885067,129392533841.79926,359711.7371476767,639056.3750270935,1362765872114.8484,1167375.6345387925,,1.3743762258967203,,,
340957.5116064889,278733493743.0985,527952.1699388104,791693.5324752119,1178635308714.3533,1085649.7173187828,223869.1884973201,87277698198.31831,295427.9915619343,521069.02448153717,638723672009.3286,799201.896900482,,1.1965070483352336,,,
285826.1839947683,160586678281.89093,400732.6768331863,937934.3535860333,1845681567574.3228,1358558.636045689,225112.82595165313,97241297007.81438,311835.3684363183,649861.687583216,1193407661286.64,1092431.9938955652,,1.2986973135698645,,,
366314.0591311956,389501384830.93695,624100.4605277398,955443.2059714808,1440040657268.45,1200016.940408947,169866.38006208598,52900530804.7878,230001.15392055712,456727.7012345911,332763391110.68585,576856.4735795949,,1.3562253958972033,,,
303227.0835425652,221519014834.2515,470658.06572739355,979187.6095282541,2041612038328.4263,1428849.9005593366,310391.7945375167,176667496767.52454,420318.32789865887,781160.9926937445,1912180959005.8657,1382816.3142680468,,1.304424359461505,,,
366936.93837103917,302266799330.5045,549787.9585171946,1246050.0462138145,3096012211493.7817,1759548.8659010814,267171.62985786534,148164601189.98022,384921.5519946632,576559.105117794,596813582251.6549,772537.1073622644,,1.2985700722816857,,,
418766.5572568982,449462452136.4297,670419.6090035178,1053520.5660650039,1846716130234.04,1358939.3401598323,303412.30841168866,239060254191.63214,488937.88377628516,581695.6840462675,576082500608.8739,759000.9885427514,,1.325846062572376,,,
