source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
228278.6952274199,93863191554.64871,306371.0031230905,640113.2345445117,1203732279207.4016,1097147.3370552387,205691.0516343501,103697877093.32974,322021.5475606093,725796.9254150504,1447470229670.5571,1203108.5693612846,,,,,
197562.57466755135,93440905535.96947,305681.05197406246,626364.5421733363,765882948017.7423,875147.3864542716,234981.1727379606,102355006525.34561,319929.6899716336,768113.0878527086,1096012843800.0056,1046906.3204508824,,,,,
276523.88730145764,151258685738.69672,388919.8963008922,957720.5072619291,2252074769340.78,1500691.430421584,226549.9446811002,123968843920.67075,352092.0957940845,1008355.733435611,2950325636514.2563,1717651.197570175,,,,,
217495.64052569077,91206184347.45885,302003.61644764926,765200.9479057778,1049472865022.5737,1024437.8287737005,252614.01264062,136112866969.68117,368934.77332677814,738346.6317210047,1241447736347.4473,1114202.735747605,,,,,
245051.7656906049,111811573242.18407,334382.3757948138,1218775.0033389102,3577975235587.042,1891553.656544546,322717.8380497288,245221382279.5823,495198.3262083812,1003165.6834683237,2679365549323.3745,1636876.7666881261,,,,,
220989.32671435637,91340385477.78238,302225.71941809054,848955.5153709325,1799624002112.2915,1341500.6530420668,287165.74901008984,181277611603.4357,425767.086096889,892159.9888483159,2408159367344.0156,1551824.5285289234,,,,,
223131.85426562026,111081877846.8082,333289.48055227933,783321.5369251366,1859316677319.8015,1363567.628436449,198933.65909794017,98980336724.43085,314611.40590326797,700785.1518550048,1738820968359.6812,1318643.6093045312,,,,,
274641.22282703046,268095550361.81937,517779.4418107186,790342.7130844163,1784079714104.961,1335694.4688456866,276615.4711011913,133001472511.18011,364693.66941472964,722668.8277472343,1734624228075.3171,1317051.3384357183,,,,,
249255.79117877656,197313213352.45392,444199.5197571176,805167.3110380216,1393754935212.4758,1180573.9854886164,269871.84392949176,158423918977.14087,398025.0230540046,900702.1339657358,1930583391588.278,1389454.350307443,,,,,
289670.50444290345,199594596417.01205,446760.1105929356,796996.7191884345,1645236713634.3557,1282667.8111008927,280810.2352444382,157482595022.17264,396840.767842938,783576.1199992412,1546299829833.905,1243503.0477782935,,,,,
240257.79325168752,108417805043.44652,329268.5910369322,575894.3283545363,717917881743.5607,847300.3491935788,268804.67842280085,189221409645.22168,434995.87313585135,623246.9372134572,844256475752.0153,918834.302663987,,,,,
230120.12756303736,101891208752.16537,319204.02370923426,1023752.5150232564,3009405149198.2793,1734763.7156680098,382725.1976445685,285766516048.7099,534571.3385963654,991320.602486093,2943119026387.016,1715552.1054130113,,,,,
230776.98509872946,104115636850.92667,322669.5474489755,666787.4882572684,1245864089051.4268,1116182.820621885,283147.91285348596,138245760930.09183,371814.14837266726,562259.5493744179,862467781068.5103,928691.4347987227,,,,,
289931.6807705748,231627517755.29425,481276.9657435251,592506.0806578933,1011529576818.5581,1005748.2671218271,262592.8068756281,125410031718.19162,354132.7882563144,671785.1898405631,974061010045.2863,986945.2923264218,,,,,
223293.11824858643,99010387447.80576,314659.16075621534,730913.1793947945,1636057189953.6675,1279084.5124360109,217565.48842504114,126991869789.72221,356359.1864814519,727296.2274660324,1484235991593.8481,1218292.2439192692,,,,,
297107.1076386633,232001547328.3359,481665.38938181545,863105.6417412849,1534074014907.2822,1238577.4157909073,289235.0988477102,231873925488.73547,481532.89138825756,776579.8535655491,1522125897291.8647,1233744.6645444368,,,,,
173028.10445281863,54259288200.88771,232936.23204836063,1075413.485602395,2796408218008.8906,1672246.4585128864,307638.2932775741,166848967396.54398,408471.5013272578,1102873.1534000137,3447955509647.6294,1856867.122237784,,,,,
246088.79478279979,122211390161.27559,349587.4570994726,1041325.7216795464,3490718615253.379,1868346.492290276,251894.0346746896,146551417627.22046,382820.34641228314,973986.591908283,3426811181101.841,1851164.8173790039,,,,,
170367.1462539349,66402002078.435135,257685.8592907945,818234.5223548183,2098607121740.9924,1448657.0062444017,280615.7783166092,142252808760.9434,377164.1668570112,806473.764620758,2142686648517.1428,1463791.8733608078,,,,,
296231.8916554358,151470271642.01947,389191.8185702514,851067.343899009,1646556165855.885,1283182.0470439433,227057.73999979548,88687275432.56862,297804.089012506,744964.1201510369,1092840130284.186,1045389.9417366642,,,,,
234917.12495996343,107860022342.42677,328420.4962276666,762171.6723548791,1295753229166.1265,1138311.5694598411,327148.48049127014,180650512593.8647,425030.0137565166,777986.7602351473,1421418684503.2266,1192232.646970895,,,,,
264018.28463513294,134033297550.30605,366105.58251726517,801382.0044702679,1467823640712.1465,1211537.7174121104,186816.78602235296,71820305002.90831,267993.106260046,797508.9517095706,1351207456285.1082,1162414.4941823068,,,,,
311842.4799502468,244957918234.45285,494932.2360025187,746217.3622331348,1210939158204.5046,1100426.8072909277,254118.6763172296,161893275310.4424,402359.63429554214,916901.8463669439,1754767271167.663,1324676.2891996154,,,,,
173275.61260640435,54102432540.99203,232599.29608877157,774849.4639961061,1809023681704.5793,1344999.5099272637,238947.82899593838,109698134950.23257,331207.087711348,757490.5696869098,1752941562594.9106,1323986.994873783,,,,,
