target_rmse,target_mae
1352624.6422908443,826595.288177711
1655235.9724160996,951633.0341645724
1211221.2701472328,775154.4494205229
1186148.8557584812,807252.1230205301
1449573.8760288302,873506.4749354784
1255921.531817841,792264.6993239559
1361818.6047040743,853809.6712279095
1434503.0433892594,819710.9882794342
1334040.4148584225,844345.1505105427
1157921.7329867117,745375.7255563053
1347050.8801406675,822028.7732075966
1083229.168162427,794335.1917351399
1202498.4591321882,834991.7039483243
1445349.040273317,816943.7058974362
1282274.0501500452,839506.2752229073
1328955.641385915,831656.9585595056
1588001.3391521305,977347.0975537805
,
1465727.7095971708,847727.4352831383
1465984.8236134415,926614.9357807549
1077329.9215025092,750952.1690263911
1794496.50442176,1057677.133414028
1481225.2697958997,893961.0753712577
1351534.6939960008,797122.8518081146
1466391.935319712,892620.61081237
1810712.1479801955,1088004.645069226
1346916.69153614,740046.6724269625
1109563.7796507005,734081.384157579
,
1551668.3272974733,962814.67701905
933201.7185090096,675718.0931271614
1861277.7648865052,1120102.7527380267
1150370.876607281,731909.3523207386
1809962.180966068,941398.7980409173
1418649.7592546213,961733.8775967046
1544896.9809245644,933932.4213965337
1114204.9825116594,788935.1807929768
1438036.7199322495,875686.8580197421
1328677.9237111905,907284.6366728795
1978093.6733944186,992861.5226107733
1479950.7777708368,881537.5305925796
1902234.1659573948,1083232.8229533406
1774297.7667414907,979379.8821049161
,
1144164.7713694873,816475.2636657343
1359527.3231567747,895415.4896465578
1694424.1734554113,1047186.5087813213
1155745.3354949239,806783.3310262632
1643276.3774033973,851945.9874804455
1224302.9236481148,873316.334591172
1475663.9141938956,916506.4816211654
1603717.6302195922,873877.256871343
1198190.9205078927,757745.9170193855
1154271.836545229,742564.8185852426
846855.55586638,633476.3125506069
1053782.048928402,718004.4740857119
1450645.210497845,984670.7610206446
1516012.0313139942,807899.9371362661
1223614.5801162708,865620.5176805111
1099288.5742398545,778429.2816607885
1063353.048995339,721460.3598977859
1258937.446773954,719575.674596745
1480747.5613782215,950724.5101209439
1495559.1889177468,904519.6785444801
1289822.2216542368,839030.3026120272
1107278.8310858374,754392.5748611111
1332975.2832988258,845269.2006752783
1689235.584620284,1073366.5241269597
1589658.9692312574,1025581.3479557937
1555495.9833050924,939594.5360927952
1732382.835822159,952703.8910444443
1180086.6896969802,808825.340109356
1390515.2350838035,825117.5538103192
1390987.4803146657,940808.8829669815
1745956.9253944757,939580.0683076296
1406234.4598389505,895765.8473754085
1354352.3126687855,852945.5671168916
1280673.3734586667,769214.410466523
1354352.1105210737,863086.1424651226
1071750.6837221067,742306.2556743288
893147.3594674413,595868.8757911947
1187851.7043137157,755083.6827288995
1257830.8483248265,835256.3898986416
1498014.0176519644,782650.1959210399
1159420.0519581207,786180.5268301487
1483287.4204890481,929789.2435307117
1138182.994903649,695043.6787575285
1151607.0189940773,720748.1062088643
1221901.3676907972,757775.3092716861
1242319.557568149,761476.8787813329
1327420.805893127,818822.2629775754
1093500.5938071883,713191.6618637043
1230679.8462002957,876671.9687018526
1308568.9121374697,783356.335965695
1122063.5203535338,735901.1347766792
1322499.8173626638,827367.6865461943
959106.8378835501,667294.7705579754
1543645.8139654032,915142.3302709534
1430661.4281068747,909224.5564898482
1543293.0846491454,1034700.7160499273
