target_rmse,target_mae
1140413.9429416782,771823.7656343079
1725854.8443439188,976372.2602290345
2100582.0167701747,1101950.4777650451
1194976.7601152144,806838.0204185486
1491356.9483671852,809205.0221815491
1687148.2323021046,1062569.5063742066
1606468.138280785,905742.7013478088
1332527.3865801757,813224.9389178467
1129746.909194442,767295.4766651917
1346474.2792105507,756715.3016091919
1449816.1903145276,830202.9928327942
1514586.4032345521,862066.9558959961
1408783.3017378603,834689.9279231263
1455441.2951210611,793030.912451477
1204869.877748527,838644.0078704834
1342060.617959326,819388.0297839355
1220001.6989870262,841995.5348675537
1129340.5015995475,699880.6424803161
1466400.515476996,950469.2420890809
1626341.2065160102,898381.4941072082
1121618.8945696515,780410.670309143
1376389.717284324,816478.6091067505
1450528.2911533928,889835.2083476257
1399088.6815994794,924101.5893293762
1146866.4770606556,783715.3293045044
1436059.219692844,898899.3485188293
1023319.3996539101,710633.4457333374
1103003.2348398138,736850.4447344971
991206.092540196,639936.9886578704
1043686.2614232679,725502.9678268433
2068507.0053935149,1074257.8622169495
1435585.916513969,931922.9155123901
1364610.4456891296,783082.0898304046
1347703.8310874165,872190.6311734009
1539826.749644626,975372.0568893433
1724871.5443967578,1089421.2791499328
1451118.6387753177,904008.3395794433
1277417.7991653515,847636.0277349853
1601204.4231574566,922326.9447442627
1270704.1477659487,852735.0603160096
1043648.5313829219,685805.8721769714
1208865.991085681,779237.7116888427
1874929.4945145196,1044167.1377243042
1565553.316329219,788818.0933413696
1425578.6003826344,979563.0147290039
1121967.017974406,736815.8059716797
1316828.8722210992,858610.8498847962
1412941.5917704897,822422.0173591614
1632162.11076389,901301.6904940796
1192991.2736041758,791858.9008764405
908353.3064958409,676314.9039628601
1500289.5374935598,950364.5851190186
1299861.4750898506,855907.5157348632
1260331.9016337602,711096.5630717468
848213.8546970105,586180.4223434448
1832077.0464071454,1039862.0090769959
1343717.1990396152,873358.8073141479
1363952.0011906216,837117.9106182861
1555017.6002016854,937088.0384043885
1143227.5522522982,805140.3665565491
1304096.032712918,737325.272591095
1048886.7636958805,791379.2702868652
1510645.7810956663,889308.154848175
1650882.720286005,881254.9329020691
1456495.6147995424,880252.1746965027
1579668.4681460464,981818.6898995972
1238390.9720941116,770262.0778445435
925418.4806346569,670655.8211967468
1193097.6376447815,749993.1646534638
1024418.8556478141,688525.1038006592
1174092.5700376986,744544.044038086
1041635.0236540281,712763.3364994812
1190358.3707052262,855981.876504364
1809107.9544769882,972749.3300360107
1246621.1994693154,834249.1768864441
1145307.5863378095,775320.8153683472
1294757.0085850845,832001.3945037841
1192833.2826380164,748776.3360646057
1210287.5251329758,810448.6880256652
1698794.9704682291,1012297.0954534393
1455324.2202110335,901783.7471942139
1586664.3489032045,891092.6112913513
1445198.1589917245,784938.2766240295
1675805.992054822,1009428.1576156616
1014407.4196998097,697884.2377658081
1328328.4386145747,784701.4023511261
1598922.8357133109,1009700.5356629944
1094159.9339568322,776475.3251806641
1217740.154592994,788380.8199375916
1574221.0605407385,936904.9317106323
1178535.2398798533,811938.6713345337
1025935.8319159213,714876.241632843
1254980.3693775549,805379.1958882142
1081437.799132698,728107.429468689
1516512.6855126484,993070.7678326416
1554615.8915532168,916583.6607388306
1428905.4585177244,964948.7507084656
1187106.444914173,804690.3071444702
1135693.1062706604,756511.0184458924
1181117.3025158152,757957.4350305176
