target_rmse,target_mae
1048623.1,595862.2
1089073.9,571932.6
998331.06,563943.7
1137312.5,672222.25
908549.7,526361.2
685604.5,395966.47
925588.44,582627.9
1023798.06,610510.7
,
1150512.5,644474.5
1248511.9,616404.0
1069201.6,600362.0
1462653.8,751533.1
931758.75,528079.0
681681.9,481262.38
1324566.8,691813.5
1128701.8,531584.4
826828.56,506502.47
1200109.2,724551.7
1086953.8,616564.94
1088270.1,519127.53
1198601.2,609085.2
1096441.9,661619.06
817968.94,546035.94
843415.75,508231.6
1532261.0,781315.75
1386970.5,748177.2
1324347.5,898845.25
944015.94,579187.4
924819.9,583451.8
1200908.4,688724.0
766210.06,488922.62
,
1294797.5,669988.25
875367.1,497351.47
938795.4,577311.9
842185.94,498977.03
1409970.2,1026107.94
1473314.1,739732.2
958642.8,620602.25
1196432.8,610785.75
894177.94,572456.06
778091.9,478930.4
1344017.0,761521.44
988437.75,530952.06
711863.94,452023.0
901357.8,556559.5
993676.8,579054.25
1172496.5,660425.06
703772.0,421523.4
1077523.8,655364.75
1164591.4,638396.25
1567107.0,767735.7
983309.44,578286.25
1471657.1,744147.2
1595652.5,792403.2
1191836.8,636859.25
1512749.2,681472.75
986733.25,552641.94
1404173.1,710471.2
859456.0,531824.5
861720.1,567138.06
638368.56,375326.72
1220113.0,620166.7
820970.75,485843.25
971645.25,585281.06
1383409.6,749838.75
1098984.4,615378.2
889827.1,553554.8
1080312.9,676735.4
1192705.4,643924.6
1213710.4,685968.5
905848.1,569511.75
739915.56,451599.9
1195185.8,658499.4
1142886.2,648909.1
954070.2,601349.5
1717544.5,756126.4
754872.44,532227.06
683399.56,450126.3
851322.1,519515.2
1007486.75,592143.8
1729353.5,757389.8
1268685.4,687585.7
1044291.8,508051.8
1345514.0,731471.75
1045370.3,565584.4
1138616.9,617912.9
1124647.5,658968.56
1168497.6,679482.75
1196233.8,595296.5
1258759.6,632588.25
1451654.0,735992.5
1185461.0,661547.2
1501319.1,675373.94
1039855.1,579085.25
1119823.0,641744.2
1195419.6,636532.5
757961.7,512340.47
842295.1,464956.75
