target_rmse,target_mae
1594238.2453170605,956941.7770949585
1272604.8287935546,865090.5080935669
1814206.8709552945,1132522.8589656067
1931480.0997307615,1081449.4435281372
1171004.4890404658,797566.4857595825
1920304.8444689375,1163174.4936614593
1703774.5235641187,1046462.3972738647
1069540.5877883534,716011.2019792176
1649682.9418634772,937499.9558178711
1643321.139624617,1072694.045670929
1103694.0092351714,773607.3745337402
1156553.065805133,790553.482454071
1836612.0671609663,1118178.6921154785
1454237.9397965893,957033.8119430542
1451529.1814327666,905322.6061059571
1425931.423089925,896701.2267495728
1996723.5434071012,1199050.6822026062
1804558.3958236242,982130.242316742
1735369.6359407885,1049628.707718048
2443067.1727592074,1302187.5732499694
1202254.6466574604,861701.65576828
1436152.9027168993,879394.4764143219
1089710.3521253,775976.1289218139
1599338.35249981,983106.0631300354
1722979.4501687416,953570.2185513306
1927494.8437630688,1138568.3546113586
1243203.3836077526,849642.1340874298
1655445.5177263943,963079.4795448303
1495133.1226116263,939462.8502452087
1937669.6483016636,1039916.1525071716
1727073.0466605034,1019941.7548684692
2060046.473414755,1083172.492259369
1832712.3291697614,1128764.0276667785
1557978.0726408288,955149.5422541809
1573075.9150879583,1043306.2649766541
1778154.2184207665,1161859.780997278
1568435.2320501218,959475.254654541
1836155.7474508297,1091925.9435844421
1863735.4203735276,1158397.596539154
1902260.0558044862,1137809.4130249023
1267410.8314515757,774833.6659632873
2259860.1925352667,1300974.8121681458
1085456.5315796142,785869.967939911
1455222.3060575277,937067.601465149
1726562.564220843,1039738.2222628784
2041792.791655395,1238478.86330719
1986102.580063023,1042850.4691151428
1800810.9030020821,1163866.5288423158
1605400.4965503553,974628.1702339172
1380597.5846157302,913441.2880352783
1978062.696483,1143216.5527215088
1092452.147340671,796542.7744898987
1417129.1441020856,860401.8023234558
1336816.9990205055,890839.8410169983
1767997.8573961712,1081354.6331442262
1376994.5146473364,921314.7052163696
2064941.3310861336,1105889.4116903685
1540294.3544272543,981165.2030307007
1399441.5806466404,944222.3162437439
1856665.9642129687,1133306.7118782043
1614160.7241710224,993465.3775127929
1885477.6807377017,957653.5218609619
1188720.7205723943,858936.1926969909
2097176.0304875392,1236297.2279151916
1533326.1654252813,977886.3609919739
1872889.3406211312,1001320.1528147889
1573961.9349285134,949411.7869320404
2324235.5537742423,1191243.6152702332
1959497.7972004763,1173315.374263916
1281565.868371385,829746.9134907532
1716582.165866255,1060125.8042779542
1682314.9445252414,993539.3361125183
1597749.5914350618,1006118.1559302917
1873731.9314470023,1086078.9760269164
1242719.1808581795,781414.8421025085
1783942.7028682858,1104422.3126305207
1949668.279177331,1085074.1356762694
1357154.6911795877,756328.0876359558
1560531.7730698592,908164.0257641602
2407122.6117886677,1333908.2714997863
1709917.3961975472,1076887.9385092163
1365761.2455323334,923207.3522918702
1936182.1400713571,1068506.6018736267
1450017.013840342,933335.5688279724
1684899.8587065898,999728.2105354309
1474528.9835909947,924024.6312026978
1626816.7943905762,1039850.1417523193
1923593.6539937572,1129440.20727417
2427779.046016646,1348123.3875090026
2016660.1041705476,1129634.96700058
1919698.8864291164,1109918.5136940002
1675761.4254516615,1053572.6141943359
1782186.5700217627,1151123.2909709169
1785171.4932646425,1113156.5356176759
1332596.3518343207,872640.4838740539
2212826.6756635965,1002857.450014801
2559127.576166959,1295006.9992120361
1704163.373389019,1001400.4782769775
2349499.6379800313,1126964.294946747
2107239.4555098787,1086064.9127365113
