source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
364837.1313571622,208430402145.40738,456541.7857605231,837434.3031740333,1376781791872.357,1173363.4525893317,301529.58217683533,187965485916.99167,433549.8655483492,901572.8996515928,1633234214597.6663,1277980.5219946296,,,,,
308533.3100040477,182854113166.5582,427614.4445251566,795178.5145989206,1854253998388.3372,1361709.9538405149,508951.0977411722,683604230787.5582,826803.6228679445,806468.0063140561,1990343244578.5376,1410795.2525361495,,,,,
262806.4949222837,116893511075.90593,341896.9304862299,824000.1801764412,2316829154861.158,1522113.3843643705,482533.68094587384,647509442170.1904,804679.7140292468,968499.3819528822,2579533338902.467,1606092.5685969868,,,,,
412918.55842261907,495639791418.19336,704016.8971112791,1339622.5630789492,5508121500388.274,2346938.7508812994,520082.1441119316,582676622370.6521,763332.5765160637,1316022.6045822536,5783064484143.469,2404800.3002626784,,,,,
259511.36296639,131724726301.19835,362939.01182044117,667818.8821968684,934797865951.0034,966849.4536126105,363856.19862717594,270655386526.84683,520245.5060131196,704725.0092211657,1002300478424.6724,1001149.5784470332,,,,,
284140.890907816,132823957291.88388,364450.21236361476,950543.6685303157,2770430291033.7676,1664460.9611023527,545414.9061728239,597405638696.888,772920.2020240433,909287.676271843,2489768451616.572,1577900.0131873286,,,,,
356565.78237960016,288973529467.20935,537562.5819076411,949414.5065616718,2637633638502.3545,1624079.3202618998,527833.042305413,693228791503.076,832603.6220814056,979641.6303889345,2428349132350.5396,1558316.1208017261,,,,,
463796.468845054,541740512737.55804,736030.2390102991,1181261.3478637813,3868793426154.0376,1966924.8654064133,502626.1281404411,583435296245.8644,763829.3633043079,1334227.6837977427,4642027709608.017,2154536.5417202874,,,,,
363527.46997365967,290922568178.253,539372.3835887902,1048143.709047091,2297749323043.5386,1515832.8809745284,455266.7462962748,414407884057.6008,643745.2011919008,1034026.0100710131,2571306076020.56,1603529.2563656454,,,,,
292077.38549710606,206346963712.60626,454254.2941047517,913047.389034539,1921317606127.2524,1386116.014670941,353038.8949096517,390297224132.12286,624737.7242748535,1187746.5282165713,2824335162011.947,1680575.8423861586,,,,,
295753.52212418674,149666759645.3105,386867.88396726665,626953.8423198849,1089977581587.6355,1044019.9143635314,387790.0577385809,388891125626.0266,623611.3578391806,718072.6793532002,1067467144736.7211,1033183.0160899477,,,,,
323963.90826359886,197939743553.99985,444904.1959276175,906693.2540417287,1622105116893.4268,1273618.9056752522,267341.46262953035,160732363972.6334,400914.4097842249,938441.8251663973,1495004457795.579,1222703.7489905637,,,,,
399875.45777392725,303042324100.698,550492.8011343091,991750.6653017802,1765103818444.192,1328572.0975709944,287486.92511389893,180854793213.03165,425270.25902716455,1214455.264073591,3063519898049.833,1750291.3751858098,,,,,
370544.113559933,282784806268.8967,531775.1463437312,840090.0746673713,1879313239900.1365,1370880.4615648063,281703.4639653721,149304539149.09668,386399.45542029,856083.283410207,1905397903305.1687,1380361.5118168024,,,,,
264380.2246611811,132032499266.86342,363362.7653831133,1031771.8214378016,4267257996346.022,2065734.2511431673,445899.3220141921,514922876489.2648,717581.268212364,1283975.7567158078,5533112687517.525,2352256.9348431146,,,,,
324938.6314407693,194105582347.12122,440574.1507931681,894310.6574685334,2176260367523.4912,1475215.36309906,300727.1723016655,272198736224.1974,521726.68728386646,872496.509015039,2150433029172.9084,1466435.4841495443,,,,,
217749.67709713677,79441884546.4761,281854.3676200106,1306222.5263187122,5709003586010.826,2389352.1268349765,394475.771968609,361738670937.6941,601447.147252104,1251594.2729389246,4480942879080.852,2116823.771380332,,,,,
281473.7642330691,141515344001.36536,376185.2522379969,764985.9452590055,1174734222375.787,1083851.568424287,307683.2784782772,224070989187.5359,473361.372724408,727487.8541662242,1157553537092.332,1075896.6200766372,,,,,
340386.0824277427,190160039247.6671,436073.43332020025,800527.5543573489,1178787269880.311,1085719.7013411478,304806.40095770895,175705198364.0245,419172.03910092154,848781.9334233992,1387131401807.7263,1177765.427327414,,,,,
329990.08115792176,192531841056.3765,438784.5041206178,802764.8784636738,1644379191599.1282,1282333.4946881519,289076.69665021665,170369144397.98993,412757.9731489023,1069248.252073945,2782466123697.9214,1668072.577467156,,,,,
336754.38981049485,238558702781.1552,488424.71557155583,970572.1937640613,3338033414558.345,1827028.5751893278,350846.159345955,254838909548.15768,504815.71840440715,974038.5568890832,2812891103485.404,1677167.5836020096,,,,,
281861.7477989269,135113756986.6259,367578.23247116513,825264.3835055907,1482935905208.1606,1217758.557846407,396724.3240918027,329269878858.0631,573820.423876724,883517.0827852429,1394632162359.3357,1180945.4527451028,,,,,
402090.9640827585,303369642192.82086,550790.0164244273,1296342.7409466982,5204714961803.937,2281384.4397216216,764130.0713768506,1369976306450.1587,1170459.8696453283,1290519.0685174463,5413434227673.416,2326678.7977014394,,,,,
275148.9029698637,141602039881.9236,376300.46489729936,870684.0515839134,2017191953590.8408,1420278.8295228656,461353.7730447757,489916561488.0243,699940.3985254918,968938.3720918293,2411280508651.745,1552829.838923681,,,,,
658683.023197974,1401024674231.1824,1183648.881312014,1294087.4845259907,3213686252854.4736,1792675.724400393,334953.6401329761,254292833250.07654,504274.5613751268,1296514.3963220697,3608897859617.6113,1899709.9409166684,,,,,
310548.9821750184,195154876915.75928,441763.37208482926,811037.0007895245,2242197544472.68,1497396.922820626,507725.7491677738,1045477333131.3348,1022485.8596241489,858922.0672323628,2728062586486.7,1651684.7721301727,,,,,
347384.67144057504,281716392128.8857,530769.6224624066,878740.6163665853,1865674156989.28,1365896.8324838008,333409.0693475852,209037964335.1891,457206.69760534907,1004608.3034877885,2736356072632.7695,1654193.4810150745,,,,,
336003.4769792014,235975490924.59186,485773.0858380195,808528.6493513929,2138774798766.0806,1462455.0587167048,523896.5555315829,812819934388.4191,901565.2690673145,934473.4788061172,2376035673336.8105,1541439.4809193162,,,,,
331334.7052950182,221408678828.0925,470540.8365148476,1066363.4674991146,2945251859260.346,1716173.6098834367,533628.6289335217,854540690394.6843,924413.7008908319,1090150.417318865,3163910357705.167,1778738.4174479302,,,,,
351812.06231381063,197423904571.09238,444324.0985711808,956280.8123586152,2623930331761.2173,1619855.0341809038,397357.30133624753,331413181267.788,575684.9670330015,1132148.2642987662,3144159602457.6846,1773177.82595477,,,,,
328048.8631936764,221159281107.31125,470275.7500736257,832370.9394197753,1818744213592.5447,1348608.250602281,561775.5391536283,759861808822.1318,871700.5270287106,843855.6121534129,1874114858235.2478,1368983.1475351506,,,,,
509003.11319940485,485855763636.02026,697033.5455600542,1912359.5396950478,7698878702296.7,2774685.3339246777,344588.2258898003,341002930914.4683,583954.5623714813,1738730.7758944314,5797327796076.204,2407764.065700002,,,,,
294753.58731910266,146964940258.5414,383360.06607175636,944106.3274884896,1765114776897.25,1328576.221711517,293061.1459001682,177189272488.538,420938.5614178606,865436.2983314287,1472382679741.5872,1213417.7680179186,,,,,
388334.1125177444,277606502755.1156,526883.7658868564,1117987.2843708217,3759535810929.4336,1938952.2456547075,528101.5096113607,577457591627.5277,759906.3045057119,1269342.6969671398,4095867539617.127,2023824.9775158737,,,,,
289038.01319027453,160650192336.43585,400811.91641022335,944970.1885149057,2235414880788.835,1495130.3892265835,326014.46029927547,211257762991.55347,459627.85271516506,901990.7773207064,1950275971416.3237,1396522.8144990413,,,,,
355099.3744939169,293873256921.33417,542100.7811480575,837878.8527693487,2189123514676.3345,1479568.6921114323,344653.19932827004,440152837464.58453,663440.1536420482,878408.541840764,2277191543584.4424,1509036.6276483955,,,,,
295548.03676465416,166085629223.1292,407536.0465322414,1120104.460717744,4462516376015.165,2112466.893471982,702489.3381490606,1196842010431.9817,1094002.7469947147,1160902.218348976,4596671177196.093,2143984.88268833,,,,,
232004.7567062395,99920375013.23067,316101.8427868314,917853.947983614,3351528443398.996,1830718.0130754698,469640.0052330976,560005687383.5083,748335.2773880891,858682.7480441278,2959985814619.1313,1720460.9308610095,,,,,
