source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
355238.80187002645,195511941370.6148,442167.3228209145,834711.2539748822,1292503391063.3728,1136883.1914771951,300395.41264408757,183527972184.29965,428401.648204462,709076.4423555009,1141270120188.3225,1068302.447899621,,1.3232284256680231,,,
322045.1524663432,197968501524.51456,444936.5140382553,779493.8172582032,1803316052483.8025,1342876.037645993,501970.738939578,681567806066.3069,825571.1998769742,697773.7865260249,1783226255006.5928,1335374.949220852,,1.3856185024584968,,,
270368.6256414134,119963056794.03506,346356.8344843726,817492.7301076683,2284164734698.9653,1511345.3393248564,440725.2952755309,558091543269.298,747055.247802529,753772.81035984,2132235931203.339,1460217.7684178955,,1.3288375354884032,,,
410206.44726272236,457552364894.59204,676426.171059778,1309780.495321417,5626120849217.246,2371944.529118935,515003.6871958373,566229470139.6221,752482.2058624523,1024637.8020672485,5016724906671.912,2239804.658150329,,1.3731377336010997,,,
255155.4885358885,127485014250.36185,357050.43656374636,660997.885151166,944959231141.5233,972090.1352968886,366612.83804855414,280206748757.3202,529345.5853762457,594581.3327224843,878666818058.732,937372.2942666548,,1.3638268008273142,,,
265440.08845044166,129474292024.26747,359825.3632309255,952091.2264074833,2890760513493.4863,1700223.6657256263,461851.649847103,404237303372.7098,635796.5896202257,756829.8959269543,2302806334962.377,1517500.0279941931,,1.3387613994554053,,,
362107.63650071237,305918221489.8117,553098.7447913905,998787.6180634561,2840782121759.1123,1685461.9906005333,520584.65918349184,658448385936.0563,811448.3261034286,776485.5364634213,2148814006282.31,1465883.3535729607,,1.325355992426517,,,
465004.48736649926,542401378362.6617,736479.0413600795,1186304.2290711368,4025030600951.953,2006247.8912018707,536681.0957113713,636243861097.1743,797648.9585633358,991155.8273662623,3863053215959.142,1965465.1398483622,,1.3143759301441056,,,
363617.406772293,287257831471.5223,535964.3938467576,1040011.950465322,2279879705730.3745,1509927.053115605,371926.33053164004,312003311497.5949,558572.566008746,847418.5320603573,1896878822740.7693,1377272.239878801,,1.3676742305282499,,,
291964.4150205216,208114050954.3852,456195.1895344636,925005.8783033848,1924496933072.551,1387262.3879686752,367115.24780349166,395623518866.67365,628986.103874063,604938.69682302,1271080560021.4111,1127422.0860092333,,1.3910530739262672,,,
299449.2254382296,154534229339.19244,393108.41931863077,634924.8343937584,1114057765225.1743,1055489.3487028538,372930.18191006733,348119698534.65717,590016.6934372765,536934.9030773815,983493807838.6488,991712.5631142568,,1.3744771563105216,,,
331683.5646953439,204211882937.04608,451898.08910532703,864261.5679014786,1538737961967.8003,1240458.7707649942,270376.4961706929,156499083005.9201,395599.6499062153,694907.656923733,1016246597754.0961,1008090.5702138554,,1.4403412335585255,,,
406275.32806764456,299716104909.36127,547463.3365891832,1041450.6406930952,1900871221270.2134,1378720.8641600423,294175.3506999861,183420589748.1052,428276.3007079719,704070.381844965,1021035863400.3846,1010463.1925015303,,1.4061174925543896,,,
370744.44232395495,275317279963.2399,524706.8514544478,834746.6824979325,1868742698063.0059,1367019.6407012613,290896.35761690675,165360881896.49295,406645.8925115228,678481.5443895301,1506457212477.0747,1227378.186410804,,1.4365055201556367,,,
