target_rmse,target_mae
1485982.8586662076,989350.7407539722
1947804.7879793413,998729.9068272888
1946262.0257455516,1193026.722702143
1611033.6160940262,948442.105716285
2080950.305422458,1191414.6493499798
1487507.9971222512,935272.2150344736
1813032.5933374474,966731.4618599463
1486883.2186803299,944252.8922646604
1770373.8050276325,961773.1445351425
2064380.4122234925,1059353.9272670094
1664204.4363835098,986966.4430048502
1930669.5761747758,1035019.1171410923
1333516.5202969497,874132.0948013085
1712309.9280904902,1008001.2724707737
1384246.49795272,906235.3164854082
1708795.306032859,1068697.6998126134
2024557.0854462576,1092305.9597249501
1556494.8072436184,946667.907211577
1265135.958807483,848131.2238711462
1733293.5989676598,1021479.6769189395
1649899.2235193665,954972.1247040709
1846456.7188246348,1112654.3754230225
1469652.8213682743,920402.9026772606
1464397.4709832305,911439.5523336917
1541860.1558656676,994968.1439393423
1132826.1423064568,778396.3118408051
1445957.062706072,993590.9923598194
1670609.73322644,1106509.1384003817
1786088.647363391,1081320.6303981934
1471279.851079276,957664.3367388676
1746896.2350528392,1126463.9191176002
1911057.208374375,1022590.734718586
1339475.6083266835,912578.5252791664
1527952.3552267295,922509.5924715796
,
2314956.038719639,1114161.0861529498
1256608.2617837063,819604.1681308412
1325241.6298198458,857752.9101806652
2039169.7357453345,1232873.3223536212
1176642.59692729,738040.2486936845
1344223.3208976204,889557.66354452
2190011.7518835436,1173025.0904115678
1878936.1248879347,1040616.5573735815
2322410.51597889,1266466.1158814207
1331564.2776741441,832729.775198356
1682614.2323860317,1086262.9215930516
1182785.9722032426,776052.0352197838
1549494.5628446774,891518.2730105855
1342340.216957444,876368.8711007236
1281152.7603068002,839096.4703624324
1723337.9641292994,1061737.2196778054
1583911.1168795533,915346.830732959
1959567.1335935704,1114265.4081237921
2031353.528732241,1190092.7193394497
2225567.4335404094,1150261.1832158312
1493633.2087796803,997732.8308466765
1891453.474691943,995699.3714369327
1792057.5099135162,995107.1536760605
1837888.0406378033,1021353.6329285866
1515912.615058831,991007.9710226866
1845893.465348369,1069059.6264455826
1920886.8593302863,1125102.6162437492
1724586.9354899342,1082344.7908303533
1671657.9841145694,1040163.54304645
1277625.905488576,894681.4841372671
1696689.8845894064,947747.883198909
1984021.9123882744,1128491.3199430397
1498213.1086041701,907069.2041195148
1818446.636637939,1103426.2976152017
1427088.871251843,961822.1657186415
1656284.2453359158,912523.8288976755
2136244.2359275306,1102774.278827375
1944217.4982677544,1096784.9169237898
1708338.5104934776,964423.2287566034
1745070.9635429147,1082040.6089149134
1425280.4883355736,868573.1011706764
1893935.232305316,1160900.2849855581
1483542.479625298,894721.794957437
1568939.3200743168,943282.7329719856
1843834.2946239144,1153928.4086310668
1721592.4363584302,1067797.7683098023
1623014.1864520707,962093.5096674518
1591725.7730504393,886987.7016068808
1241688.3061609056,808000.9335250655
1832947.6622701148,1069179.6372161403
1081779.8932786228,799643.4980190845
1524990.1807063944,947029.865834737
1299906.8982662903,887660.3026070538
1753544.9586440956,1008087.0589304884
1325211.375123048,815220.6419711651
1893868.6085454652,1040171.5259820832
1645865.5323441592,1046428.711205862
2054527.7175840691,1071658.68042145
1593343.3441465446,1068815.3927141023
1474846.8754712907,980663.4121445478
,
1490054.5138761438,1054213.7821320256
1687677.6345905473,992152.8586246086
1675617.3951824184,902315.8675352612
1753633.586491937,946443.0437705021
