source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
362639.8505066746,209326353804.6185,457521.97084360715,757452.7382954342,1227563742330.7964,1107954.756445766,287395.97114129376,166672622179.96042,408255.5843830681,811834.6990408931,1336562528219.5444,1156097.9751818373,,,,,
316230.017860651,183890706966.22427,428824.7975178491,746355.5092934322,1927385704235.8313,1388303.1744672456,500775.5763576685,673616615662.4946,820741.5035579074,805137.6294948627,1869311192601.2563,1367227.5569930766,,,,,
269267.83159126656,119288720435.53458,345381.9920544998,776118.6045126113,2173826728440.544,1474390.2904050013,488409.143875729,711178712365.4329,843314.124372071,821521.3455530782,2345959179993.8525,1531652.434462157,,,,,
406164.5633238516,479140534560.3966,692199.7793703756,1055447.4168433428,4956681467054.565,2226360.5878326553,519545.46791184286,598895526985.1544,773883.4065834171,1295058.1767455174,5461832439769.293,2337056.3621293544,,,,,
255880.30284605784,127808357828.91455,357502.9480003131,604741.1726026054,904623353030.0142,951116.8976682173,374145.81668321474,283442604394.2124,532393.2798169154,680512.3272862296,972088042388.9934,985945.2532412707,,,,,
277662.35836029757,132626342152.03105,364178.99740653776,801093.7532498246,2377014160639.743,1541756.8422548813,478806.71449470316,406196071016.02795,637335.1324193794,929228.288897765,2894716158991.885,1701386.5401465609,,,,,
364030.25285533624,309816702468.9862,556611.8059015513,795301.6080660421,2199864353060.7676,1483193.970140375,540074.9027009101,677015306669.192,822809.3987486969,988927.1727104443,2820839225534.1626,1679535.4195533248,,,,,
468680.84341758303,585388387357.8164,765106.7816702557,1040360.7680085273,3826878896608.2793,1956241.0118920112,505890.3890088621,601545101781.139,775593.3868858985,1155071.942319084,3843310834815.4087,1960436.38887249,,,,,
369868.30552608334,304624103513.2548,551927.6252492303,893310.5565315763,1957782512049.8743,1399207.8158907897,426807.65881732176,390224627025.72076,624679.6195056477,1023447.6409650211,2292512728845.8486,1514104.5964020612,,,,,
295411.67352136393,205674047356.53723,453513.0068217859,713091.4545154378,1401230834476.9736,1183735.964848992,367189.83136998245,382019444874.8364,618077.2159486519,901576.4066792403,1915018990328.89,1383842.1117775287,,,,,
282989.6460156037,136646347533.71109,369657.0674743161,541845.8488467146,982756877635.8253,991340.949237862,385468.9345922151,388761124060.47296,623507.1162869538,630460.3451329971,1080544343034.7723,1039492.3487139154,,,,,
322493.29056490224,191236297919.82388,437305.7259170338,748141.8021966332,1118144225332.4126,1057423.3898171596,272983.9027078499,164211909456.70187,405230.68671647,850169.902539423,1483330490564.6438,1217920.5600385617,,,,,
394286.28074198816,275206772199.258,524601.5365963562,768390.1631783836,1069071393382.7946,1033959.0868998611,284287.33631453436,175489952730.09906,418915.20947573514,1003985.8809743028,1882400137720.7969,1372005.8810809802,,,,,
367617.0642214569,288657413898.0046,537268.4746921269,693596.2183025815,1556510435984.353,1247601.8739903981,284001.32838134264,158261319463.09705,397820.71271251957,879897.4983990832,1909099737312.4854,1381701.754110664,,,,,
282694.1016946362,141825364560.43066,376597.0851725099,956581.2287125373,4315397045690.063,2077353.375256618,430229.1610493204,481600267456.5807,693974.255615135,1036414.2564155676,4269619059286.1465,2066305.6548550958,,,,,
315602.0988482339,179134303888.74323,423242.60641946626,742579.8360417705,1894187944445.8682,1376295.0063289006,316045.45601695427,275300009088.8667,524690.3935549675,863871.1571644852,2127948571355.8486,1458748.9747574285,,,,,
218598.18216361053,79849101808.84584,282575.8337311346,1032935.8320459023,4380154317838.728,2092881.8212786713,384955.7500420644,351094998427.11743,592532.6981923592,1303487.1214411554,5666026045665.932,2380341.581720139,,,,,
285525.3997570479,142816123129.70892,377910.20511453366,585230.0376192019,796613730166.3647,892532.2011929681,301699.3139212758,215189107039.1645,463884.7993189306,790669.3714749512,1201857896117.2524,1096292.7967095526,,,,,
334300.69255289773,187762177319.3158,433315.3324304551,645170.2174705775,789046209214.0659,888282.730449076,290820.3960347929,159286235725.22418,399106.7973929086,777542.7234008132,1137823761896.8633,1066688.2215047015,,,,,
332944.3257489764,192249076922.0143,438462.17273787066,809739.1298052415,1957394518175.3848,1399069.1613266962,288168.1313701596,164540887876.04935,405636.39860846975,793136.3732384567,1646747917192.1519,1283256.7619896464,,,,,
348233.06154877867,250112133974.921,500112.12140371185,895735.1060745496,2962789508336.585,1721275.546894391,359097.5223948242,277753275091.5144,527023.030892877,965791.0331483884,3480409359694.7695,1865585.5273063118,,,,,
264091.1314712958,117475986773.4587,342747.70133942354,728219.1728204051,1173493609523.876,1083279.1004740542,364250.34087507793,301330608629.84503,548935.8875404714,851301.2761936309,1520740328977.0369,1233183.007090609,,,,,
386890.69549412216,284961387952.135,533817.7478804307,1144878.438775179,5528498304016.005,2351275.888537116,731113.5653006642,1159351555403.285,1076731.8864988093,1311960.611849707,5292058572188.537,2300447.4721646085,,,,,
274692.150341494,141320626453.08768,375926.357752536,860907.3906513922,2147147577507.1152,1465314.8390387355,472190.885522198,476206163499.5377,690076.92578403,887983.410009947,2024223550468.5356,1422752.1043627157,,,,,
635163.468277933,1334390986216.404,1155158.4247264112,848960.3726782618,1983968406057.9417,1408534.1337922704,340111.7238214397,266208961965.13977,515954.4184956068,1237843.879034329,3144304925226.975,1773218.8035397592,,,,,
309101.0513146185,193719575707.71185,440135.86051094707,712256.7338787174,2349439723315.3677,1532788.2186771163,538670.0876548374,996714745322.4667,998356.0213282969,791892.8827527442,2188315619311.2961,1479295.6497304034,,,,,
354321.9795799952,283583997445.4772,532526.0533020681,825792.7758988094,1969669984116.1094,1403449.316546953,349047.3819498556,220524146404.64957,469599.98552454147,841574.7894250784,1784609754726.752,1335892.8679825908,,,,,
328947.5382522922,242281836275.12662,492221.32854553004,788808.3080438621,2079605373087.846,1442083.6914298164,510532.067126351,825487354938.4379,908563.3466844443,801891.9132621225,2176397647281.6123,1475261.89108294,,,,,
347755.7974822289,238173571088.1616,488030.2973055685,900092.7563503213,2634151585278.3438,1623006.9578650438,532645.873244205,800592015241.6274,894758.0763768648,1007118.1468989024,2692904731060.0986,1641007.230654423,,,,,
349151.70777199767,200704148757.82068,448000.1660243227,803512.9823552594,2053593829364.9617,1433036.5764225845,405888.2097492399,346009653798.71106,588225.8527119588,974335.6308247356,2664321143273.6934,1632274.8369296433,,,,,
320419.84123843757,228628329494.28564,478150.9484402239,729930.3435607542,1721179209364.1008,1311937.1971874647,571534.8680796289,722319291245.4409,849893.6940849961,847706.1486970554,1910991064353.1362,1382386.0041078022,,,,,
509308.24079915654,489090402925.94,699349.9860055336,932271.1784901452,2042451453743.2727,1429143.6085094013,367626.45174594136,324277327451.4722,569453.5340582867,1946753.7923269528,7758866279050.37,2785474.156952523,,,,,
281535.16703929845,145370327526.58328,381274.6090766907,759333.0254033925,1239379233171.3408,1113274.1051382362,292893.5502808406,177425422899.7948,421218.9726256342,935653.5405802258,1689923890371.4978,1299970.7267363747,,,,,
394855.4547492853,280760376025.67694,529868.2628971818,1000185.5037873775,3267169668683.3477,1807531.3741905969,535676.3309068799,584222805927.9061,764344.6905211719,1115543.7228712756,3699214600912.7495,1923334.2405605817,,,,,
296799.9738605657,170699036585.55878,413157.3992869531,766540.2881614487,1646521234806.6377,1283168.4358674965,344247.58746137226,238024121234.6483,487877.15793491324,951320.0956852899,2202445507666.159,1484063.8489182866,,,,,
356410.36870732426,290792460764.6766,539251.7600941851,843046.6239483631,2209476264124.7305,1486430.7128570543,317751.1350181766,455909318082.1153,675210.5731415314,872263.4818760381,2461199507262.65,1568821.0564824305,,,,,
295671.3859220023,158692348644.2628,398362.08233749203,1059986.7015347437,4641037328378.384,2154306.6932028,695925.5836127001,1251373860247.5588,1118648.2290012168,1151444.9408512306,4459357336810.843,2111719.0477927793,,,,,
229095.65111740545,96691571478.42308,310952.6836649317,823860.070120819,3121393708031.176,1766746.6451167173,477348.3531340677,595240198003.473,771518.1125569723,914911.7618103726,3344976091668.1704,1828927.579667432,,,,,
287534.14503991924,160112759267.17734,400140.92425941303,722448.932601767,1129060068404.7683,1062572.3826661261,312917.287090637,168823155236.8563,410880.950199515,778848.8591937855,1527440471378.571,1235896.6264937255,,,,,
338740.08110251615,221772507450.6154,470927.2846742004,934284.0693083705,2053672466249.8586,1433064.0133119868,446161.3049624397,393097675027.07025,626975.0194601618,1022949.7427176598,2032317339831.8462,1425593.67978111,,,,,
318308.32706686953,208509810210.6663,456628.74439818866,801359.1889982978,1924286044569.848,1387186.3770127818,307266.5558933784,187557238304.03128,433078.78994939395,853601.794806888,2361500084610.2686,1536717.3079686025,,,,,
298938.1837150863,162189926649.8324,402728.10511538974,1063233.311735995,5327558686376.81,2308150.4904093253,532799.7468045073,583409312908.1243,763812.354513937,1072828.5339564693,5254925854501.99,2292362.505037541,,,,,
329476.388848619,206175982722.75507,454066.0554619284,959154.1269841313,3049177736057.2124,1746189.4903065967,663419.9055776759,1230369426208.1685,1109220.1883342047,1226848.8163118227,3655900365521.99,1912040.8901281347,,,,,
296694.58709107764,163398606326.86118,404225.9347529067,907756.5104548006,3257052141085.9346,1804730.4898754093,552082.7278262123,962475293730.1676,981058.251955595,865681.787334191,3108105975257.8193,1762982.1256206257,,,,,
309716.59207709174,146706948452.61966,383023.4306835806,718023.264301967,1397063675919.3215,1181974.481923921,437797.4556161908,407300642605.5008,638201.0988751906,799569.590731658,1563180392207.6382,1250272.1272617567,,,,,
