target_rmse,target_mae
2152822.3848296828,1177248.0049214936
2625572.5875394493,1486282.183653717
1599926.5153454605,946118.9498355102
1756969.841232716,1016759.4339784241
1174317.5453475607,762916.3220848846
1276115.340009145,778928.5930480957
968149.2375098652,700766.8878384399
2543333.189046342,1242066.0753018188
1505760.17340605,930038.1923693084
1833536.4378511822,899969.47976483
1219113.8898814681,774978.2696175384
1768310.164195624,1013855.173635025
1308518.5084047953,819033.4920272065
1541203.0026365512,1002000.3585236359
2113965.4309980837,1128394.7946995543
1952224.8961679388,950258.3705860138
2546480.517951679,1191700.4397665404
1294977.9025066218,780025.0198417236
1278744.8559959873,857440.6246576691
1346065.273772412,884541.4636090241
1287198.9323210493,816446.8869069794
1551164.6234277845,927206.1664012909
2112091.728459891,1236648.324061432
2051583.4818135197,1185940.706993332
1222372.9646136414,771294.0485699463
2258433.7007801333,1215856.8496665955
1266253.909128947,851012.0280168152
1579181.6363189917,844817.650606308
1143345.7583802855,793836.6158758545
1344831.8488063372,860332.4359317779
1948986.4334665241,1157959.7243218995
1698686.0595793226,885648.129556961
2137026.345389045,1234110.0100196837
1658166.626746163,995848.304268457
1499225.3874104095,954163.3942007446
1916807.1499602017,1174213.8912768555
1554300.6724177974,878550.2474325928
1738342.063833872,1008578.7011051178
1493664.9255282239,1000783.9203994751
1664165.5959986257,992417.5717794037
1242282.4371254204,810824.8933596038
2117940.1935166526,1171639.009744615
1811459.2477798574,1008797.9005264282
1751054.2628510946,1100482.8873880005
1363822.6068789347,934319.8417465576
1277313.4905733168,859837.9360215759
1802526.9907228656,1145121.1107669831
2126596.964925922,1190362.3631406403
1960546.9311468713,1054280.0732081605
1368670.273853964,894330.8364502717
1462821.1330210823,840347.6757534028
1454289.616935775,864943.24905365
1886997.2419240202,907356.7286972046
1353314.5612891675,860013.9498680115
2184994.2901246194,1157477.2078922272
1411964.6228522197,959280.9584506225
2430072.869543515,1207842.7414440918
1549553.1556080848,955973.6485296631
1546428.3283325313,972029.1471369171
1636975.5248571886,1048066.08706604
1494013.76069492,940933.254988327
1668939.0065059036,1034550.4790420517
1504402.830934421,936554.9881266021
1451623.0626601186,926040.2162470245
1502589.4892101458,928334.3137310791
1793811.367917826,978270.149347763
1675995.778481269,942107.1326972961
1940297.1789235196,1086839.5461229705
1373237.758187159,856079.2856916046
1540707.3898801708,960301.6356827546
1902407.922921863,1004355.8783052063
1999390.6900896127,1153087.78332016
1600157.5129740248,1032016.744221312
1440808.001976322,904926.0780193328
1924523.2021576774,1017569.4128467849
1618313.9163004397,943867.2653844452
1377462.3852255885,842459.1503174591
1616695.4489205112,1010222.4014249421
1293798.750705625,823305.9032318252
1803994.6049373625,1053091.9079735565
1952797.2070898258,1182714.509697113
1250318.4490476423,811144.7470001221
1801548.2099042975,1047111.7360301209
1802502.9234519815,1037560.8973530579
2131194.681585871,1184611.2642354583
2252919.3879636303,1078491.3373492432
1382544.8144668362,899774.9875612641
1596848.648635044,925829.4432398987
1263033.4037913098,855715.9973027039
2650172.016752392,1305903.6976447296
1596955.1383651404,1057633.2446488952
1352618.1652127975,793988.360259552
1437169.460069093,924070.7423821945
1466759.6685843912,872005.4301799774
1354967.0194751953,906373.2160153198
2112641.1678339713,1060762.2276058197
1623757.3819303955,1000290.9565567017
1438921.5347857478,893515.5652346038
2199798.7274919306,1256068.6042979432
1828585.5960008507,1042381.2649693298
