target_rmse,target_mae
1398299.5,852851.4
1242204.5,782296.25
2160158.2,955663.2
1834815.6,1096454.5
1778088.6,884176.94
1645431.0,800224.8
1416512.6,727831.6
1320849.9,783470.0
1677111.4,928990.0
1788402.4,872395.44
1093647.8,764393.8
1857583.8,962061.5
3435205.5,3347332.5
1122659.9,663919.6
1206238.2,689155.94
1040183.7,694117.5
1056522.1,718150.56
1538323.4,865657.44
780856.06,560551.44
1357405.2,766436.75
1711327.6,725607.94
2082060.0,1001883.6
1336117.1,703095.94
991878.7,661405.3
811366.2,552228.7
1671696.1,893752.75
901982.9,609472.5
1826767.4,836008.56
1128402.1,701962.06
1560734.6,1023872.75
1903395.8,1216640.8
842838.7,615542.06
973566.4,648040.06
1228581.6,798744.8
1129365.2,671666.56
1032528.4,675455.5
1348594.1,703393.2
1719932.2,901430.75
1326366.5,754784.25
1774702.5,916371.6
1442784.1,944237.06
787827.94,589874.0
1036651.6,726648.4
1836049.8,943356.4
1542648.9,755544.6
1261702.8,683228.9
1136251.1,665020.06
1139637.8,660992.56
1069970.0,626296.1
939974.44,649270.4
1360248.8,704941.75
1372196.6,768840.2
956961.9,640380.0
1847147.4,959464.0
1289168.5,696113.75
737862.9,569286.94
1425822.2,785454.06
1369211.0,781963.44
763325.06,634468.3
2023390.5,1013425.4
996828.44,625109.25
1855822.8,1003216.56
1604385.4,931965.1
1426257.9,770539.06
867012.2,634588.06
1560423.1,850362.75
1258735.5,828446.94
1281790.1,743834.6
1147892.4,721810.2
1708304.6,802683.2
1942585.4,907252.0
1254927.8,838815.2
1170376.0,733694.56
1944899.6,783059.7
1194844.9,703194.0
1397815.9,833221.06
1126202.9,643299.75
1758617.6,975604.6
1086343.9,670568.8
1814765.0,1026404.25
1763341.5,915119.06
1009416.2,661340.3
1664482.2,793183.06
1314724.1,720154.25
873208.94,578561.9
1656119.1,665383.75
1989757.2,849608.6
1648532.4,887615.5
825399.1,606556.0
1526594.8,839923.06
1352953.8,825748.06
1511318.2,900641.75
1204574.4,681213.25
1054082.5,704201.94
1564815.5,802239.5
1655025.8,927544.94
2069731.9,861717.25
785680.75,590870.25
1327308.1,755528.2
1158299.4,683649.2
