source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
261812.07776302364,121329142292.64244,348323.33010098885,990326.38182461,2140345573472.435,1462991.9936460468,301588.6308642797,179909534741.88406,424157.4409837508,706130.0314401996,1053670696729.3782,1026484.6305373394,,1.3302494686493058,,,
319089.311342408,267302519230.63788,517013.0745258169,1507946.452311601,4214965216367.6606,2053038.0455236724,349518.4398024946,421797351113.9373,649459.2759472586,726097.2157474989,1334953572293.2412,1155401.9094208046,,1.3942587826042265,,,
331428.62068330025,321648879059.0699,567140.969300464,1459659.799313032,4441742343972.598,2107544.1499462347,319291.9472395985,285368985412.2629,534199.3873192507,838503.4201105906,2183050379290.2593,1477514.9336944988,,1.3357856760208175,,,
292759.9936314167,214278585930.26367,462902.3503183621,1155214.5753670908,3127103566060.2827,1768361.8312043163,396924.45778684533,398435144002.0187,631217.1924163811,731381.3290571338,2077318251067.5012,1441290.481154823,,1.3974910292651426,,,
305038.32788812753,210714552410.90417,459036.5480121427,1200455.3209147272,4058688091198.535,2014618.5969553976,528598.925667234,981513027773.0887,990713.3933550554,869697.4867258758,2900020442603.2695,1702944.6387370522,,1.3673763739218938,,,
361983.0613439025,325391110527.2592,570430.636034969,1281938.1114875155,3492307083166.0977,1868771.543866745,368470.7249055293,302218658635.80835,549744.1756269987,769665.6826242019,1141070099627.8174,1068208.827724157,,1.4134023429177764,,,
336926.80434476386,251649170847.8514,501646.46001726296,1229463.2920562767,2857647316392.58,1690457.7239294038,333901.52344432625,273155706630.7644,522643.0011305656,762144.8074389223,1342071703994.2034,1158478.1845137195,,1.3623672903956954,,,
289766.89697083994,180342274825.45224,424667.2518872302,1023391.4178219457,2753287854147.8457,1659303.4243765804,298427.13989814423,178564458557.91577,422568.88025257585,788655.139793926,2153618688331.9531,1467521.2735534545,,1.3691577312013092,,,
408403.2940153081,472786241343.6496,687594.5326598006,1071383.9855559114,3753379357682.118,1937364.023017388,514799.7371177291,506014169084.0773,711346.7291582054,814651.5800669619,2599674718185.399,1612350.6808958773,,1.3794758816073132,,,
306813.6980467311,240629224759.73477,490539.7280136796,1058212.02911307,2347779941981.397,1532246.6974940416,385539.67315378954,258314664167.56543,508246.6568188771,705919.4323135084,1342795624287.8499,1158790.5868999152,,1.2754438431093353,,,
389996.659939892,376734110275.0479,613786.6977012844,984429.8174738438,2018809192829.7207,1420848.0540964683,330459.11287623,208890869618.04587,457045.8069144119,559763.1955355085,896622412434.9463,946901.4797934082,,1.3501787593421282,,,
329942.06491869705,222862240028.5863,472082.87411066535,1136245.0425326747,3909620975810.7183,1977276.1506200186,482900.0233153873,1009799877311.6605,1004887.992420877,830488.7989818883,2868730175064.4844,1693732.6161659886,,1.3691096625532029,,,
350574.7273674065,336172060155.3707,579803.4668362812,1247542.1178116351,2772884062120.9204,1665197.9047911754,349664.2426852031,329214580646.85565,573772.237605529,688038.8471737285,1059948780473.644,1029538.139397295,,1.40273108751265,,,
387110.3016641287,419432205365.6553,647635.858616287,1357444.300544356,5252495642880.575,2291832.376697863,738319.3305517875,1322791989861.3088,1150126.9451070647,883772.6699427761,3637933974045.085,1907336.8800621156,,1.42316418788624,,,
261979.61109020648,160878243965.28738,401096.30260735063,1346176.9382900374,5895797025286.088,2428126.2375103333,684021.8421059159,899823314905.2015,948590.1722583898,1060316.2797016557,5298500628164.925,2301847.2208565287,,1.3782732978734984,,,
246135.05441346185,134189061250.05966,366318.2513198867,1350395.6612383446,4657352166720.663,2158089.934808247,535950.1682903749,531505314861.18884,729044.1103672595,855397.6346109372,3334987518733.9883,1826194.8194905133,,1.4107155266885596,,,
290936.5185804149,190848809980.8954,436862.4611715859,884038.0355464178,1371122143462.2175,1170949.2488840914,232388.91294011698,120196929535.86871,346694.28829426755,583548.7729564426,663751741433.2534,814709.6055854831,,1.3184355339861535,,,
322226.50338580733,226454794116.42368,475872.6658639091,1577992.3100299952,6222983299134.495,2494590.8079551836,287165.06439929106,198747699295.0177,445811.28215313004,809178.6449715401,2752494496180.7515,1659064.3435927227,,1.4407876376094404,,,
412342.73176892276,376193082219.35223,613345.8096533734,1266151.3529109266,3386689566875.7627,1840296.0541379647,400028.31457443367,334092880134.7711,578007.6817264379,884711.8635378437,2006655050845.2756,1416564.5240670387,,1.4153119341688567,,,
333476.4622769234,231921247905.00275,481582.02614404407,1044018.4694866033,2353121324471.3633,1533988.6976348173,493886.0819331269,569444645282.5973,754615.5612512886,828073.1084597419,1917529382567.021,1384748.851802023,,1.4152492413067939,,,
480281.61176920135,478399025267.1513,691663.954003063,1348031.0583945524,3731394821182.1577,1931681.863346591,384588.6957173834,333417537225.66675,577423.1872947837,859795.5139473751,1485052539350.4138,1218627.317661316,,1.349953954379564,,,
338916.14709683514,219740665587.83365,468765.0430523096,1369165.609731703,4505115831794.128,2122525.814164371,349125.5096938222,281770539542.0461,530820.6284066644,775647.575775232,2261220684376.131,1503735.576614496,,1.3401319848297164,,,
534042.254338783,981846383425.0864,990881.6192790571,1153025.8566980078,2766466585482.55,1663269.8474638893,291751.9862259092,144562980943.76553,380214.38813354436,667797.5685338211,1326969548954.109,1151941.6430332349,,1.3277224360670075,,,
338892.0360024585,229947991000.055,479528.9261348631,1331145.6329165811,4043476087839.2876,2010839.6474705008,414770.24032649637,387488392575.3365,622485.656521768,809514.7753149347,1379425238404.4934,1174489.352188641,,1.4272472259729247,,,
364960.04387180135,212463712037.55286,460937.86136262753,1205646.5352755352,3120327747747.4526,1766444.9461411054,414678.0903020371,421448588487.3895,649190.7181155547,833367.7928774746,2017795546640.123,1420491.3046689597,,1.4311778061902682,,,
338709.82336495764,333638608344.6612,577614.5846017578,1090262.3476468774,2643698852700.1924,1625945.5257480775,284910.4175761957,152258820585.41772,390203.5630096395,596305.2503113728,919811426587.0383,959067.9989380515,,1.4173470166752016,,,
