target_rmse,target_mae
1135970.7493924526,796137.078805057
1121183.1993230975,796007.3302015627
1763580.6383599073,1143515.3169726664
1824819.8854655023,969704.9388692038
1536521.951399175,982126.9298383831
1677142.7838356001,1015651.1063240494
1990635.8004349207,1095042.1159358101
1829527.1537421374,1005589.7614215479
1433885.2875697168,978493.2506722403
2306912.6104369476,1196003.297450543
1601476.540008363,1000835.3659929874
1567148.8378507015,865997.4327188936
1929570.495227597,1132433.32407892
1611034.8136062229,991469.9298754532
1648994.394640888,1007636.4567134458
1591122.9248920516,1010253.5032069901
1582891.1611307934,1052482.2083450297
1815449.776831929,1054422.6504556227
1429497.135252779,797082.5424274829
1826998.3506352,1006804.7216847866
1721743.7433600808,1088549.3769581344
1794679.7235569519,1035349.1187609598
2027912.955912703,1064674.8807676618
1934193.2666075341,1042800.5129073814
2053200.9064920566,1033779.676551883
1139453.1576211266,729867.5164428917
1840607.5973762998,1108972.3320300616
1954441.3689482985,1148024.9776644665
1226759.438921691,788553.0067030753
1799630.4037238418,984626.3217729841
1528711.7702976514,1065032.5205627938
1823185.8552248261,1052011.895801145
1618363.8388338427,1042582.8138602949
1761348.5479070528,984552.5370202659
1325220.4150524414,849816.530029467
1330338.383922965,849901.8324218423
2226983.5393118593,1122481.922675467
1483238.9152385574,893925.1145404774
,
1339198.5510031402,814993.7962385659
1678927.3387293152,973176.1275471626
1382759.4882178435,879267.1176687271
1403028.1596922677,915012.6417903912
1239595.900448146,786727.7899722304
1709254.500287348,1093504.1655696563
1509750.588656557,1032301.858510416
1119434.0935392082,747947.4934650881
2195317.1685482226,1293107.2217342781
2153949.578332527,1226678.419101531
2437366.1669518086,1145636.487518755
1407903.8612153432,860938.2935148781
2198525.4773506117,1226884.895399227
1351927.950315722,906907.0796331388
2196387.4874723977,1210337.9368000126
1352335.2739582965,868329.7172521082
1863242.6766755825,1067234.8754412911
1518080.517408772,959738.4382146227
2183997.03065472,1340352.001607276
1987961.5970880147,1172296.2157147694
1267312.5838164936,861229.303096612
1719885.3342034798,931193.9646476525
1549517.3107402502,997904.4150533936
2077781.8781354309,1217396.464582084
1482168.7595274346,965174.3523977693
1724913.868254488,990327.6167907364
1937205.574408818,1055007.1261624715
1654466.332054928,992452.1693704571
2027691.1594779715,1034897.3939187783
1829587.8856292032,1115098.8761545175
1397194.7986115317,879993.6894251442
1434914.92881527,863470.2428717336
1889072.7409710898,994832.403574484
1812538.1386526944,987657.7072770748
2661911.8318793164,1306680.6095413885
1515602.169300865,895251.5848654198
1821778.9477747863,1086859.8790862814
1105459.0504687093,757905.5842982945
1608268.756014615,967532.5299123314
1943421.2160469869,1067356.3068404044
1828790.258959583,1042978.2587459324
1443037.8907255344,963853.3050852907
1055561.5967984132,732561.7302358714
1731368.5759595907,976284.1200451537
,
2011629.47370906,1088728.7487911896
2214282.779855266,1140943.3467748538
1557896.4554159786,967797.660755299
1754201.2259042508,1105310.291851177
1828198.11504355,935877.5140532801
1497469.3644893426,910593.1055141601
1403409.3742807487,887042.8759107876
1461319.219424064,949088.8783970103
1560878.5955279265,1058439.4679004513
1442987.8917603928,1013606.3621793477
1558209.8055045581,991612.2087405901
1807125.596736011,1091598.1198804267
1669725.5362814714,1036670.2920602369
1593835.1400836715,904030.6704056974
2683637.570204511,1324425.0132560048
1669149.7514153016,1031157.0301359352
