target_rmse,target_mae
1393383.8320405523,928043.760030365
1561695.6430988377,912840.8070685607
1468333.808116239,998003.0802685547
1201585.7016583295,759487.8557855225
2253135.7778902133,1149624.087709198
1893600.3580308198,1046797.960576477
1643514.4265395785,871423.4087638855
1949194.610747848,948971.2321231079
1702053.3970520603,909400.000710144
1632433.334843999,1022955.549956665
1763019.583791296,1126386.8830628968
1311563.836013625,856537.7567770386
2258411.431046803,1101140.8839451598
2115760.4385982933,1068201.5878213502
1406820.6093279822,879497.2224018371
1744344.3945647066,1017545.2395428467
2075376.1588675533,1189629.4290272521
2111217.7019108795,1099074.4882048036
1498854.75921261,917571.2391049195
1299203.4883074993,901843.936402893
1823434.142594689,1043813.0619078064
1108398.8310617392,743587.7607583618
1400814.859167055,914269.0467440796
1583173.9897638701,899825.8325936982
1611435.384363992,1022453.4073406983
1933210.8108788754,1163810.816462555
1706935.4616661137,938130.0173844909
1584696.8322409354,891999.492001239
1553956.922620696,1038477.4654548645
2394761.9882520097,1273534.0745884704
1341855.1789893305,829042.983804779
1330631.4028123054,879143.8919021606
2126422.2128227525,1187609.5968201293
1146357.7780001652,811542.7050598145
1707389.9207807654,981076.1634732055
1719047.1721083901,970392.0319773864
1516341.429147657,962362.7597291565
1575631.1005275864,1069652.2274021911
1415427.3195992887,897271.9685481262
1800405.2905986395,1010485.0053849793
1628495.5554850376,1029202.0386729431
2784726.9108462576,1298808.6453431244
1378784.5433707403,893451.5450253296
1050862.0383961373,762476.6361662293
2516635.9680052386,1339676.469106903
1734142.6456542055,1049583.126237488
2051262.574209066,1114290.0162062072
2320794.0412222547,1180045.3245028686
1727679.6729641422,951656.8306723023
2302456.561495243,1058720.0722346923
1750721.0690102193,993618.4838882446
1701435.6347343638,1073062.8722346497
1023723.340162247,718889.5389106751
1345011.1503871402,821747.6353260804
1897774.62910729,1028761.2368704224
2078970.482314944,1136587.8621813965
1651160.7979040046,1032452.1135083832
1528761.572595964,913955.2016670227
1282980.8578440638,811274.0136177063
1924194.606406375,1188020.5515727233
1824568.6957022222,1143411.7664634704
1603833.1353142175,1021129.6652186584
1708273.9695168748,1034490.9654643249
1376632.531592451,833024.3512686157
2190166.277631475,1209665.986776123
1585230.6031025376,978032.6174784851
1797937.1880933836,1187518.1468363954
1991837.3849453009,1261478.8326408386
1481799.5757808795,879700.5737496949
1355080.7266083295,922927.9319618011
2153112.6945475563,945882.4375004577
1410337.0174294305,923697.5400094604
2037339.8366475548,1039485.7682983398
2287143.42945401,1149524.7002978516
1591448.197651046,960519.838586731
1831829.5865347905,1027849.2310455323
1633995.705069228,883802.9635297089
1277525.4324465378,900321.0232502747
1211194.0370621732,788432.2049847412
1538717.8610763857,914763.8766973877
1910498.5236893923,1032597.5120501709
1829952.0755590263,1127161.875873871
1665779.946383778,1006900.1794476318
1977175.3693038735,1132976.3691395568
1708670.2342812784,996342.9741931153
1675739.5238976844,944052.5266448974
2521823.841821461,1195996.200532074
1173185.323070957,816990.754318695
1619256.694236335,1013626.6552861023
1753867.4946178426,963748.5266341461
1996769.6869963575,1017741.4758643219
1379369.5975586984,882389.3483709716
1420025.774654862,934871.0932208252
1567077.4655958838,1008610.6888632202
1294423.1873924378,830989.574311676
1932853.1775014978,1109962.5924560546
1198395.745197635,820746.5814241028
1825675.3228963015,1021244.7615354919
1086879.9123359926,729724.5910488892
1340117.0231117725,795513.8219288635
