source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
253399.63737846137,105104338913.10251,324197.9933822887,708926.0993194054,1442343350843.181,1200975.999278579,289111.52078903245,166188210017.8421,407661.8819779967,841863.3920791857,1680118113264.4321,1296193.7020617065,,,,,
247013.3156868193,111249261785.84633,333540.4949715196,680421.5581891439,1174644504491.3862,1083810.1791787094,291800.5868504504,162824029032.91388,403514.5958114946,873987.6592519464,1564502469409.4602,1250800.731295541,,,,,
285659.8120422512,253435181977.48224,503423.461886196,669136.5104119284,1912255930873.386,1382843.4223994364,227752.13903781967,95625210115.88853,309233.2616583936,833397.2178051523,2332760977365.8584,1527337.8726941391,,,,,
211157.66266481168,94580127041.97903,307538.8220078549,685176.172680869,1640907963171.2979,1280979.298494436,338707.352616905,270796828682.3616,520381.42615043593,964536.5835000133,2094041281405.7163,1447080.2608721177,,,,,
259645.71934953277,132791260479.58287,364405.35188109253,741826.0857838489,1833002414846.38,1353884.195508013,463883.90959542274,507352357946.09845,712286.7104938141,967274.7748812838,2341841082126.7876,1530307.5122754863,,,,,
262100.6658348302,145679625485.41055,381680.00404188136,684221.0579796842,1596199834212.3438,1263408.023645704,308486.7007680859,194363865423.57703,440867.17435479024,861782.2806465317,2136916078983.2422,1461819.4413070453,,,,,
239591.68082120467,117474556126.41797,342745.6143066137,770020.637956298,2862865214658.701,1692000.3589416584,488982.3283908612,1028158768619.1742,1013981.6411647571,989028.6183171172,3179351096836.268,1783073.4973175582,,,,,
231580.17411078254,99579344083.598,315561.9496764431,893613.1522349976,3447916813426.0137,1856856.7024479874,417352.0579506999,381702478882.01904,617820.7497988547,1054225.8364225468,3948739031475.397,1987143.435053292,,,,,
229301.74762185165,95467135724.37956,308977.56508261175,635044.7941869714,1909058723912.4768,1381686.9124054397,412034.2927535815,928865364062.7039,963776.6152292262,888491.8055296446,2543934857983.8877,1594971.7420643815,,,,,
340161.53981750645,270403906197.13644,520003.7559452205,664030.4132493368,1550995017523.747,1245389.5043414116,429904.77930400113,403597044663.95776,635292.8810115518,880842.3833462144,1855604819565.2993,1362205.8653394866,,,,,
281663.605495538,128609363543.18613,358621.4766898186,813181.5822615853,1667404627702.9338,1291280.228185553,343030.9785030537,311020918289.04736,557692.4943811306,964207.9384100859,1888440322503.3748,1374205.3421899418,,,,,
202118.21548145445,82266768587.45335,286821.8411966797,853579.2537298206,2205718257631.4395,1485166.0707245637,377426.9081017297,238606027806.1044,488473.1597601903,918616.3072981824,2334808938887.2485,1528008.1606088525,,,,,
369784.84770575876,337321125452.1839,580793.5308284553,921874.71722846,3272067484566.5127,1808885.702460637,562241.1290141196,679187657369.109,824128.4228620616,1075508.4253404906,3496203109633.0464,1869813.6563928092,,,,,
188173.76928844707,66321688677.5405,257529.97626983252,674274.6717506576,2340060315557.788,1529725.5687075993,496983.90574999264,592332910249.3945,769631.6718076216,848261.752546872,2798803610587.0864,1672962.5251592118,,,,,
189332.43085360352,65684589824.3405,256290.05018599628,754838.8246630024,2020127558577.962,1421311.9145979048,358376.54253160075,329153893222.01587,573719.3505730968,855181.5211836072,2308536647172.0073,1519386.931354883,,,,,
237396.6835751951,112180155679.32242,334933.0614903856,833760.2570476856,2069938553305.993,1438728.102633014,354645.03320758464,406476419607.9929,637555.0326112978,1038736.7432318564,2603445598720.113,1613519.6307204051,,,,,
196823.87442555677,86477808542.80553,294071.094368021,738869.4660974443,2656499197678.141,1629877.049865462,317323.5718175588,322789777390.2657,568145.9120598033,818606.4314280824,2623435443353.348,1619702.2699722773,,,,,
273187.9906471583,144931229381.84048,380698.34433819185,709830.3252761173,1467095299759.5789,1211237.0947752462,415377.92067157663,310088147917.8728,556855.5898236749,1079588.7444850707,2243909493959.6274,1497968.4555956535,,,,,
229040.62702278775,96645811850.644,310879.0952293898,554902.4325408093,1114306806929.0952,1055607.316632987,283056.9855304844,160883547374.4602,401102.91369480256,826859.3236075199,1668752731382.8674,1291802.125475441,,,,,
238746.01763716017,107826120916.96364,328368.8793368879,765914.2181182057,2326122834938.9224,1525163.215835906,358621.8611324482,250610638298.49243,500610.2658740554,956626.5263214876,2708380444792.549,1645715.7849375296,,,,,
225148.06958490325,104181137421.11546,322771.0294018276,785184.281271804,2931105202632.7705,1712047.079560831,420396.25582729385,371614488674.51227,609601.9099990684,941413.0267719739,3403137505901.102,1844759.4710154226,,,,,
300222.11961585213,231411515010.73117,481052.50754021766,808987.5778004639,3387452539438.8325,1840503.3386111618,636822.3241920446,1505166393590.4753,1226852.2297287784,968647.5411767588,3496313416286.018,1869843.1528569497,,,,,
238350.08851879244,102962202969.93414,320877.23971938883,643225.1358482412,2003273141428.3962,1415370.3195377514,257870.08624054052,125448682256.58063,354187.35473839357,841085.6189442379,2361259140377.7603,1536638.9102120772,,,,,
323912.3922635962,254056746584.20605,504040.4215776807,533608.9377005916,765464090940.5475,874908.0471344102,310322.54093823733,174488264071.91617,417717.9240491317,757053.0037602608,1154999216394.4292,1074708.8984438665,,,,,
246446.05625911398,122197239402.4706,349567.21728799253,795245.9381447795,2245824696882.4346,1498607.586021916,633925.6772557539,880311918274.7739,938249.3902341605,930686.8405509294,2478845397430.992,1574434.9454426474,,,,,
204676.2065222432,70910618902.2641,266290.4784295978,691164.0913970955,1529868309932.2634,1236878.4539849756,317456.2527654117,208370896125.97534,456476.6107107519,1052734.9388282646,2464929895970.696,1570009.5209809067,,,,,
188656.09363651028,63120936774.86805,251238.8042776594,621274.1909533056,1268634544007.0908,1126336.7808995189,336181.7872947998,404319599577.3655,635861.3052996427,794216.9807812999,1608047384806.6106,1268088.0824322144,,,,,
311350.2877141466,277759398186.9173,527028.8399954194,583116.4295022192,1077380621533.0958,1037969.4704243934,287640.1707009064,177712854201.1969,421560.0244344771,785136.4476264219,1297828346714.4827,1139222.694083331,,,,,
334149.2836209188,245136041776.7614,495112.15070604096,738103.7603540139,1810414509154.5837,1345516.447002631,506068.78327771334,632403085087.2094,795237.7538115311,981797.3171976848,2357020778686.8726,1535259.189416195,,,,,
288427.3963546272,158526662081.31824,398154.06827171595,674443.0678548702,2151154285019.8223,1466681.3849707858,434234.64833893836,452884405687.09814,672966.8681941914,968930.8000804555,2804314239451.412,1674608.6824841832,,,,,
332118.4200289749,240377454024.61957,490283.034608194,608994.9482628704,1895648540715.2297,1376825.530238029,274799.1239726172,165311861481.06372,406585.61396225484,853539.9402880243,2274390833086.5054,1508108.3625146123,,,,,
267974.0567309764,255390361131.4083,505361.6142243179,663004.0264147948,1418663886135.0288,1191076.7759196,365301.3402550518,259755801684.75296,509662.4389581333,897704.6288452969,1808227701601.1487,1344703.5738783283,,,,,
163912.4184614954,47268810657.9063,217413.9155111887,839298.9400800074,2256442016532.3745,1502145.804019162,457874.26173548977,531804336341.92865,729249.1593014891,917518.9116012969,2266630061193.663,1505533.1484871607,,,,,
265319.1467805043,126106694807.94061,355115.0444686068,553710.3211646287,656428100011.9508,810202.5055576852,280468.56797024625,131561439255.47006,362713.9909839019,789499.9377908163,1149969492081.4414,1072366.3049916485,,,,,
247711.79537348397,118163150050.81029,343748.67279861646,609213.6452234061,1277149114500.6714,1130110.2222795223,304883.06078312884,350104322344.80524,591696.1402145574,676640.0965817061,1342268988760.6804,1158563.329628847,,,,,
270683.3853245711,144223651416.32156,379767.8915025882,753798.5447985157,2311355762944.1816,1520314.3631973558,401313.63258477586,395197823769.025,628647.6149394229,1161101.8332340731,3151345395991.8574,1775202.9168497492,,,,,
255052.33563837633,132719920502.36263,364307.4532621624,813238.8907230735,2639392522682.5825,1624620.731950255,493749.08066014247,508823325900.5925,713318.5304620878,971600.3874316872,2906955018128.7764,1704979.477333606,,,,,
205130.19040447337,93139771052.42212,305188.0912690109,824860.4837489494,3274667699199.6675,1809604.2935403495,650683.8297433002,939788764544.2521,969427.028994061,956841.7819045068,3884705578208.1836,1970965.6461258233,,,,,
229420.7108373175,98255681809.52011,313457.6236264164,691719.7579648074,1978771445726.845,1406688.1124566472,319426.2155112837,289317669331.93005,537882.5795021902,769067.0264292379,1955160805946.2256,1398270.6483174942,,,,,
276675.18842285,154140458215.9092,392607.2569577761,741230.3543538764,1650695416672.9512,1284793.9199237172,327595.92772264587,229017183978.30362,478557.39883351885,1019862.8089582743,2374398970461.3027,1540908.4886719596,,,,,
218783.20868933797,93012594894.47241,304979.6630834135,618173.9564367651,1086664120902.3899,1042431.8303382671,293962.4733634964,198976991529.588,446068.3709136841,721989.9678539078,1320177531718.5024,1148989.7874735452,,,,,
212808.9176344064,93094119884.58134,305113.29024574027,659381.8305773082,1393124401027.3699,1180306.9096753479,408048.09604847716,408745065576.67096,639331.7335911545,945530.539077458,1777279025676.614,1333146.288175688,,,,,
225924.8598990322,104555596669.6024,323350.57858244574,571684.1728428927,1655768531355.877,1286766.696552206,323357.6914261801,226763688228.22345,476197.11068865535,853662.1637935919,2117110289797.7607,1455029.3089136593,,,,,
179559.6923836611,57834623854.96946,240488.30294833356,688485.300910506,2665329232456.72,1632583.6065747812,607612.3110455303,837617768378.0632,915214.602362781,789707.5472615826,2830018464311.7837,1682265.8720641586,,,,,
331101.6017822946,260436866895.7201,510330.1547975782,708315.8017298493,1682553131599.204,1297132.6576719915,234422.3756544452,133153545724.46158,364902.10430259455,1042053.9609559443,2617738917620.178,1617942.8041869027,,,,,
340498.97162391077,221845532304.24185,471004.81133873976,819770.860135566,2429804549646.5283,1558783.0348212442,445610.3512829862,472447609425.676,687348.2446516292,928584.1150259805,2624389229093.7417,1619996.6756428056,,,,,
186380.36339162214,65193020296.70655,255329.23901642475,472221.07807907544,586201232287.0264,765637.794447888,320270.0651079505,183159792707.97345,427971.71951891104,598233.9915588463,769963028448.4576,877475.3719896973,,,,,
246548.7170574251,124241170774.05075,352478.6103780636,1090397.8462173548,5262125733892.966,2293932.3734349636,557006.2090942874,604089141317.0239,777231.7166180392,1349054.587610974,6107075307923.224,2471249.7461655354,,,,,
309592.4281125029,232435862666.17032,482116.026145336,903903.0041574928,3652268164451.6343,1911090.831031229,643646.595658518,984905606044.5632,992424.1059368536,1164226.8655156582,4419822535771.461,2102337.3981764824,,,,,
225329.36006594304,108023898673.50752,328669.89316563134,622326.8781798489,1136892056255.0237,1066251.4038701302,251680.74829266078,126907375042.4532,356240.6139710255,738326.816446433,1273231784183.153,1128375.728285199,,,,,
276785.5079147292,195440314124.20978,442086.31976595905,748174.9165294858,2630810722051.507,1621977.4110792994,302346.906002655,166843542844.63214,408464.8612116251,964011.7109303359,2835457586702.835,1683881.7021105832,,,,,
272573.1555096838,158276779155.047,397840.1427144413,528601.0200170162,816506246813.7278,903607.3521246536,328008.01031207055,248186186906.71808,498182.8849997941,719824.2241806107,1212803145370.4602,1101273.4198964671,,,,,
336618.2172959856,314491315442.9763,560795.2526929738,996362.8401631984,4715807980331.437,2171591.1172067905,602072.6866205309,838883001646.1528,915905.5637161251,1202900.335797029,4971494986264.79,2229684.952244328,,,,,
300612.0063731956,187301255630.00235,432783.15081574325,588010.1757390532,1065525013113.6053,1032242.7103707758,246718.18007279243,109536239820.80438,330962.5958032182,872159.8482678591,1685760544801.0403,1298368.4164369681,,,,,
241533.7916708347,205796804423.00912,453648.3268160582,692441.0963004704,1632236783136.5566,1277590.2250473571,303829.772849523,185903307996.34387,431165.05887692695,816683.9808000323,1798198762636.1594,1340969.3369485224,,,,,
202186.63814203013,81260925589.19067,285063.02038179326,653054.1871225146,1909265251527.1978,1381761.6478710058,298255.3307978352,226269307989.22305,475677.7354356866,748014.8604519222,2039630389061.2898,1428156.290138194,,,,,
