source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
260943.1228898201,119489307358.81212,345672.25425077457,859289.7355414121,1655527024709.549,1286672.8506926494,298298.22138726705,184707140164.21082,429775.68586904823,738449.0018436104,1542749118752.5166,1242074.5222218016,79849255.68857072,0.2996252797166271,0.9992574171144673,1.0,0.23655307633269174
248685.17733425307,115682847907.90128,340121.81333737075,847417.178502948,1530140650095.5383,1236988.5408101154,281097.7254166899,152005629329.88968,389878.9931887709,716550.1036007126,1195895906833.7825,1093570.2569262674,81441817.38767272,0.3302324429238358,1.0117648393674021,1.0,0.3031888012750883
281856.96690565336,253279679585.2731,503268.993268285,812675.2696904978,2339710522585.1943,1529611.2324983738,238039.9205535747,102213300802.22612,319708.14941478445,739714.8781954746,2022729073210.502,1422226.800904308,79487514.88504744,0.31759764111263133,0.9469436182090181,1.0,0.387893214172146
239807.3450904228,108508619906.55696,329406.4660970652,961344.2839323598,1970414035292.085,1403714.3709786849,328534.2734794321,256876873727.27063,506830.221797468,750795.4950097847,1834037338915.6375,1354266.3471103597,95332709.32596987,0.35222102743744965,0.9707652231478023,1.0,0.3425231791429824
261545.47217392095,145188989889.316,381036.7303677114,983700.5882210444,2371783788433.5835,1540059.67041332,452014.77068691177,495019107475.51685,703575.9429340352,817294.55564155,1979913483617.7466,1407093.9853534114,96266246.40472305,0.33073525927326153,0.9723938924153692,1.0,0.25111348094466535
259276.8480964811,141698978725.83948,376429.2479681135,873156.4237469587,2111279753776.8457,1453024.3472759998,317335.0064545144,209129894733.56384,457307.221387946,760111.4665902923,1631953331681.818,1277479.2881615805,89525110.7889404,0.34030705042551523,0.9992714656710576,1.0,0.27596327173621565
240233.6661307035,120427526195.06644,347026.6937788309,991423.5631345991,3154864668995.219,1776193.8714552585,499299.5929308252,1060965351633.4703,1030031.7236053802,754402.475275473,2883226847823.239,1698006.727849816,95025805.09284359,0.33789412256742096,0.9982574138382161,1.0,0.31924658690430624
217854.81573094538,93049712155.02074,305040.5090394073,1067583.935836449,3857499818811.1094,1964051.8880139368,426348.9215010583,386160539436.00214,621418.1679320312,964532.985355185,3908341386785.0,1976952.5504637181,110823056.33222736,0.35840433148883216,0.9577014112961768,1.0,0.31574468088031277
209678.70295661857,84922156329.84769,291414.06337005715,870729.4073397872,2560816213284.352,1600255.046323664,412182.5828238508,917538885858.624,957882.5010713078,762585.0980980204,2294280272872.3154,1514688.1767784138,83688142.51795723,0.33858255121550807,0.9948437169948424,1.0,0.29904208374576846
342934.7692192085,284211055561.03735,533114.486354514,894930.2772570818,1889744756242.0178,1374679.8740950627,444250.8605522692,411764043723.1731,641688.4319692643,725802.8967244078,1713750549787.2202,1309102.9561448635,85000200.97030903,0.3321741545712116,0.9715499923597364,1.0,0.2703823408065798
