target_rmse,target_mae
1306408.1082601913,867959.964906199
1677240.5371695128,1049823.534288327
1481291.6762149143,950327.5052245667
1300904.1391817788,795364.7928210826
1620206.9207603794,1010759.9651627624
2101563.132245304,1148086.293683159
1409547.6258523404,918039.5548570486
1912273.4785248933,998233.2309535354
1414227.7423521117,954078.4968482988
1598753.889825895,1034547.5504717934
1437146.2851647912,951492.0312661362
2145220.4928852147,1278312.1109395328
959517.4229157874,677908.0969616694
2026638.3593869763,1192587.6868274692
1377911.4312885732,813897.7182708662
1602097.7876875445,925804.7150713608
1644128.5771433213,970170.1399730465
2141144.8965840624,1237362.6940273957
1774776.640136008,943845.7349184854
1998186.366652732,1155749.4552926274
1581239.5579399092,971098.2740261217
2151946.637982911,1118975.4450134793
1311709.2449601109,837167.4086564662
1361912.3937503856,920773.2574402584
1486792.2613268748,867241.8418484665
1400861.823277565,988542.6890121145
1814821.240022588,899357.3290744247
1709279.574746367,1048464.5767703744
1537401.3538506492,954718.8596074999
1789405.5354364645,976489.1216922484
1277148.4986586575,854524.1245931573
1296191.4298032345,799580.8841263977
1458977.0788506859,914936.4514241627
1447881.6641390878,999374.9129186567
1632923.0894493042,930172.1621815498
1672183.7534003858,1000766.9440849858
1389066.335908207,917587.8178933561
1733256.0249126246,1053517.8779426343
1466318.5681892706,919419.6887258784
1707710.4902524718,1038427.917559604
1593146.4308185067,970043.9670672945
1325959.4863635586,863212.2354081589
1840390.2965859666,1061156.925588662
1870992.52744416,977350.7355729111
2481161.660192898,1225403.9830958515
1503535.1526881624,979498.8970419796
1263934.0732498239,924814.2697425955
1439153.1309441954,1007200.6984864476
2019332.4448033876,1236879.5964408927
2180908.3619522313,1272155.3073718331
1570743.7391736181,1001403.0656464546
2552437.8218268915,1340561.8944727632
1177333.075937081,808357.6478071492
2471984.4043352394,1292924.4115013096
1589098.301111903,960078.6107536689
1917229.0949836844,993384.617515852
1240927.157884681,819789.4839285238
1589995.814210255,1100465.5138873227
1574899.0806098238,1044017.9311092636
1005398.5050541623,723444.0493249485
1719204.9502203264,985471.1555573373
1961083.4321558103,1034221.2885709965
1632283.243048141,952735.1036750957
1926558.8431552667,1095153.729988954
2274402.5571964295,1100307.0618198616
1448284.3389998444,937868.4564728546
1670822.904580733,1044987.4790988434
1358333.8017564805,904144.756061915
1895954.6772498172,1043271.5932833679
1118902.9052133665,787498.1246086559
1812394.7824114882,1070645.4359976882
1531824.0617120583,905497.6685783716
1846989.848395094,996130.8469810456
1946341.2870943223,1094188.309142088
2210836.4260007893,1376012.2970982858
1677276.857216622,1059532.1099293346
2455006.614956429,1242181.0569322272
2109726.1191836186,1208857.7796773326
1684439.459591526,869736.0423559503
1716171.369574979,940275.574052744
1495754.5918757895,938747.5355857231
1136833.1837036924,750546.1308872842
2278061.742224632,1331158.8622177907
2190129.8369446583,1201632.661768976
1713901.9362038474,919802.319314893
1282805.717207656,766768.7106358003
1533531.280052243,978365.9542924982
1967324.5615558145,1092052.9184799683
2015126.1557781054,1198250.474934687
1241585.441278867,784921.8997804034
1821551.0290490452,1092179.931512035
1582290.953082395,958552.8357488873
1957053.4258504768,1280365.6728539413
2400128.009889552,1065981.7261111657
1583691.487311171,874650.6463510029
1988561.72397898,1040300.562219598
1355714.5354563573,872572.8241353184
1328485.1225032895,908006.5311222647
1509007.2391715187,954461.8798192244
1464875.7330170174,884843.4919361175
