source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
286013.1298514212,168499947699.001,410487.4513295151,1076115.8763704323,2174774359255.5957,1474711.6190142382,253896.41709203084,124335783163.98035,352612.79495216894,1114760.8939123172,2067283010511.2095,1437804.9278365995,,,,,
259615.33013492037,145050006291.25015,380854.311110233,975941.5294602364,1568243973420.0874,1252295.4816735894,288261.67921407154,133100136107.27245,364828.91347489506,980442.4789353529,1610258138286.833,1268959.470702998,,,,,
231253.0725760792,103149738897.24796,321169.3305676119,1007610.3642128329,1808444834704.3423,1344784.3078740702,290223.91979645117,149032600199.48615,386047.4066736962,1006563.6480161783,1808827652783.4832,1344926.6347215683,,,,,
308828.77754751616,179331469275.36398,423475.46478558116,1343150.5835923331,3622955538643.54,1903406.2988872186,478952.7409909054,454623639529.36554,674257.8435060029,1181169.7085622188,3109245444791.7793,1763305.2613747227,,,,,
307961.1772533839,177368074168.3791,421150.89239888726,1026055.3442555964,2372401320546.298,1540260.147035655,365536.2822811795,265737436490.7128,515497.27107979223,1168642.2991086293,2386015957111.377,1544673.4143861532,,,,,
309685.0512035349,187252940671.92538,432727.3283164878,1064988.0985038108,2064831902879.1477,1436952.2966609392,254200.67624535767,111577939772.18011,334032.84235562844,1036666.5607884589,1659311002596.7532,1288142.4620734903,,,,,
337946.9970360432,241193801505.00705,491114.8557160606,1015066.4005483579,2089141954906.3225,1445386.437914208,363355.8388324662,288783006567.5274,537385.3427174279,1053401.358661403,2068488635259.5469,1438224.1255310478,,,,,
284966.02322940977,173452442259.58002,416476.2205211481,1011562.6983239532,1817885723799.9084,1348289.9257206917,244402.08980666313,102931224886.79095,320828.96516179916,1032536.324753875,1610553975535.7039,1269076.0322122958,,,,,
219131.19078491323,89982015244.19841,299970.02390938735,596688.6651066537,763700436381.7485,873899.557375874,218173.30597304122,92125943853.35025,303522.55905179476,598007.1670690279,690247172253.6377,830811.1531832236,,,,,
353193.4249842584,202546289474.9152,450051.4298109886,1197529.757589441,2381866136080.9814,1543329.5617206914,244902.10415994612,109823056768.3953,331395.61971817806,1297452.168013887,2773500728354.668,1665383.0575440198,,,,,
