source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
292019.43219634093,166409807033.90067,407933.581645224,1122285.8997514632,2158389269666.8438,1469145.7618857443,244641.18764944747,115383161231.52917,339680.9697812481,693344.8201257229,1150131303728.4194,1072441.7484080053,106758350.19658859,0.3656092280339377,1.0880450408073559,1.0,0.31164448036455816
244303.50175502364,128796272035.03754,358881.9750768176,1000147.5025118106,1600709691610.825,1265191.563207258,275302.48218187975,124733575577.9925,353176.4085807438,618132.5073453553,966233393000.6211,982971.7152597124,94421659.43946777,0.35160962393018713,1.0634145120464975,1.0,0.3158390906917718
225473.44524503825,100133306760.36742,316438.47231391986,996767.8217730169,1756490241139.2932,1325326.4658714444,294142.732512843,153344682717.91196,391592.49573748466,748823.6865429435,1221194203667.7898,1105076.5600933675,90287141.49016379,0.3686021507309996,1.0664695338694803,1.0,0.35389642493510526
300170.6696781562,176289942019.74817,419868.95815212175,1380952.6358186654,3816051401710.9014,1953471.6280793282,472643.15932579385,443905440634.5298,666262.2911695737,1077957.743946507,3001385439128.256,1732450.7032317703,128175656.89033289,0.3405402998004189,1.067508967789255,1.0,0.3211883125935744
307834.70068547723,177826776748.61224,421695.1229841439,1032684.120527573,2406942147919.584,1551432.2891829936,357920.7848139786,254239798872.03394,504221.97380918846,724492.6424567491,1604430038975.208,1266660.9802844673,103010442.681828,0.3530968886719926,1.0341755009348246,1.0,0.3192621815518527
311637.3205461616,185785507008.69427,431028.4294668906,1136889.075547468,2121562102771.4282,1456558.3073709847,251431.2003654367,114828179067.05762,338863.06831382145,663189.8484738728,971997006620.9235,985899.0854143864,110785469.40177897,0.3344928769446164,1.0842202221185175,1.0,0.25816340475717725
340290.5403371981,241727702559.69122,491658.1155230647,1029730.9913913377,2111364348480.8328,1453053.4568558834,363928.07006416155,297874076330.2631,545778.4132138821,793040.9113748153,1794152111428.8445,1339459.6341169989,102216695.50901428,0.3149137006721331,1.0467086973039645,1.0,0.2723409776233138
313320.09943476744,199706831752.7049,446885.70323149173,1010992.0408422422,1871833128029.1562,1368149.5269264819,254684.6577852677,116446624021.41492,341242.76405722497,601659.4203411675,672186829033.4126,819870.0073995953,98210071.98894092,0.3681413260767363,1.046064011113037,1.0,0.2601800950391935
216614.05638730028,86196457990.81989,293592.332990526,644009.2161897303,790483984971.3662,889091.6628623655,214321.7531240489,89162134543.44725,298600.2922695275,506249.8455365309,539970235907.0474,734826.6706557727,61511196.67138682,0.3665348423019254,1.0316674210696106,1.0,0.3441743869629136
314956.16787538596,173509878703.29395,416545.1700635766,1245236.301975679,2557996991653.5605,1599373.9374059965,231275.26116505908,101146306994.45389,318035.07195662224,710170.3152087253,1036566920133.538,1018119.3054517423,121486631.84807712,0.3629360767590585,1.0556590852365977,1.0,0.31001415991226117
