source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
500428.0902467818,524721452199.4692,724376.5955630187,1436929.168700424,3402297420992.635,1844531.761990732,248246.86134718082,122054479205.07666,349362.96198234387,758617.9610156555,794558080723.5247,891379.8745335934,,1.3962593706621724,,,
457810.5493101491,534710554164.6936,731239.054047781,1793096.9709394695,6357629932053.646,2521434.102262767,218526.47430159076,92036207387.17865,303374.6980009682,649054.1926773556,1224691488715.422,1106657.8010909343,,1.465492886957521,,,
597266.7038121133,829097946338.676,910548.1570673108,2043191.7774024678,6960306973645.892,2638239.3700431907,284146.3580209523,151446111861.70575,389160.77893552656,900285.351869386,2139738592033.327,1462784.5337004787,,1.3905850920760923,,,
462087.4564131204,535615106188.14075,731857.2990605072,946034.7714190142,1564237414558.066,1250694.7727395624,329742.9679656632,238238838807.27737,488097.16123665107,653321.6988162083,842857530467.7612,918072.7261321737,,1.3901992971438335,,,
381088.32401394733,307314820116.1715,554359.8290967443,959492.4748523831,1849638045322.4385,1360013.9871789697,330613.9813065128,197226117568.3704,444101.47215289704,615720.9288156644,737508967270.2144,858783.4227965828,,1.4462071906924332,,,
343826.4275032779,306527022709.8287,553648.8261613391,1059641.2414965173,1917047071384.956,1384574.6897097882,251637.12837576758,102982554408.06837,320908.950339607,497308.51653149247,346874412920.75415,588960.4510667538,,1.4861063798262952,,,
408757.9924526132,444806355920.4696,666938.0450390198,1689102.7193223548,5364228789215.734,2316080.479865873,207352.0164675948,67651689251.002594,260099.38341142333,662575.0362794701,652947237901.0287,808051.5069604343,,1.4176665292888697,,,
785105.6925801854,1707073460622.0237,1306550.2135861537,1335001.001830963,3042079073990.997,1744155.69086908,307679.01099754544,153063018052.63828,391232.6904191907,628363.2463551246,558343556117.0747,747223.8995890553,,1.4114799622353376,,,
623103.3340164811,1233823909672.836,1110776.2644533038,1387772.378869373,3792791538617.6743,1947509.05995779,505624.06054513337,577484559687.0553,759924.0486305557,752869.9998839326,1481259171837.7524,1217069.9124691861,,1.4123400831071375,,,
497717.19744062104,572340823780.3666,756532.1036019335,1147525.171765614,2155545858590.5347,1468177.7339922215,267152.2330637689,146528447685.256,382790.34429470135,614744.9975090378,518430732317.122,720021.3415705968,,1.442108100069503,,,
479943.10884676035,401025328779.9273,633265.6068190718,1308546.8277392902,3047599117335.2007,1745737.4136264597,280080.2139267832,137026672204.47571,370171.13907553046,690192.4767768779,661289841027.9365,813197.2952659992,,1.420604558682133,,,
394434.94660508446,317216795267.0979,563220.0238513346,1677554.5208133033,4710170480976.635,2170292.7178094285,302235.1491311045,155870251359.65375,394804.0670505482,579809.5291170971,610014699571.7397,781034.3779704833,,1.4385318360496535,,,
402751.00846412714,364657815800.875,603869.0386175425,1002679.9882805957,2549792534005.1357,1596806.9808230223,304645.26858435816,179427313489.38654,423588.61350299127,643196.6022198931,1233794636124.8044,1110763.087307462,,1.4726643224231022,,,
333710.4102808418,221349184527.71844,470477.61320568534,1117688.549812735,2493117308926.1836,1578960.8319797497,261323.68084341503,105617588770.88652,324988.59790904436,505140.17360294267,395690214280.1863,629039.1198329292,,1.418461046461476,,,
489813.8049121719,554499180936.4136,744647.017677781,1159870.3683804784,2589631180718.6367,1609233.1032882205,241422.7944433397,156405530020.16843,395481.39023242093,562686.505210191,474994603726.214,689198.5227249213,,1.3691990858078578,,,
555307.3210597559,613342394279.2743,783161.7931687387,1244447.4256549617,2996850319850.956,1731141.3344527811,306163.3629997992,156078375949.76147,395067.5587159258,647398.4088831419,812959782347.5806,901642.8241535451,,1.434937478396577,,,
386222.00945654063,529097563254.3379,727390.9287682504,1250968.4502913663,2975167319044.317,1724867.3337518792,361255.35963628226,277723130974.1207,526994.4316348331,571549.9019078971,779911703052.1356,883126.0969148945,,1.4005205701074532,,,
313875.7278911336,175272461801.93832,418655.5407515089,849519.852179063,1143643990044.4724,1069412.9184017146,265978.74867863057,128882630959.09946,359002.2715235928,517377.7134252726,410643730446.69147,640814.8956186111,,1.3642928902660678,,,
427594.95166576834,389631477136.05975,624204.6756762238,965106.0887349328,1606736372234.8748,1267571.052144563,312571.40256788477,176204586220.41183,419767.30008471577,568242.5208555887,523661863181.5305,723644.8460270622,,1.3872164599433294,,,
462894.48686602915,445809774196.4197,667689.8787584095,1033661.7570249113,1719352668940.465,1311240.8889828234,235872.1161983329,115875807563.88896,340405.3577191302,566269.9156352736,556682934310.687,746111.8778780345,,1.4047737606206456,,,
354102.2839326557,241420039332.29507,491345.132602629,869189.6784580568,1501733768843.6094,1225452.4751468778,240032.05229402005,104051716698.81349,322570.4833037479,489364.4582971282,458355573223.23486,677019.6254343259,,1.4291184624782858,,,
493636.44597140345,540527152033.3993,735205.5168681743,1077299.7134939388,1912237181769.5398,1382836.6431974312,289956.7352923616,173749335156.85718,416832.50251972576,578609.0147838301,545261040717.5743,738417.9309290737,,1.4029770155582428,,,
