source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
503963.2204857403,550346202728.8529,741853.2218227895,1422549.2218062058,3257612762888.8325,1804885.8032819785,240494.8115680171,120369946316.1314,346943.7221166156,940733.5849196853,2486901825961.3936,1576991.3842381618,137969053.2805252,0.38000405829402195,1.1041726778065644,1.0,0.29878493282101254
454165.9445445369,539695772687.4999,734639.8932044869,1738065.185670693,6431909022120.202,2536120.8611026807,219415.6677458945,93750462736.43407,306186.9734923974,940955.2470858622,4622137270588.287,2149915.6426679366,171829146.33339885,0.34812934589774475,1.074030528063298,1.0,0.29618014332842535
616679.9077798998,810695221733.618,900386.1514559285,1996988.132872436,6203251329313.671,2490632.716663312,280221.74615877564,140285647524.04617,374547.25673010363,1091567.6984081662,3668801686178.659,1915411.6231710247,195380639.70453614,0.36833158903262136,1.0771572287252997,1.0,0.22727310319299016
453462.4564707211,536803941879.22473,732669.0534472059,924529.5502102885,1525588206937.672,1235147.0385900103,341015.9896365426,251287470084.43127,501285.81675969175,716827.2226870804,1074909426185.5741,1036778.3881744324,83998351.45164976,0.3836012833193955,1.1025527691694057,1.0,0.30301380462172434
373991.1699747305,297603988267.9194,545530.9232920893,944272.414331068,1820350192638.608,1349203.540107499,324780.4025818038,195205337287.24606,441820.4808372356,750275.8572458903,1545298967008.1934,1243100.545816063,90434132.12222882,0.35428645294658373,1.0545709719572167,1.0,0.2783961345045026
355567.5787929796,295674320335.6158,543759.4324107084,1028498.7687544737,1850366387008.9922,1360281.7307488152,253983.20216650947,102204844384.80927,319694.92392718606,693117.7529153269,1088446046455.361,1043286.1766818158,99939999.79799697,0.3850869322084963,1.0652979236851072,1.0,0.28649243718408457
416247.3293590921,452408792055.7185,672613.4046060325,1699042.6049793153,5435317082899.809,2331376.6497286125,205772.52271802654,66948455043.39918,258743.99518326833,757882.0592343489,1365915515772.632,1168723.8834612016,165173050.97225094,0.38427000988658105,1.0809305039644088,1.0,0.32861406402155613
779292.7664431684,1647357923766.9536,1283494.419063423,1377308.3785536117,3272840139748.1777,1809099.2619942604,292444.68390373694,142041010633.44446,376883.28516059776,1102050.1050685423,1976221493855.5918,1405781.4530913373,138628014.34356067,0.36886309962946756,1.0973687725379113,1.0,0.2097842817190193
626148.2396739897,1281353823640.864,1131969.0029505508,1338473.8307455063,3610522478453.748,1900137.489355375,519792.1778799171,611544405393.6829,782013.0468180713,962722.8154171038,2276106627498.248,1508677.1117433473,128114351.29202405,0.3585616514126991,1.0670125314682695,1.0,0.2792265147966188
509346.16379011236,589095330605.7394,767525.4592557431,1111445.024150681,2149111984045.9863,1465984.9876605102,273689.2525694787,147774242587.5162,384414.1550301136,819793.4892839259,1371776137661.0852,1171228.4737236733,104121468.43545336,0.338980933028409,1.0671594837188736,1.0,0.3246445385325979
483615.87365024746,422587040021.61365,650066.950414812,1251097.8761795086,3182374146588.9624,1783921.003460905,278592.3674662478,133687147399.60371,365632.53055438556,888048.6031634788,2215044752392.025,1488302.6413979197,118605949.426522,0.34930474662287536,1.0685539951705896,1.0,0.47459293782640555
382209.0877719864,280852657788.1419,529955.3356539982,1580296.44824918,4782705676213.145,2186939.7971167713,309595.1450744471,177303890348.47363,421074.68500074145,1005951.6812205616,4589675609030.052,2142352.820856091,157301433.5614274,0.3645348612956415,1.0582273751877032,1.0,0.31181424805172003
389482.96463360277,352952980170.6608,594098.459996877,1030020.0479894705,2610332579842.662,1615652.369738819,310845.088022467,180693089062.14133,425080.0972312646,839209.3930213309,1912160973153.2546,1382809.0877461194,95651051.07824574,0.37213040555811155,1.0637058125179262,1.0,0.3352814013735032
321224.7267798184,211423215385.2054,459807.80265802954,1143559.6230640223,2586611886390.5225,1608294.7137855433,262984.69557009137,107924373958.93706,328518.4529960791,806794.0990472086,1883885219551.892,1372546.9826391707,109919925.24844885,0.3522160387635629,1.0510354179738686,1.0,0.44181090324798805
