target_rmse,target_mae
1303610.5515683922,873829.1627481234
1393346.0691114904,949472.9387072813
1266713.6880790046,854331.5736675502
1118666.3644620571,822031.0691161224
1248291.681424115,884192.8528899349
1207110.186055827,870586.2654017532
1114072.5723810752,882027.7606083973
1127000.1291315698,862837.1834743542
1566052.8235341157,953622.5487340023
1246294.5741749576,906984.5049542454
889621.5110583721,675280.7253005373
832739.8761083031,666124.7507215976
1169610.1900534916,837966.0353647768
1279494.146088458,934221.6985989946
976999.7537480476,734329.048770634
993600.8881436524,786551.9583853654
1178552.799675112,888005.9661072347
1056188.153791474,834885.6167983738
1042507.6573288403,778260.7301114616
1146357.3918349603,906193.2208336651
976231.5669594111,749978.4387637996
1128836.5807291155,849176.4949297406
1407000.1848553668,850307.5143227859
1132512.6580192677,872299.0978732611
1293289.4614182473,920869.799393779
1067796.2316457327,815206.8959982276
1229071.7567455622,852903.5664478543
1129643.6806084123,822914.2834936568
1153173.3006597843,908210.4386884903
1180922.2383653643,823006.1456190972
996937.8608894788,751267.2102393395
1120359.4139178302,865413.4475285572
1283780.3814510829,943830.7331481882
1473768.8225139151,955395.009991918
1061115.0435644817,843986.3475861507
1156477.0804310706,882194.8626280767
1306431.7527109312,866008.0797929049
835895.4882039843,628420.3229334773
939213.6418564635,733813.2962869506
1343694.9883882718,958126.8294552641
1259490.6763678559,959669.4102897715
1210847.1647161224,870683.3591823847
1801195.062164539,961439.977570059
1110134.9579615877,841578.0461468649
969800.8429851378,740898.4897410996
1145237.5209361375,904430.4319233365
1063196.822059423,852785.3406657594
1330501.8150488008,911159.3160696501
1113727.9634568715,815799.0470053204
1235633.7265928495,815548.8805725693
1087486.0404696616,817520.3478865467
1203150.4214945305,840609.6454898821
1103153.1375147512,846503.4218478965
1136911.8844953103,792839.4971849141
1306602.62692571,813304.2737861424
1210523.5491453048,932823.4758754221
1277103.2829874663,885622.2459187685
984714.5748774131,796018.3083667299
1055631.8451430623,826708.1496969686
1197776.143194091,865891.0848705799
981270.5926319087,755206.7637795731
1288827.6675008251,879328.8687863353
1480841.819458704,921168.660595726
1340295.6238736091,997357.6878049244
2772866.8039955134,1110438.6253378666
1049937.8260650286,828728.4512702076
1057265.5048639735,815162.3945724139
971389.0632524514,757349.4816284177
1086661.0027659815,846233.3747221074
1090362.902837251,804423.1181465859
1146295.7159001133,818920.3097390926
1075434.5983603746,838157.8992973452
1252353.648157037,939961.8795267595
943662.3678385807,707349.0615867927
1073650.7820104375,775807.8343201118
1002681.9728178662,770701.8425442922
1383403.0354575987,944083.6964484331
1870137.2123200658,1098912.1249709937
889715.3150743325,729817.329173529
1256422.2946134012,895941.4752740063
1114468.8489037082,821157.6211072473
1278393.2755615122,868694.4005622753
1323540.8253473279,884261.2729544615
1106402.2818988508,851880.685572424
1214512.6723332915,881158.1907155773
931281.0497093493,726915.0613384937
1101013.2571075028,875613.7191064508
1132536.1442799533,913956.4878373924
1637173.4533709006,1029163.7935454389
1000716.6801244743,735348.4735306842
1033350.4422317772,771623.4247689534
970219.602463638,764722.8514413167
1456535.575563239,951552.6100285227
1133705.9996022612,784901.939456236
1833598.4050700755,878495.858496512
1046388.708194507,790833.0391845069
1191378.3338748473,919040.9739981159
1332038.2968448712,898162.7943256149
1022572.7034595672,759085.9131101341
1307369.7386683663,887905.6880769661
