target_rmse,target_mae
1300919.8435531387,812693.709858551
1115477.739176504,810820.156644287
1299827.3977406607,875508.1719786072
1083797.995237501,859619.3777470398
1435809.154845542,895013.0475637817
1016486.7493164561,755530.5333421326
1051870.948014254,828781.0343241883
1124227.3327094547,851831.8447680664
1019677.101240643,818410.8147694244
1255417.5281015735,796023.6079526031
1442871.054527283,933457.9656917633
977443.4689002845,789058.1527836334
1197196.9781498206,897789.8694163513
1287168.0921030426,835952.5425763916
1253137.3999580452,852250.648815631
1159479.8569883402,862611.1685350037
920638.973302573,744437.4077459717
1213922.9344470277,894019.699235382
1073683.1110307106,829445.4563642883
1072791.7949031503,800932.9179266357
1429951.9944598943,992656.2173344422
1230256.433300808,922032.7084672546
972439.0229083033,758876.8828003753
1184334.1962818366,906890.6960643646
997331.7434788567,757015.1710145569
1006736.7585675151,773857.9492494202
1089277.0053904564,841478.5507466126
1335507.634631552,924372.4187712097
1847786.9016446522,963559.8715693664
1020157.0979795335,814949.1917622376
1197251.027868499,887517.5370819091
1185025.3084974042,812040.4272363281
1160534.6454870638,870941.8614001862
892420.6335228385,704756.0846562195
1177635.8307752854,814992.7200257874
1428666.8398125162,901526.2554374695
1049721.251039017,768999.7944673157
1444990.9559493274,943643.9634440612
1091997.764970498,870785.982124939
1152595.9973340172,843545.0660392761
1072866.3347139459,817981.170523529
1184671.1604706924,818228.5353553772
1274683.2963339244,925190.7087310791
981868.6901974999,762693.3633692932
1617182.3865318056,943127.3695329285
1077858.6212256735,847663.6508116149
1373464.8475620996,995449.163946991
1157626.7700181839,815183.8810728454
1127274.8655072644,811954.009785614
1499882.312795264,980916.0983714295
1198981.2871413836,849769.8119776916
1047748.1594871121,803921.4732483673
1095770.0747582829,814554.6654664612
1124715.8206916836,867918.3137516784
958408.1372453027,794861.8628831482
1397003.1397112284,1009836.2099945068
941182.5746658035,761003.9283809845
933754.9721175149,738710.3428988648
1210113.7131356178,909598.6263005066
1092816.8703322606,834172.4933218383
1166122.4154414923,887468.2977328491
1379574.659671097,1096927.078718872
1128121.8414585372,848810.8737306213
1014028.2527972376,787532.9336584472
1211744.8567055806,933692.6382743835
1498041.5496133207,882788.9478260804
1326082.7638620252,961840.7958309937
1367434.50162522,938195.7453616332
1788188.5200607963,1081919.56460495
997143.823533942,757260.6670767212
1157077.9558828652,844904.1288473908
1052425.082451104,849865.6766522217
1082588.5647311816,829154.7577166748
1277643.8683623911,1013316.4242314148
1189933.1964077034,787354.8049749755
1068028.6509050322,853149.6742868042
1226839.5652425962,767327.2070062256
840170.7836726239,660620.4087809754
1927092.2177796047,942876.9547998047
1177487.8909128932,871004.3634901429
1119451.2494245677,763421.8492642211
1018449.4694568896,767193.4908711243
1161174.4461108232,837773.9907369995
1505254.2568330497,934263.5326600648
1232086.9330755156,916306.8930511475
1408739.207378086,948495.5877856446
1499935.33439981,937346.7169111633
825062.3381272679,643791.7643489075
1809644.5271505942,1004964.1122232056
1279862.2027724169,888592.9761477661
911345.9462648407,722935.7145378112
1121824.0168810694,809922.2104241943
1263032.7043830706,932683.7792651367
1203183.3228421907,803420.6411582946
1285282.9688617974,905515.4297367859
1207417.8794940256,921466.0244163513
1022724.1977681944,803623.9149674987
1048254.6505786078,751716.2998405456
1214844.3869272256,848654.9421665955
1254327.9288490177,926659.0590943908
