source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
446824.8960020665,477370673844.2345,690920.1645951828,1114823.3119173504,1977149609899.8457,1406111.5211461165,251875.4114994264,125391411076.98271,354106.4968014322,1116666.548063312,2332768238540.949,1527340.2497613127,,,,,
332322.53874638764,284259453268.87146,533159.8758992198,784355.560867244,974727587284.024,987282.9317293114,291889.60823481873,173448463172.21277,416471.4434054426,916041.5798677199,1451366164938.5967,1204726.5934387755,,,,,
360612.72195671237,260964006976.2945,510846.3633777718,1404624.2329013804,3304717561260.4785,1817888.2147317196,335596.32341218716,282052311898.5914,531085.9741120936,1316205.576437172,2892433118650.319,1700715.472573328,,,,,
395131.25959614734,395728345653.9197,629069.4283256179,1235135.414823095,2751361236069.1094,1658722.7725177915,252067.08611110758,105036027110.20802,324092.62119062204,1094050.088312111,2529683146570.3525,1590497.766917751,,,,,
318540.39779794303,234888023127.56686,484652.47665473336,829476.445204786,1298316028850.0603,1139436.7155968165,246454.0863193823,106978140923.72949,327075.1303962585,881573.1277431777,1738264101116.6243,1318432.440861732,,,,,
447594.2438785425,416211549348.4711,645144.5956903546,1146305.2383450617,2356257199155.432,1535010.488288413,322780.1103280656,200551757951.85046,447830.0547661473,1193312.824271738,2879791921779.636,1696994.968106752,,,,,
422276.14346538647,336742724137.3272,580295.376629288,1479868.154061823,3897605588141.679,1974235.4439482843,505423.2127770942,726811122820.1481,852532.1828647574,1429680.4956448523,3718498528708.582,1928340.8746143878,,,,,
384894.89738267177,284689060814.7551,533562.6118973809,1248732.8307643575,2640115746462.753,1624843.2990484815,300232.2958527123,175545309052.69766,418981.2753008154,1161032.1358296466,2718140406481.3,1648678.3817595534,,,,,
318546.843064943,191910473002.90952,438075.8758513296,884638.8736507468,1555009260124.7285,1247000.1043002075,266498.99541797815,116324191641.07404,341063.3249721729,822754.4634432546,1223355314859.5244,1106053.9384946488,,,,,
389936.8271088491,353377167724.9586,594455.3538533896,1022926.0582475337,1837080336645.2346,1355389.367172856,419497.88182497845,418933242293.15436,647250.5251393423,1095659.6825174189,2460509445968.6167,1568601.1111715485,,,,,
