source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
427709.6500006297,394099292901.3684,627773.281449098,1219561.9176650068,2176911253185.1597,1475435.9536032595,240043.2199554566,116862419955.84131,341851.458905533,519287.3006115451,453916457301.85236,673733.2241338944,,1.4294095570466663,,,
329386.9753216469,285786283903.1741,534589.8277213793,789432.6150880571,1087812682969.8849,1042982.5899648973,292866.8041659964,175884923517.60742,419386.3654407561,504167.47260730213,389327698503.4431,623961.2956774187,,1.4656628966645755,,,
372051.5737116989,280118624279.50397,529262.3397517568,1435084.760467208,3370770368065.6943,1835965.7861914786,339272.33357097127,288168769553.68256,536813.5333183046,612256.9811686254,862689624884.0294,928810.8660454126,,1.4314501445703867,,,
412080.6311267324,403815701844.77216,635464.9493439997,1278261.8555515571,2746246542545.023,1657180.2987439306,259570.60251682907,109297685151.16098,330602.00415478577,537814.6871361342,480123324199.18005,692909.3188860863,,1.4749078200162642,,,
342810.68994777405,238889411492.62067,488763.14457272727,829585.9100130475,1303395874958.7085,1141663.643530225,247058.89991261426,110683332004.4744,332691.04587360687,511488.34840854595,577393463035.4509,759864.1082690055,,1.4793277890351841,,,
440188.0832963368,398585391198.22253,631336.1950642641,1120670.360777242,2602421065870.455,1613202.1156291778,297103.17856239824,165745468786.92517,407118.4947738498,591807.7147065104,734719609023.9011,857157.867037281,,1.3039169751288207,,,
475270.4131174194,461316944477.8057,679203.1687778007,1429640.0861174802,3655041638633.72,1911816.3192717338,507477.84256707126,697546965394.9313,835192.7713976763,746167.663878077,1393563790005.0142,1180493.0283593438,,1.4049463181563162,,,
422383.2004082857,323498369291.391,568769.170482535,1144372.6698534177,2398971078422.897,1548861.2198718442,300034.1393422512,179133261446.37958,423241.3749226079,676759.995778684,909580647414.2133,953719.3756101495,,1.3491559736960665,,,
292005.09445139376,179108628810.7982,423212.2739368486,913221.4050828784,1621664070123.4048,1273445.7468315659,269983.73268489906,125255679938.77744,353914.791918588,517903.330408092,511482928788.03265,715180.3470370482,,1.4017957669552954,,,
355939.7767313384,323370065322.07166,568656.3684001716,1069273.9652658142,1932465481463.929,1390131.4619358592,395279.5509325407,388384012558.0547,623204.6313676229,596204.2484277046,973467528167.9159,986644.5804685272,,1.3763952648188649,,,
428605.1519078241,565789139821.3904,752189.5637546366,1236294.607166158,2679817975503.0547,1637014.95885134,385613.2326782751,314307539674.36975,560631.3759275071,627646.9789762693,828026476416.918,909959.6015301547,,1.433919641417043,,,
233713.24386875497,106456595391.6696,326276.8692256158,952550.1764279052,1576710342009.0398,1255671.271475556,252120.37881639038,105506511351.57428,324817.6586203008,467034.41742090776,462441002718.4691,680030.1483893704,,1.4077514456014404,,,
374696.4004388819,299172435945.71106,546966.576625767,1259563.472746599,2793910299543.2715,1671499.41655487,256222.54855167065,128675854778.96838,358714.1686342601,504741.2864458542,513680922766.0809,716715.3708175101,,1.427368839583881,,,
228223.85511041738,110689973859.9782,332701.027741091,890091.5317314767,1270832259488.8044,1127311.9619203925,293382.12491127726,148333922839.43518,385141.43225500314,488657.7718982064,407537253065.1752,638386.444925936,,1.4899689387850588,,,
466108.6797484517,450622500353.57153,671284.2172683427,1349257.0509674638,3065441337378.3823,1750840.1804214977,321777.37789915,204808689205.31915,452557.9401638194,645055.4489337031,804382907959.6724,896873.9643671637,,1.4182051083133067,,,
224155.0674270494,108826713500.32912,329888.9411610052,1118070.5979897333,2217978164514.3374,1489287.8044603525,284353.0778226257,135704639332.12953,368381.10610090947,585681.8242635574,639408294660.708,799630.0986460602,,1.4614628693761862,,,
443422.0308141796,481976859884.95056,694245.5328519951,1342601.0254214993,3396240728714.627,1842889.2339787073,328608.44710287155,213063145682.83737,461587.6359726692,602770.6509170512,682081208718.3914,825882.0791846687,,1.4228525794685059,,,
384797.55407068186,295145946958.858,543273.3630124506,1337730.9501729445,3002251278624.9604,1732700.573851397,350750.795754211,230020627187.1198,479604.6571783054,695511.1339930095,834071171666.1178,913274.9704585787,,1.4179459701829047,,,
348746.5701283816,252621923390.96918,502615.0847228614,816213.2898585766,1419271287353.4907,1191331.7285095241,237239.68986808974,103704976612.81276,322032.57073285733,537018.3076865212,673172128489.5162,820470.6749723089,,1.4601373488029816,,,
438144.2629217593,396554823941.4723,629725.9911592281,1259954.0536249946,2881514819295.0557,1697502.5240909234,263002.3665425745,125992337613.19278,354953.99365719606,634919.2681204084,752405549665.9031,867413.136668971,,1.3877914794125457,,,
408244.52937398886,307272860261.51056,554321.9824808597,1286568.5595870088,2627523064762.52,1620963.6222822892,320413.5772834448,181268358425.8488,425756.2194799376,526298.5875422456,456727059684.3613,675815.8474646487,,1.4085693914562154,,,
269136.06008921505,193523624426.2258,439913.20101382025,1120307.4623721286,2679183469123.0107,1636821.1475671404,266960.1095810009,117397027267.3132,342632.49593013385,550721.6279657761,700137285956.6152,836742.066563296,,1.4530431083159643,,,
469652.7528321599,465852974938.8656,682534.2298660673,1160424.1150639178,2170930401305.7102,1473407.7512032134,278635.21274443116,147939758559.1797,384629.37818006007,588850.6639550832,645471246161.6332,803412.2516875338,,1.3001506906705709,,,
276809.44600624836,150226013746.88574,387590.0072846122,1081617.3599919626,2362735783657.8296,1537119.313409935,296468.1359124475,187330172647.7497,432816.5577328918,621045.0826733464,1191503608234.2373,1091560.1716049544,,1.512140208475698,,,
269089.547875025,166669786622.45312,408252.1115958289,1302303.1191206863,3078684508077.5044,1754618.0519068828,204319.44320011948,70799457135.13562,266081.67380549834,516639.4922537937,586508343348.9847,765838.3271611475,,1.4195219599122706,,,
356477.2835219966,212528259423.36868,461007.87349390105,1060723.220671565,1863975304148.1946,1365274.8090213174,319178.06492078607,206840445686.68497,454797.14784361277,580348.0877255858,633580196374.0385,795977.5099674854,,1.3812509173598637,,,
382655.6553778003,512427599468.02563,715840.4846528489,935398.4413916086,1483736919825.098,1218087.4023751735,259143.09464827683,140163909375.1454,374384.707720742,520448.15646911546,433765260254.6534,658608.5789409772,,1.377685378703801,,,
380576.46988049516,328576060281.4586,573215.544347376,863563.8388979654,1400595036778.7903,1183467.3788401564,259823.28303161953,105538727766.18643,324867.24637332465,450959.181608426,412654449611.2128,642381.8565395607,,1.4556599903769467,,,
297353.83522272145,170003851103.94434,412315.2326848286,824698.2907525435,1232858103294.9573,1110341.4354580115,307383.5889895439,180861119301.63632,425277.6966896293,522915.32938716887,632918569968.4639,795561.795191589,,1.397202876367055,,,
366572.61569435115,237060314305.4213,486888.4002576168,1127593.853995252,1935089886646.3582,1391075.0830369862,181238.84888384823,57514289372.13828,239821.36971533266,435652.51051146607,324753754345.10406,569871.6998984105,,1.4251403170231125,,,
300622.6432193175,174024195463.13693,417162.0733757288,1404861.6339187827,3807321365125.138,1951235.8558424294,290908.92005584674,166481253691.87485,408021.1436823769,676841.8976454065,764274347197.0736,874227.8577104905,,1.454103747239012,,,
324648.049919455,225174604928.89435,474525.6630877769,940985.9871029544,1584521759864.517,1258777.8834506576,223892.98692208773,89668383083.34677,299446.7950794377,499770.5823312369,500561787967.0856,707503.9137468326,,1.4169848339761648,,,
318504.00169269444,221562606182.01465,470704.3723846366,859475.7093531704,1187481955241.382,1089716.4563506334,297912.9298048519,142653980811.45682,377695.6192643182,494428.1082773003,435460966074.25397,659894.6628623798,,1.4031757077367126,,,
323720.9878726553,206966173285.15204,454935.3506655116,1083629.8663363722,2259614117327.8486,1503201.2896907215,302808.995905589,164843313409.97632,406009.0065626332,607193.4252169915,946935248731.1147,973105.980215472,,1.4710917188084927,,,
365816.6913285114,324353067668.33734,569520.0327190759,930862.4297027476,2160010753822.31,1469697.5041899984,259485.14945736353,114292371836.93933,338071.548399062,586472.9904758069,1385757417989.1113,1177181.981678751,,1.4543726626172417,,,
290647.80554054567,155150393503.57928,393891.34733271215,1074825.0788140504,2482252591749.36,1575516.6110674173,444850.4964353834,432573277895.96857,657703.0316913314,729868.6068354787,1340032977898.0945,1157597.9344738373,,1.4253291944982478,,,
302745.5728705648,181819648927.97626,426403.1530464758,1166472.5042049137,2526418784681.0557,1589471.228012969,347571.19304456795,292378048851.4674,540719.9356889548,601918.0424573739,1049332348770.0948,1024369.2443499536,,1.4670238263349429,,,
