source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
463771.0220847401,470064243191.5847,685612.3126020891,1147602.78472016,2015075126482.4263,1419533.4185859896,249736.2422787674,121847119173.58658,349066.0670612178,694378.9073855247,1107934040197.525,1052584.4575128045,107426649.19642825,0.3970596369927713,1.0698219555642041,1.0,0.2989037171678818
319071.69746824936,272081958354.95215,521614.76048416435,789242.2695447904,1022577094440.8356,1011225.5408368775,295898.9596399526,178340217105.5672,422303.4656565906,647600.5633961068,841042688886.7349,917083.7960005263,72126324.58241066,0.3545741274643064,1.072422769784537,1.0,0.31279814511854753
372097.1905869215,278248181653.6856,527492.3522229356,1431475.0497676195,3311627258149.308,1819787.695900076,333906.40048961254,287117205964.14905,535833.188561654,791695.7023425936,2023059514623.0657,1422342.9665952814,133769470.49795264,0.3671829154664741,1.0745657903368957,1.0,0.372585687781519
392095.0029472321,390998248215.13617,625298.5272772807,1233184.5699824202,2772529730102.049,1665091.5080265256,262956.8872751533,110067337253.61041,331763.9782339403,629849.9651494359,1539689195645.3616,1240842.1316369628,122600478.0519381,0.3674213943696151,1.0714714538926604,1.0,0.4277189978645937
327713.1449050851,225279237841.43445,474635.90028719325,812671.2217445909,1315349631783.2742,1146886.930688145,245287.04590060632,110199506541.91962,331963.11021244456,619478.8293104601,1085510134445.369,1041878.1763936555,79763104.47309129,0.34842117972000647,1.0525407332706824,1.0,0.2995145736910488
454564.9840213542,459608110284.74243,677944.0318232343,1123247.991621038,2399869091541.8354,1549151.0873836146,318733.2335712681,190358053536.17816,436300.4166124279,787419.7100629725,1493998090487.145,1222292.1461283898,107986083.44172718,0.3486825984078236,1.077131334724342,1.0,0.3655539826604614
413537.6972254178,318971040196.874,564775.2120949308,1466301.1963695642,3813573597598.502,1952837.3197986826,497248.4479469713,743025894866.2114,861989.4981182842,779572.2939738004,1960872019455.887,1400311.4008876337,138015374.69465348,0.3546866609136696,1.0828845803186091,1.0,0.3051981613821594
385880.09693257214,270937809252.27756,520516.8674041962,1187290.3572368925,2584207889426.662,1607547.1655371925,292917.741466691,169253586759.27844,411404.40780244255,788964.3501131254,1436878059739.7725,1198698.4857501793,116698220.07100792,0.38243654018041723,1.0599718256815525,1.0,0.3237670203659522
321312.42496981064,196908696430.6718,443743.95368350856,866909.0808552195,1515218058082.3984,1230941.9393628598,260858.93401177597,116105545820.21494,340742.638688226,608437.5080283531,867797940808.6578,931556.7297855015,85742415.2602731,0.35018775284116077,1.063348143460162,1.0,0.24488102803028275
404273.297250473,372145977997.89954,610037.6857194148,1009352.0146541053,1945579200092.511,1394840.205934899,409178.688222582,411619258068.12616,641575.6058861077,610359.7301632684,1022154727841.0884,1011016.6802981484,96922125.81151843,0.3783482603657563,1.0803903536001433,1.0,0.30982502165934445
409467.4250205206,561587599253.0016,749391.4859757893,1161374.5400387892,2591537721824.605,1609825.369977938,388350.97727011563,307439762382.93304,554472.5082300592,790902.2063259617,1646655315941.426,1283220.6809202484,109331272.8448842,0.3511694582244378,1.0463122781817034,1.0,0.3338449883764009
231714.45610453867,114285489858.76761,338061.3699593132,942002.3469742526,1575232347212.7515,1255082.605732687,254396.0445906841,111964038580.70607,334610.278653699,564369.4920013436,963719174858.0028,981691.9959223478,90136697.79498275,0.37465498970073247,1.0376260047193644,1.0,0.28606666955217924
303095.1297958252,214143611436.31967,462756.53581156436,1184100.7613341222,2522619492977.4907,1588275.635076447,271629.5057194779,144641239767.07413,380317.28828318353,742619.2330441035,1774938957362.2705,1332268.3503567404,112487555.6230893,0.3795033765835071,1.0662052176922403,1.0,0.3840847570752575
231787.06440263067,109685618457.60753,331188.19190545956,924041.8680017515,1357549305731.1465,1165139.1786954666,286691.68977995956,143959999834.38437,379420.610713736,544440.2606583268,643370796165.5381,802103.9808937106,85820654.02354716,0.3798513008399367,1.0453748074257878,1.0,0.27445279229557473
477173.69368353783,510253499676.1525,714320.3060785495,1382562.342757397,3102326012808.1704,1761342.105557058,343009.55559061066,215488106086.12418,464206.9647109188,970496.8552218474,1948629443737.5771,1395933.1802552647,133086263.13434915,0.33269395159719367,1.0780146401489814,1.0,0.23614890763876029
232898.83833125746,115652808449.06201,340077.650616829,1101171.0416938448,2252854302302.124,1500951.1325496656,283481.13414072036,132891760452.13156,364543.2216516055,727472.3599382685,1160762092269.2163,1077386.6957918203,109349080.8383364,0.3723581481982159,1.0614234501180138,1.0,0.39424543473944323
445457.57605271967,468585041920.9141,684532.7179331271,1401343.300729098,3466916397875.638,1861965.734882261,332104.95564831165,217307528750.20325,466162.55614345864,825390.0666567825,1708479723674.845,1307088.261623845,134222545.09697175,0.3377542580379402,1.0740658560174134,1.0,0.2772249892980811
396276.65175947954,304449937830.5666,551769.8232329914,1353641.9254944003,3047820555873.7676,1745800.8351108576,323543.55069117044,200069722298.3378,447291.5406067253,868427.1119804189,2093164991952.5066,1446777.4507340465,127034360.01189373,0.36637723692427104,1.1008900968632693,1.0,0.3684451780364393
353573.11120097194,249649180680.72574,499649.05752010155,828408.9617297543,1413261845791.4092,1188806.9001277748,244935.4015659138,107558937768.89804,327961.79315416917,656020.796797178,1013399846024.6758,1006677.6276567766,81506364.64138305,0.36340869129752346,1.0509517034168734,1.0,0.25499102482792496
