target_rmse,target_mae
1097537.49561109,852633.0511164626
1009058.4047446214,757639.284315695
1101104.2974539464,782767.0759577127
1343887.7124332688,943462.2440511135
1330194.679776044,908318.9895612064
1039013.3961757773,758843.9285180592
979014.8716924929,770552.4218668232
1151953.4249926056,873369.746737516
1343668.703088617,987929.4882024679
1226401.019033803,921775.8487641067
1211672.1649428,958769.9481508434
1193610.8619519854,916585.9405595312
1052041.067015094,814218.672257162
1231632.6280013833,864749.9400376142
1531824.2006856597,958763.5270564992
857407.1969825934,694165.2563133553
956029.4458379522,709911.5172431908
1137388.6536008539,865891.295132017
1395271.776163568,966322.3075058731
906365.7499550238,727015.7881484905
1003161.9508261892,774263.9431107485
1172152.907191839,844401.5114439563
1196940.8171669135,826937.4479287761
1160015.654558163,872405.8908512718
1005228.5942175548,756273.7393467787
829052.2889639719,682226.4595380245
1342494.4529556194,956224.2035915247
1032538.724640444,748777.8538037521
1350298.3735360121,958891.174383338
1462266.7142803029,962501.5291884327
1018013.424697233,811221.5625896214
954942.6029236008,766298.9893008478
954087.8826260165,759580.0350513885
1069889.9247845428,803842.3213966242
1065912.0189614051,797010.6777771161
1363745.8086755772,966546.710742819
1030286.2782167444,794506.678990145
1103583.0261362337,790664.8608487701
891706.8613130804,719031.6465687613
1008523.8571332557,797527.2231589286
1582280.4234994354,1024942.1011307865
1111066.1599603046,819018.5748314228
1370245.0209059094,886927.1191892119
1530230.3093138316,1074028.1205955192
1142778.840302632,861900.5314349136
928554.985108661,752293.1364783174
1327733.7122043038,916451.9560892537
1331383.659425252,830478.4708772005
1148114.148919077,790654.7079435717
1096008.2661770082,794774.3855810217
1217810.548468587,927778.8431748158
1130825.8351791725,815764.7610406514
1203915.420004991,872077.939465638
1074320.2660543756,828346.209693497
894276.6115401578,701968.8087126088
1361540.5686989883,922426.932735272
1223246.4533444652,834184.7937111125
1062633.1018610676,763273.81840943
1110828.1407987906,810717.6033541248
968000.9055374676,752797.7578514668
1059722.5861629557,743954.9370256921
1135207.663774953,831679.8605433613
1245544.2866772527,804012.5036273407
1337330.3598982207,906691.0799158348
1292775.3750237043,942898.9250164184
1336716.2179750202,865877.5464788311
1170834.393404146,812841.7056113341
1221534.161772588,841513.8643919644
1215301.4146103263,896506.9246403507
843841.07201547,674562.6510885512
960948.7839426174,729167.2771312868
1153040.2445540628,876865.1506522148
1244984.380656479,892958.4558539974
947919.3221055431,762536.8966089648
1128914.0383155493,860600.9112515043
1144102.2770046277,831354.0443464338
1092109.004041997,821092.2015988466
1151040.5989126065,899107.2698788118
992488.8623403473,825896.3112610417
1359843.8183065664,897364.304470768
1308843.631278782,908148.7186408329
998008.9977612338,695477.3946934069
1196978.500461317,840517.8727376721
950971.3425220499,706834.2493964395
1204030.4794598762,897281.8917555268
1261098.3645274676,881589.5051836834
1334715.154128851,888167.3307704811
1020358.6078668478,777789.5753454975
1110623.1974799857,873299.3791336103
1067922.39945978,786076.2489445021
1211651.3184874072,894259.136126051
1245328.0408493888,877573.0300268581
1393571.8168049233,943762.3150443194
,
893342.6018322101,705139.0555975335
1059378.610648019,842107.8085775985
1296319.2615204833,913086.1077883722
965916.0311013572,749359.8480881106
1052129.5987404143,849347.3437483772
1243254.8966198254,874160.3857561445
