source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
432054.4991876864,399111731760.5852,631752.9040381098,558324.7896230875,567592793492.9711,753387.5453529684,249108.57240757716,124887392631.22101,353394.10384331684,1146366.232172226,2051355959196.7346,1432255.5495430047,,,,,
335343.90180686925,289562783053.4198,538110.3818487613,525023.8053620106,426960562501.7706,653422.1931506235,297501.8012401824,186888616970.78595,432306.1611529333,793404.5194764601,957396065472.9672,978466.1800353485,,,,,
369528.63331149484,261618286044.87305,511486.3498128499,631004.2602616835,865624572549.2261,930389.4735804066,339827.9449539603,295659588566.7869,543745.8860228617,1398874.2153891306,3315471709355.971,1820843.6806480591,,,,,
393851.4728914741,392174798075.6217,626238.6111344635,535189.2954879357,551998839331.1394,742966.2437359717,258509.08143736172,107966761462.18393,328582.9597866936,1279993.2496082939,2805980059809.7866,1675105.9846498629,,,,,
338038.1490019319,235601058988.68347,485387.5348509513,538626.8619213145,786420182923.3164,886803.3507623414,252055.6565326483,114973231583.53287,339077.0289824023,815448.3282467105,1283402283136.2268,1132873.462985265,,,,,
435987.966976851,393028193689.2448,626919.6070384502,595816.0386300243,806373652007.5397,897983.1022951043,308997.6491917278,178877387394.96982,422938.98779253,1166671.4788692945,2554071249707.095,1598146.1915942156,,,,,
414848.83097222645,342847068963.7651,585531.441481809,766015.5671141176,1519421557072.8381,1232648.1886867955,502645.2305267485,714631878721.1919,845359.0235640665,1430231.4459380223,3696218434204.1245,1922555.183656408,,,,,
419036.2389884908,322979043521.10675,568312.4523720264,681838.4927998504,1134157716353.447,1064968.410965061,282095.30024003837,161038973332.8352,401296.61515247694,1149005.8872763135,2493460633301.072,1579069.546695481,,,,,
310281.25046693,188853677178.91895,434572.98256900295,541080.6797752621,623165171537.3868,789408.1146893455,271689.77172094345,121098932640.69609,347992.7192351818,904059.3940261622,1574538094554.0706,1254805.99877195,,,,,
371244.50231949164,334909854755.13965,578713.9662692958,557383.3589796433,968650326256.3192,984200.3486365564,416343.38941521675,438868924238.42554,662471.8290149594,1007323.7712774219,2042078052666.8313,1429012.964485218,,,,,
405774.85588390025,570851324301.0638,755547.0364583954,610872.2780038341,828763692038.2405,910364.592917717,392903.54256522,308194340646.2031,555152.5381786551,1203616.723750889,2648255189339.7524,1627346.0570326622,,,,,
230558.88495274217,107234887782.06903,327467.38430272567,540605.067353195,686691599242.98,828668.5702034198,249531.9270759891,108104440940.64156,328792.3979362077,964172.3337043801,1569823609862.56,1252926.0193094243,,,,,
372179.58235820633,306208137092.71704,553360.7657692377,558042.5463768905,626829966792.2876,791725.9417199158,241513.77254937083,117091407952.55086,342186.2182387696,1238446.0424327403,2567724446050.7812,1602412.0712384756,,,,,
232675.79539885986,108384714208.54794,329218.3382020934,486730.8322752814,482908345729.7841,694916.0709969111,304397.83918969263,159186389170.85284,398981.6902701838,912539.5978780047,1443083357578.7502,1201284.045335969,,,,,
432984.63767037104,415862455454.0412,644873.9841659308,702786.4902877978,1060467402348.0352,1029789.9797279226,360115.1712819243,226424144842.1335,475840.4615437127,1355982.1621828172,3284857598418.2007,1812417.6114842298,,,,,
218938.2119123758,108638369292.91685,329603.35145886615,576507.4029496671,689545682802.3329,830388.87444518,289557.7386182835,138748892983.78217,372490.1246795439,1113677.241497197,2215117298772.2905,1488327.013385261,,,,,
424122.4416101907,456871109098.8225,675922.4135200892,669139.6610993957,861809003745.7188,928336.6866313744,331015.3280989985,216714794222.45898,465526.36254293803,1332960.0552811439,3283890033903.9873,1812150.665343251,,,,,
396295.7011707122,311506036266.64874,558127.2581290478,616967.600223194,699822698187.5917,836554.0617244003,314463.1869642803,177914692879.44376,421799.35144502507,1357223.4551520252,3074343832252.091,1753380.686631426,,,,,
335049.40614024387,245524253745.0376,495504.040089521,588309.0900671448,846969850228.6993,920309.6491011595,246282.90100618158,108909931675.33665,330015.0476498559,846920.5359572934,1409368434138.7542,1187168.2417158715,,,,,
435752.2302832883,373725810303.2224,611331.1789065092,644688.6592667561,873814229826.6187,934780.3109964494,324262.5849983402,172691187308.6043,415561.2918795545,1291575.4946412805,2937815597345.583,1714005.7168357354,,,,,
397075.3756857505,302851234146.5619,550319.2111371016,545592.9879513001,502093577885.1587,708585.6178932498,315266.47781435074,178745233133.38535,422782.7256799707,1228939.2780369902,2618932814962.0903,1618311.717488967,,,,,
264454.7154922413,199769897605.48056,446956.2591635568,602500.2514505358,897391411961.7032,947307.4537665705,271583.5842326308,118741961841.75043,344589.55561907333,1085263.9260923937,2691159523414.853,1640475.3955530247,,,,,
458578.17170218227,473202384432.8196,687897.074010945,640929.2895530642,836710661039.1212,914718.897278897,281125.9875868372,150022059767.64825,387326.8126113247,1094775.231265625,2057800604189.186,1434503.6089843714,,,,,
293968.34484814835,159321895101.87744,399151.4688710007,632244.2922148827,1417749156732.2224,1190692.7213736642,292084.30127290095,177752178890.69016,421606.6637171312,1115318.053385647,2500662237441.071,1581348.2340841535,,,,,
261823.39406535027,145498707656.32947,381442.9284392745,499243.1279126209,397391772682.61523,630390.1749572365,210762.64121515636,73425713452.64626,270971.7945702952,1367361.9005001537,3057002417304.275,1748428.5565342025,,,,,
346710.20412470604,220758107692.9023,469849.02648925676,582510.876677439,691158090855.38,831359.1828177398,320968.3701024611,203654948988.9657,451281.45207726595,1019119.87357954,1869964374850.6973,1367466.40721105,,,,,
393240.4848888994,522834806473.3464,723073.1681326216,537349.9040288278,495963591891.3347,704246.8259717858,257304.92798015758,140174191559.45404,374398.43957935245,946301.9960700262,1497074136251.1938,1223549.8094688233,,,,,
