source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
232783.71234017334,98274927732.757,313488.3215253114,651063.0319671675,711442074035.9995,843470.2567583516,246574.51833808512,121564605899.42043,348661.1620175388,484738.5601925306,500465048347.93744,707435.5435995123,,1.4704590681900747,,,
240379.92087736013,102251672122.33144,319768.1537025403,782897.2883829273,1082106872164.3242,1040243.6599971779,215859.22545474648,93493871632.80959,305767.6759123004,402668.1301861024,279091785615.6713,528291.3832495011,,1.4572956496671248,,,
254690.5891195493,126636845006.3561,355860.7101189398,813164.8178221034,2024588218086.7568,1422880.2543034873,312273.599064619,291565580515.5656,539968.1291664959,489401.7002951044,1196459163498.5542,1093827.757692478,,1.4683788238758702,,,
224254.6323564726,95001476565.31665,308223.09544438205,738295.5674078553,883870428646.7683,940143.8340205015,227362.17128100514,78044084568.36922,279363.71376463555,402646.38806900947,297727950639.0463,545644.5277275732,,1.4255284619136124,,,
183496.00023181032,76020108829.57924,275717.4438253395,638208.4863418164,667933151205.1539,817271.7731606506,202556.86151135882,72684305359.01282,269600.2695826041,387145.34396693483,308304811330.3417,555252.0250573982,,1.5438955107296572,,,
231558.95823937986,98404811134.81839,313695.4114022365,697706.9963072698,1057708204829.6473,1028449.4177302291,246416.2190026557,120653141756.40826,347351.61113259324,449974.64599173545,601583173160.5239,775617.9298859226,,1.3975754771869329,,,
230966.23710849092,103360285503.24028,321496.94478056906,770895.5751627012,1084809610730.2802,1041541.9390165142,249732.02736366473,114397326021.68861,338226.73759135103,410795.02680894674,373008527889.2058,610744.2409791563,,1.5323643378135794,,,
298605.8992929969,175692418998.71677,419156.79524339904,904091.7685016325,1708190895765.5447,1306977.771718228,467254.95183711755,445163565713.1121,667205.7896279918,516092.9261749523,995246103842.407,997620.2202453632,,1.353108662925643,,,
260042.70100582222,123858908524.60971,351935.94378041255,600115.190130584,685154415400.9054,827740.5483609616,257493.35939871584,123020256546.76794,350742.4361932384,446708.0285519117,547560850895.4904,739973.5474295621,,1.4418863786821072,,,
276880.5217514968,155554391125.97845,394403.84268662805,844027.8669085972,1517598198871.9473,1231908.3565233038,232967.4729433194,98429573785.3466,313734.87817797146,489171.44733359397,504804688061.8028,710496.0858877428,,1.4992814283079263,,,
249993.11363970692,117771661995.55826,343178.76099135017,837323.4020193159,1195501831022.4873,1093390.0635283308,279552.6827289808,131418834811.10838,362517.3579445657,458863.5686220606,528613284855.836,727057.965265381,,1.4438709956960398,,,
262799.1995539378,131461473201.49106,362576.16193220846,856460.2947029194,1274085489103.3027,1128753.9541916577,243039.4812241589,116022598893.58559,340620.9020209793,455186.8837154303,393254420140.7857,627100.0080854613,,1.429477799155374,,,
277232.97665727034,215773268896.77148,464514.01367103175,691890.6909691929,1109096120675.8096,1053136.3257792457,292554.2964280023,204533548094.79306,452253.8535986101,506809.8230351944,844205355255.5446,918806.4841170553,,1.4976075013036243,,,
242153.18952303063,121145877606.02002,348060.16377347754,742117.9350150824,1118340379797.201,1057516.1368968328,393224.927194874,275398416575.06305,524784.1618942621,545031.3378646005,741270167684.1155,860970.4801467443,,1.4509424837023883,,,
309035.0912834638,170365651783.6161,412753.7423011645,912566.9583999923,1468438972849.1477,1211791.6375553792,222811.5327658974,95999471526.04443,309837.814874241,480140.1455304248,561640869305.2782,749427.0273384048,,1.495382078851741,,,
216215.3896333314,102828774761.19281,320669.26070515835,651383.1193179721,842550656622.9131,917905.5815403418,290646.158166467,173849217835.13928,416952.2968339895,476564.9793402584,548820950228.359,740824.5070381777,,1.3978123904011817,,,
193557.41471895488,72390407226.42816,269054.65471986943,671757.4296865544,976126330024.4258,987991.0576642007,264313.41373800096,136441877218.84422,369380.3963651079,472006.9516381227,731970415549.4148,855552.6959512283,,1.453584155399835,,,
234941.61269535217,114624305727.45964,338562.11502095097,660448.9062739704,888399002009.8472,942549.2040258944,329719.6911947909,198020897442.42944,444995.39036087715,421455.6894905714,499571834274.7179,706803.9574554729,,1.4776395195984366,,,
250624.48627650633,135381321350.41049,367942.008134992,889260.596305002,1456307313461.4617,1206775.5853767765,239085.1242448629,110757695521.68222,332802.78773123614,443318.6867003343,498119054094.11664,705775.4983662416,,1.4349994961306303,,,
317426.66978652665,262840797580.44345,512680.0148049887,749843.7889406965,964243721422.5363,981959.1241098258,247848.67027296431,105649182419.98534,325037.2015938873,454009.5121265738,447523532763.6329,668971.9969951155,,1.4453628996917849,,,
281095.81190148514,130792351549.93239,361652.25223954074,918576.3239351432,1628385274862.3728,1276082.0016215153,308690.54047941975,218788972700.72675,467748.83506079065,428059.32601754233,481368252058.44977,693807.0712081636,,1.4405254190371186,,,
242708.20780711496,136765278520.4078,369817.8991347063,744394.0903491079,1188186249711.0337,1090039.5633696208,312500.7523989122,150276926919.68536,387655.68088148197,574758.961883417,974516026900.0483,987175.7831815205,,1.529005728897531,,,
254229.42166993627,133628812543.70068,365552.7493313389,751787.6142299009,1080915937172.0396,1039671.0716241169,229087.0912715992,96260277930.01822,310258.4050916562,416247.1869547777,428197923349.96344,654368.3392019845,,1.420365301471194,,,
284855.33007603657,157756821385.58945,397186.12939727574,795680.6263307488,1400589605825.2874,1183465.0843287634,247918.31933577562,103161276473.3801,321187.2918927212,454295.7807745867,511278547102.623,715037.4445458244,,1.4156091529105717,,,
218636.88604851076,92474069814.50719,304095.49456463044,568536.943235218,557818592299.1963,746872.5408657064,227544.24023672316,92533362232.6325,304192.9687429223,394189.6891138989,302417144058.4739,549924.6712582314,,1.4134515616043375,,,
265841.4744379994,127639040051.93456,357266.06339244504,638748.857428256,793727737754.4357,890913.9900991765,226582.6845532262,84979478928.97185,291512.39927140635,383962.8923113884,420581495630.5602,648522.5482822938,,1.5175763665079478,,,
240297.9627225769,113328647281.45961,336643.20471600135,800123.0100033479,1481376062900.35,1217117.9330288211,322788.8110372744,172122075801.25647,414875.97640892206,498299.8653870494,770873429959.8345,877993.9805943059,,1.426880117316089,,,
295909.5531255044,160930144317.2818,401160.99550838914,952305.6208963026,1629189978759.1887,1276397.265258426,321847.4240605783,241120981116.38452,491040.71227993356,465549.8804333032,498673615710.5461,706168.263029815,,1.4932409516458605,,,
245825.24902267606,112549938460.91035,335484.63222763326,755624.2504575929,985529442506.1418,992738.3555127413,202782.4228402501,66417485392.974396,257715.9005435528,360099.63973131194,240852886748.8287,490767.65047100314,,1.4218346327382028,,,
