source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
225148.3319418936,94534802132.16832,307465.1234403153,681187.5288557404,750827632069.399,866503.1056317104,256566.9090616843,125311813778.57076,353994.0872084882,576875.6948885459,622928881123.398,789258.437473682,62599613.98422713,0.404822752675542,1.056440191766867,1.0,0.32165361748118476
235312.36642534236,102892053577.36624,320767.91232504265,827098.9172533124,1104798031441.1965,1051093.7310445707,211852.32476709932,94363837214.06113,307186.97435610957,548283.3280117045,628229542999.2256,792609.3255817936,76315603.2830325,0.373558244469975,1.0617037634718263,1.0,0.23906006444689953
238673.07632242626,104870166252.6364,323836.6351304874,861919.5623461518,2016098105274.963,1419893.695061346,314601.9151081819,290856698320.16425,539311.3185537313,661545.215176089,1608888599136.6206,1268419.725144883,81406007.77575228,0.3394060566954291,1.0362378759115338,1.0,0.22657850491964995
237067.56103347114,105499029557.86656,324806.14150269167,763479.3244788836,962878786535.4574,981263.8720219233,220937.4063524896,73812838499.91737,271685.1827021808,507178.34624050657,579273379168.6307,761100.1111342914,75334042.80298004,0.3854896710324705,1.048540260793751,1.0,0.30405422498794316
181427.92939634036,76257121902.51799,276146.92086372786,633523.8501148956,663819083709.8888,814750.9335434289,207085.72117520205,76817786766.96855,277160.218586594,523125.1191749166,544018755341.157,737576.2708636693,59122191.93143372,0.38643894956970076,1.0570222993691571,1.0,0.263761241344901
231711.10083851576,99119513308.4751,314832.5162820307,692393.730565565,1077571566140.5123,1038061.4462258543,251834.7821183785,118196479348.92549,343797.14854682185,506930.48606130027,737635716283.5328,858857.2153062073,64987921.458445415,0.3618269631480576,1.0389502645303006,1.0,0.24220725572419843
244558.54471134694,112520298412.21866,335440.4543465482,732793.9320140256,1079850306182.3533,1039158.4605739171,247079.0930941504,107349071940.00537,327641.682238395,572961.5418293922,618370138518.7728,786365.1432501143,72310312.71419996,0.3933839836147118,1.05483866471909,1.0,0.2662901337399757
279503.09335562866,164794546363.88153,405948.9455139421,905954.4949183024,1742680374813.6428,1320106.198308925,471955.8752068741,472574631541.6909,687440.6385584801,621236.4872564757,1238380580953.8167,1112825.4943852683,87814572.8057912,0.38173624161222325,1.0695175983502556,1.0,0.27757352647988687
255320.061421161,123547179709.40372,351492.7875638471,583853.9650630697,667034267082.9083,816721.6582673122,263551.21437371813,126484736569.72809,355646.92683858256,546096.4150237008,630449495648.1241,794008.4984734887,56682751.125598826,0.3683521511424881,1.054222009885359,1.0,0.25249273084738844
276980.95180949516,150470917217.79993,387905.80972421635,882448.7599088447,1548568005997.0627,1244414.7242768637,251613.1863330248,110999361958.86699,333165.66743718804,497848.43264966214,609317117377.3613,780587.6743693571,84686292.6257159,0.3716363950599594,1.0482764359936048,1.0,0.2911930713436646
268110.6014357883,132121506060.9931,363485.221241515,830786.4278504913,1142388094644.3606,1068825.5679222688,280740.08946005604,132702804492.83731,364283.9613444947,592421.6512869684,812984422155.062,901656.487890517,75487194.48971373,0.3638265126569021,1.0653001857308615,1.0,0.26847261198395367
256884.16746019336,126378698743.44284,355497.8181978658,858277.4034987594,1336485155185.7134,1156064.511688562,242057.39824202075,116217853688.66588,340907.3975270497,534776.2836010853,594974930207.0458,771346.1805227571,83138816.44596772,0.3752081174792327,1.0598966119227047,1.0,0.33224248025619524
278719.62169103726,214719320107.33517,463378.16101682564,776841.6666687562,1338887373531.3591,1157103.009040837,297946.02112339746,206866060291.91507,454825.3074444243,637910.1840244372,1062709580676.3981,1030878.0629523543,73566107.00424267,0.3540321001389596,1.0697523127705555,1.0,0.31317429251543255
232172.61481490286,115117804213.9813,339290.14753449784,764322.2923733067,1172699246395.8267,1082912.3909143466,369916.2635339119,248261865735.58362,498258.83407681156,599283.9541115726,858916111985.3297,926777.2720483221,73310616.61714618,0.3548555328836306,1.0523284481710071,1.0,0.3307285482210178
319129.1615047298,187765071124.55038,433318.6715623392,906945.3924732354,1435734682097.2312,1198221.466214502,219044.54635795188,93257098291.44986,305380.2519670351,608297.9659381595,1032302372221.2822,1016022.8207187485,89455988.03699964,0.37991985995968736,1.0492551799233967,1.0,0.29725935972470746
215029.7724342166,100747816039.73213,317407.9646759547,648581.4695531697,825593712291.7792,908621.8753099549,297153.7313684376,180202461841.7574,424502.60522375756,564538.8851803935,686372626432.7554,828476.0868201058,59038470.64551023,0.38835695901997874,1.0493199455312332,1.0,0.2715862299225517
195235.4710610492,70849729853.68994,266176.1256267924,677835.2456027869,990708070973.3114,995343.1925588839,262963.09550970746,138386374866.63687,372003.1920113547,584699.3997130487,808141760374.9683,898967.051885089,62261579.39095503,0.3747108121872881,1.02496131534744,1.0,0.2910073488360428
231071.1540491243,114226699172.44417,337974.4060908225,643765.9034908839,851721948301.1921,922887.8308338409,327422.6421650958,195745456516.7882,442431.3014658753,510314.0846055232,644056566066.3093,802531.3489617145,60220683.35751401,0.33699641459122637,1.0396577316961946,1.0,0.3122686318983721
232681.67206014725,125730594639.51733,354585.10211163317,914224.5289455616,1505199042907.0852,1226865.535789104,244689.95445386865,114273059682.53302,338042.98496276035,577908.4269208205,713643980485.2275,844774.5145808008,83344265.1914833,0.34333236734501454,1.0574287367508877,1.0,0.28978541837082883
319458.8648226301,263395529396.9398,513220.74139393447,735872.1497926543,974890070756.5348,987365.2165012371,255368.9824313102,111489835710.44148,333900.9369714938,570283.6953716277,732829496697.9587,856054.6108151972,69543722.0376887,0.37311674112452736,1.0343326164728288,1.0,0.33536130908483885
273366.91815675993,117312758653.56033,342509.5015522348,899402.0969756155,1569539732225.0986,1252812.7283138125,337662.14774881065,256704128793.96912,506659.7761752645,569598.524151485,757446506261.8444,870314.0273842795,86382028.17704047,0.3691075455668943,1.0362541394817044,1.0,0.29711713773269005
