target_rmse,target_mae
985462.1526093181,746523.9616030884
1038954.582099702,817860.233376355
1460936.8783980545,872811.7179580688
1230374.7325834632,845013.6061560943
1167391.9244587847,888604.8693127441
1090044.2806924132,795265.2721255493
1141730.652617337,782821.7343070984
930041.7845802661,750365.6875444031
1115679.9848678163,864619.675315094
962466.9427978864,723095.0123362732
1160975.6811534197,887687.4917730712
1129640.9011273123,858828.6224237061
1017511.0256160923,798417.5668884277
1559315.1311960015,1035853.6700660705
1100614.6926220937,803336.9555381775
1363342.1550435768,920802.3717219238
1269269.6003237602,894265.9102323913
1629471.7423889677,1020637.8567008972
919621.7905282112,759729.0762237549
1410463.9144756796,982398.4244926453
1080523.6218827937,861761.5943023681
1203561.8643857061,850132.460550232
1058229.6938347998,773028.9477001954
1106411.3191795642,847308.5857626343
1301405.3738819282,910481.2039300537
1171387.826726347,871833.024818573
1157552.7108090029,864666.253315277
1463798.8400939577,969347.3920776856
1071271.979104513,829148.0417012024
1004741.3803079359,822258.9357821655
1255325.8927541631,924235.8839556884
1028838.5377274583,774613.6419699097
989548.8027805834,780628.360083313
1043140.5308744931,786221.1806272888
1202478.4330265173,815509.0511935424
1014832.2182793099,767377.356399231
1474719.524647398,1026864.172333081
1282964.823318637,870160.870010376
1017953.6312481774,803711.7350991821
1297901.5069246886,914591.5374838257
1386977.2581141097,972621.3854203797
1493274.6986252132,1019881.150400238
972472.3743075274,727503.6014064025
1359127.453247134,879356.0233752441
2208849.8732746607,1085330.069095459
1115145.1038901699,872527.8686761474
1232765.3037124388,949591.5281784057
1181240.0310125472,824487.1248501587
1463886.1458444202,941825.205309143
941131.7983316708,741108.1244731231
1042860.2288903731,828994.6180317688
915532.0744261878,766419.731459198
1082329.6795043373,784582.422185669
1232843.746304087,898280.2060958862
1448300.8850910864,897617.2971510314
1011538.0021207292,781578.4025267028
1078201.2932499505,811870.0081271363
1117680.592135479,852084.7256846619
978100.8939245046,755190.2430575561
1453007.7417705029,927996.2518888855
1048940.746514609,821425.820955658
1426411.4502591414,1038458.2268812561
1059883.571091073,819565.8106063843
1252827.7467267164,874908.1240678406
993190.889210089,766069.2126672363
1004297.2335365489,756725.1284140014
959210.6851745103,754283.696398468
1132406.767471749,806002.1425032043
1105060.9297571662,777592.7576817322
1109948.686049797,844857.6921246338
1214165.0023500465,826032.6801927185
1061480.1847611375,813262.877984314
1037364.632400191,798578.4972862824
1629523.4734048801,937805.1167904664
1507871.5518146537,929419.1154428101
1335502.9046203655,975822.3061157226
1453616.0716745132,974249.7882067291
1366726.2347812573,867911.4131037903
1246915.2495038402,873207.2389050293
1514052.6198761219,946756.8156369019
1162104.8062556898,893890.0657122802
1443970.1076596354,1022968.5781840516
1293983.2704863725,974944.8426416016
1261700.9516039265,936072.1976857147
1205864.807221616,885774.4462878418
1438337.4774093446,888760.7184248352
1364448.8566544,929470.9251060486
839177.3883521238,669220.476245575
1223286.0767126505,877014.8102093505
1132186.8660303731,838428.3699456787
1166553.0031853921,840684.4947814941
990152.9813702869,752411.1725958252
1520010.5389461739,948226.6886035156
1058239.5456510384,799659.9551069641
1090887.0695079123,817421.8856513978
1272587.4468089247,976193.5231100464
1236699.6962929778,866748.982869873
1008514.3846406216,790009.2728858948
1431674.6123875077,959653.1955682373
1283853.8963442056,866821.9713850403
