target_rmse,target_mae
752364.94,613378.0
599313.1,380477.62
897378.7,558295.0
683705.0,409002.84
936823.8,530306.4
831098.2,470706.97
2651120.2,796046.75
2603476.2,1198070.4
767221.06,486671.56
559210.3,386977.44
726202.3,515317.2
847502.44,500439.28
794955.3,489317.1
884529.25,503201.28
1115398.1,632443.2
823734.8,482676.88
1056918.2,556145.4
730269.25,454463.3
1641807.4,1485640.0
954800.6,516306.28
678426.44,471370.8
841748.8,505577.6
943881.25,594333.5
1637711.0,601999.4
2063922.5,771004.0
1016164.5,582836.06
822643.5,501102.2
1014894.7,557336.9
536530.1,373491.28
638204.8,416506.03
777130.56,440811.28
786145.94,469593.53
822075.7,509654.56
986847.5,541738.75
893757.25,532191.5
11163251.0,11137741.0
712878.06,465232.8
998575.25,488884.25
761581.44,458348.6
1298245.4,659331.9
898300.9,485358.97
597385.8,431441.75
956467.75,583222.8
1087540.2,528705.75
998762.5,459538.97
1330865.4,721209.2
10964956.0,10914634.0
811465.06,464821.28
816852.5,478681.28
909667.3,551284.8
867029.06,529597.7
927776.2,528702.4
658446.56,445513.9
654778.25,427871.8
773478.94,512452.8
761348.4,488138.3
950163.06,554875.06
1005176.1,546468.0
964193.1,537905.4
1322586.2,768672.6
974364.6,565908.94
819258.7,463564.62
768338.1,496834.2
840734.4,438344.16
896841.2,531409.25
1001798.5,562583.4
811472.7,503995.9
800839.44,539005.44
747797.2,517962.84
1047809.56,539904.0
796327.5,478364.47
831083.5,536793.44
775493.9,472528.62
844248.06,486505.6
563712.0,407990.56
656093.3,442229.47
747703.06,465136.28
774524.2,437032.0
777240.56,450814.25
883730.25,516493.75
612757.0,384591.12
808780.3,501345.97
655126.7,448330.7
1100491.1,502661.8
647673.44,434991.53
1409739.0,664658.75
721625.8,458640.16
716473.4,444396.16
1018421.7,599100.5
1017541.6,541574.25
760822.4,472013.72
988783.44,542797.1
968956.94,521747.16
796714.75,491974.3
775328.1,418056.56
854581.25,521503.9
825590.06,485729.44
886023.3,572522.4
1044356.7,628542.25
1000470.7,624599.25
