source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
267165.84174369276,146661266854.69693,382963.793138068,831149.5700932805,1600583158249.7366,1265141.5566053218,345674.9248081625,368658563016.8723,607172.5973863382,815309.050164948,1543342434202.1843,1242313.3397827556,,,,,
439833.8576575454,378248054938.7509,615018.743567016,1000217.5372158453,2239837128908.86,1496608.5423078607,296987.68245263555,142714400982.11646,377775.596064802,989204.1271121325,1986211108150.3296,1409330.0210207435,,,,,
453815.27751176007,417357483195.7499,646032.1069387727,1267171.0054556162,2766963976936.7476,1663419.3629198703,287026.930826635,168389569564.59628,410352.98166894837,1165985.7924399464,2993838272602.023,1730271.1558024723,,,,,
260125.0705803197,140361245535.76495,374648.16232802335,946817.3702728912,2515320234706.365,1585976.1141664037,345493.8130728906,221548913818.33188,470689.82761297474,963634.2521862106,2340628888235.1045,1529911.3988186063,,,,,
283761.8368146648,161048423808.56894,401308.3899055301,629554.6209128301,874743127258.1332,935277.0323589334,190069.3703816087,72109444828.4502,268532.01825564523,752321.0164464291,1262364176840.36,1123549.8105737725,,,,,
243401.36228896258,103908206048.85619,322347.9580342587,1201699.4404925345,3518861940909.5156,1875862.9856440783,360245.0727551558,276641767468.8043,525967.458564505,1039489.5691505575,2959537230509.4224,1720330.5585001456,,,,,
325792.04267705954,261005514381.15512,510886.98787613993,1134720.9183623677,2426976416732.169,1557875.6101602493,263492.0667822951,140145929171.78024,374360.6939460662,1548993.1671074026,3672860334053.0093,1916470.8017741907,,,,,
307835.68565395486,165263682776.9985,406526.36172454857,1048940.1559345212,2149399051798.4768,1466082.8939041875,295968.9807049065,242473614346.14343,492416.0987885585,1104590.864612347,2467471404334.3906,1570818.70511348,,,,,
266211.8730564248,120877003896.86081,347673.70320008503,706063.2507853407,899061113552.0897,948188.3323222712,221509.8047682688,87032072648.35353,295011.987296031,754620.0288904058,1133155371956.622,1064497.7087606257,,,,,
277103.8929092586,142324210955.6862,377258.8116342496,845356.0054561975,2256347192272.321,1502114.2407527866,269416.2491405373,148543488991.5578,385413.40011934954,709779.237231872,1376041793100.745,1173048.0779152852,,,,,
300252.96410967683,174801418686.40964,418092.5958282563,1005817.4159524207,2306208018252.1055,1518620.432580869,261539.70944369628,117231022623.25351,342390.16139961366,1192800.8683884267,3280555958597.0073,1811230.5095147353,,,,,
246060.2009235129,103951513405.31013,322415.1258941028,774477.3907944874,2038730433962.1091,1427841.1795301707,300603.9879799999,209880768250.88312,458127.45852097,924524.4399800055,2303577905988.498,1517754.2310889792,,,,,
224423.22919336442,94031692427.54443,306645.8746299132,1035689.8968867839,2856196204764.4,1690028.4627083652,250450.45568952113,123094978796.37935,350848.9401386006,1037647.3205761431,2431361402882.338,1559282.3358463142,,,,,
