target_rmse,target_mae
1224362.442448447,821551.5197276307
1711263.471156051,974730.2569924927
1002182.4414167893,669911.2718588257
1539460.2114751127,915640.7597833801
1997203.3779730515,1103722.5420466615
1232408.7099316893,786591.467827301
1450207.8121879033,954224.3489874267
1323442.1589729823,765985.76537323
1498873.8266199029,903420.6873582458
1195241.8857954193,822949.5200216675
1733558.7681882118,1084605.6434291077
1640369.4904732548,1028933.1539263916
1428926.3482491306,906648.125045929
1473703.9991344677,821387.6189369019
1105662.512901195,734628.926756134
976462.140438684,702058.2566108704
1793873.240640935,1015945.6191407776
1982143.219582098,1005610.7688136292
1854804.3213062882,1093837.2206579589
2410541.7094201627,1193217.2538337708
1606661.0103485014,958127.8434547425
1381793.1781359182,883973.664753418
2212628.6507790615,1131727.9608848572
1277076.659628195,792647.4768251037
1536140.243607951,776033.0440992736
1278742.084746109,847607.730380249
1394077.8456391252,868055.6087858581
1251256.5769209377,866397.4049995423
1616187.9569751516,939147.4379107361
1358292.7433546914,838372.2235314941
1836108.5229583145,976789.3129109192
1585764.5126261485,799133.9352052307
1339280.8676183189,878597.2451611512
2477687.4315222474,1220573.0648204498
1738938.5064105769,961537.010094452
1412808.5862908592,880519.179246521
1501100.7074864944,861749.3275019836
1392018.7399057287,833300.4885076904
1261987.8795472507,805666.8173431397
1642506.6820803126,995567.8767887879
1996215.7888281748,977032.7545133972
1256266.8798774641,769901.9873629761
1641174.9367321192,924762.9150475678
1638595.8747546384,919049.1303851318
1530120.4423848984,940258.3282835388
1661579.8086292369,991472.0012139892
1191877.6902959617,809630.8930542298
1212890.1051590259,770659.470675354
1732981.4832917294,1002385.9035268066
1808948.9047295738,1046079.3881463287
1493631.9849740583,967597.5926382446
1231061.4910653024,832273.3912672424
1786111.0650267457,1091121.8981756591
1425938.8428768455,827699.2032194824
1355477.4943237607,874920.2325093079
1774250.3671006758,968119.6921170044
1670389.8888863109,851955.7512893677
1348099.589938749,835339.735378418
1394163.2806767898,833387.6650805664
1144753.7099075066,739372.462162323
1646962.9796218832,929529.9588461304
1259317.231659634,873242.1014822387
1890866.5988071626,867809.7141177368
1117132.3182588357,806594.0806105041
1092405.2220088523,745360.7873475647
1096126.1572737694,779082.1408280944
1545425.969350369,939468.2960424805
1430398.9103150482,892189.4233982849
1294134.061121482,824538.0721102905
1083472.6113538088,710686.4693289185
1656413.9420746553,923834.6516031738
1132621.0662670268,793822.3548512268
1695365.1056242578,1053736.3645625305
1355685.8126339524,854220.3356274414
1336512.6675672603,836916.6892353821
1603488.7958467153,1051601.9449237061
1741200.6840544331,914100.2732519531
1677865.3785909645,986079.0046092224
1529021.832087574,861746.386425476
1162699.4682960548,796963.4436071777
1631737.2866792968,851105.9872454834
1092600.2224800573,744731.4793115235
1681468.1781858562,863967.0150653076
1600345.2044104682,886588.7653076386
899469.7541264882,683496.6015473938
1192952.6452025757,773378.8580169678
1061696.8120913215,724051.4583045959
1522484.5740753168,917380.1646084595
1434433.0639838292,962806.6333984375
1780785.6918465574,957417.286938324
1098088.2108241497,770481.20293396
1177020.2534580347,783755.8372813873
1447380.6335262277,741513.6815826416
1570065.5630610345,1014697.6848127746
1154961.6590646422,738509.464930725
1308793.7549722106,851804.7487333679
1434736.1212152562,861949.3016456604
1452502.6839836878,801026.4874085175
1604375.6401229247,952327.3099771119
1287506.1422778121,830361.8476841492
