target_rmse,target_mae
1374408.9,723092.4
908010.2,625519.94
1287266.8,734537.25
671915.25,549031.5
1517771.6,756414.4
1620879.0,801657.94
1304244.9,765404.8
832425.94,573076.3
1897186.9,850686.4
1016744.0,641545.2
1686416.9,828314.25
1130704.9,738788.56
772976.75,644730.94
1288318.0,776159.8
1188543.6,723251.7
2081903.8,943380.25
1081721.4,722284.8
1167896.1,615726.4
1199395.1,702205.7
1517042.0,783295.75
1479030.8,798922.5
1277078.6,676046.25
957458.4,598017.8
1473732.5,789079.25
933313.56,572675.7
1427489.6,659848.56
1290787.1,767486.75
1358337.0,782332.9
1144071.6,648677.8
1417595.4,836466.4
1704594.1,795928.5
1368434.6,787306.56
996475.94,579924.25
833557.25,609278.3
1626422.5,734153.75
,
1519514.0,806647.2
1850987.5,1043050.25
1172379.5,638270.2
1110827.6,727806.3
1195831.4,707992.5
1271913.4,688309.7
1404413.0,745397.1
1328393.8,766292.4
1501232.4,828032.56
1666386.4,793464.94
1324578.6,733844.9
980919.9,633892.75
1213114.9,649333.75
1018799.0,643636.8
1751739.5,859673.94
1393638.9,730942.94
1457265.4,811128.25
1456784.8,748152.94
1049491140.0,1049490800.0
1988465.4,874987.4
676037.6,518958.84
1092699.9,577785.06
871432.44,657243.7
953855.9,652409.75
782693.1,549988.06
966415.7,709225.4
1055614.8,612935.2
594382700.0,594381760.0
1337853.0,723828.5
885733.1,669325.7
1021641.75,624356.06
1222159.2,761139.7
1218913.6,696532.75
1278719.0,751272.0
980700.44,630872.25
988027.0,651571.44
1606992.8,878797.6
867685.2,548622.8
1211691.6,727922.9
837142.56,585300.8
989457.44,614334.8
1451639.9,755422.4
1081606.2,723067.75
1219138.9,723592.9
1251712.5,726760.0
777505.25,534116.5
741682.1,531885.2
672805.6,476669.75
781807.75,550041.9
735944.06,510936.56
1070058.6,620214.9
1220937.8,731065.25
1459848.8,752151.25
1585079.0,784308.94
1409421.8,690113.8
937519.94,730964.0
831480.5,626132.94
615037.94,467765.72
994666.44,650525.75
1710291.5,888286.2
1434651.0,821137.5
917902.2,624637.3
1009819.2,684516.75
1079495.2,694757.75
