source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
339164.5037700656,224678145652.764,474002.2633413938,951354.5499856903,2177285742499.8035,1475562.85616703,337605.2079536071,329474667383.3297,573998.8391829113,612925.0890844305,1209638523342.6567,1099835.6801552933,,1.3257434462212319,,,
333601.97764536645,230628748253.6767,480238.22031745524,982686.8522016929,1826347108749.7222,1351424.1039546847,273187.9725048856,148969151639.6727,385965.22076434904,639205.6167877975,1205356647035.0093,1097887.3562597437,,1.3940966717792813,,,
449542.6088699407,548170632993.48315,740385.462440669,1240994.7362788052,2930230875558.053,1711791.7150045016,174474.57258547362,57951869548.96777,240731.94542679162,577667.5974281275,988990427330.4828,994479.9783457095,,1.3492501215755661,,,
520872.158597324,645987602334.619,803733.5393864182,1164513.9107134824,3107879356947.115,1762917.8531477624,341618.54026760877,264173669577.9747,513978.27734056494,760543.9227026011,1374741565945.4116,1172493.7381263115,,1.2923560809172328,,,
487432.2994938223,505815268243.35504,711206.9095863418,1279785.4712570552,3335172912937.68,1826245.5784854565,229419.8352677146,101641205003.54749,318812.1782547641,795361.8550144678,1041586881220.8654,1020581.6386849537,,1.423597996831092,,,
550346.58753356,800457742066.605,894683.0400016562,1377903.6496053464,3519358173773.494,1875995.2488675162,320787.56893052696,211924823787.3283,460352.93394017627,724648.7708621351,1259937372828.945,1122469.3193263435,,1.3978625311081692,,,
512555.3335323283,534037109221.16565,730778.4268991291,1516116.1215364607,5130001529709.049,2264950.6682727216,396617.81943646836,278217658276.8204,527463.418899188,830724.8712684604,2869375314963.22,1693923.0546170685,,1.3300553776207646,,,
548426.7479998099,708601229135.1609,841784.550306764,1038666.3286854486,1682498135426.8174,1297111.4583669428,212614.57059725322,94993340493.5327,308209.8968130853,701281.3823989293,710987849818.2753,843200.9545880954,,1.3429509978188872,,,
429769.9029674677,409871598693.3021,640212.1513165009,1196414.7436226434,3041412069569.3237,1743964.469124679,262585.0747927075,146157617572.46652,382305.6598750096,718049.0872759781,1171423222108.188,1082323.0673455074,,1.3346538718414385,,,
498407.2295797626,567551654889.2052,753360.2424399665,1080498.480249287,2215330471689.9214,1488398.6266084504,229590.96061126023,107148489440.16537,327335.4387171749,616602.3374448821,618866823311.171,786680.8903940473,,1.3683898505188243,,,
293425.3758417048,151634601065.538,389402.8775773723,756540.4467748061,1237412531613.989,1112390.4582537506,211013.35982505442,89073556075.88158,298451.9326053721,517906.57526598393,936232928611.4655,967591.3024678681,,1.3422276786926521,,,
405686.2692916908,293684839946.87616,541926.9692005337,935954.1735245514,2005501413084.5674,1416157.2698978626,268286.4799478547,145670584835.77094,381668.1606261792,577053.9400744971,1230121958694.3486,1109108.6325037547,,1.3749327489180128,,,
340769.43517567025,448774751735.1218,669906.5246249822,1026844.6534661457,2010528004485.0935,1417930.8884727398,357493.70146423497,389800858633.01373,624340.3387840751,783516.2424778229,1435602601852.6348,1198166.3498248626,,1.4065994495048542,,,
392352.0497284034,400772746690.6943,633066.1471684411,1119636.541322606,2407770939143.0654,1551699.3713806374,252182.75764669274,223855985109.8019,473134.2146894493,695700.3629082154,1457090179600.314,1207099.9045647853,,1.4132277970887537,,,
446929.4629337343,610861790335.1765,781576.4775984347,1323179.8001745767,2723714770472.4707,1650368.0712109255,285557.2435985862,155942954855.3538,394896.13173004595,769582.3698529616,1159690377113.9695,1076889.213017741,,1.3946615302314198,,,
587944.9422656517,837901881802.2289,915369.8060359152,1110055.8968599606,3262165854785.578,1806146.6869514165,297715.2390793318,207954762622.3076,456020.57258670643,763468.740574386,1451318865728.7957,1204706.962596629,,1.3425031988515168,,,
513964.9207119877,1082976689711.6517,1040661.6595760852,1038690.7509397874,1984630757414.96,1408769.234976034,251153.2231895519,106753456448.33745,326731.4745296777,644918.9953184957,1251149377816.2498,1118547.8880299446,,1.4248587198453517,,,
509460.87416354346,495943075816.87866,704232.2598524429,930052.6342875143,2281623724201.0195,1510504.4601725014,343964.50113664573,256922739178.94388,506875.4671306788,759088.1663906738,1623537906729.3137,1274181.269180062,,1.3671374210626186,,,
