source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
316845.11489840015,197602071502.81784,444524.54544470075,739376.6942864008,1394960185600.7507,1181084.326202304,327500.28018858423,316640697251.7476,562708.3589673674,946932.2130412709,2172819388432.4087,1474048.6384215443,,,,,
334197.70439349505,214811326330.79388,463477.4280704443,719070.9411223069,1349064937470.2522,1161492.5473158457,285769.72001703735,157063589749.3453,396312.4900244065,984480.1298133199,1841210370676.7332,1356912.0718295395,,,,,
471448.6062512288,594533167763.6573,771059.7692550542,606058.9234047789,1101186750585.5364,1049374.4568005914,175175.20161832526,56993923789.50254,238734.00216454826,1192097.9946811816,2828289541684.9717,1681751.9263211717,,,,,
570417.0981848347,716150659530.8638,846256.8519845874,828797.0658916289,1475682636218.4248,1214776.7845239819,342246.55781165196,241513911916.95267,491440.6494348556,1157094.7322538944,2915034716484.7007,1707347.274717332,,,,,
475696.36204779556,483363320174.49554,695243.3532041105,853273.0828842669,1151084027792.3914,1072885.8409879364,213330.31237838548,95505192039.85678,309039.1432162871,1322446.944610665,3228570902354.716,1796822.445973646,,,,,
502175.1012025864,648528787553.393,805312.8507315607,821060.068981447,1418841538657.4612,1191151.3500212561,319381.66555768077,204192685706.93802,451876.8479430408,1372916.3169529105,3849954766036.0723,1962130.1603196645,,,,,
503966.1029484721,535464439123.84125,731754.3570924886,915414.0612317972,2995707753870.206,1730811.2993247432,344695.7120972845,227921227776.2557,477410.96319235873,1417993.266375068,4651672960072.553,2156773.738729344,,,,,
542060.4674091152,668785379015.0653,817792.9927647127,829637.1159934406,976726988360.4446,988294.9905571942,221796.35343876685,96756398922.16412,311056.9062441214,1069177.0456543274,1853371727240.3467,1361385.958220646,,,,,
428794.1774719954,410279693061.70966,640530.7900965493,816201.8028322114,1369909391063.161,1170431.2842124312,258644.46350161376,151206023811.1655,388852.1876126782,1190818.6516307786,3051746131649.764,1746924.7641640909,,,,,
490104.6928271283,559945287582.0287,748294.9201899132,697448.901970832,688698963972.4832,829878.8851226926,246186.09560859698,117883086893.4168,343341.0649680821,1064360.1723725516,2164315933330.0193,1471161.4232741487,,,,,
309190.7607896661,169666536015.86948,411905.9795825614,571950.1625275766,1016075383083.566,1008005.6463550023,205600.43277325452,84976206037.31851,291506.7855768001,755332.9264739688,1300926483810.9932,1140581.642764337,,,,,
379845.6857960227,276741613585.0119,526062.3666306229,682336.7183029072,1507928273060.4446,1227977.3096684013,288372.3669486847,143999418142.67554,379472.55255509,937374.9892526967,2000396861598.2822,1414353.8671769106,,,,,
349921.68416250864,485531909119.6799,696801.1977025297,886258.5886398618,1656412064783.0557,1287016.7305762018,358674.44701429934,378629317319.75775,615328.6254675284,977921.5845989825,1929405619613.0483,1389030.4602898557,,,,,
389051.3583368535,400548150448.615,632888.7346513722,785184.9462305921,1580487423524.0454,1257174.3807141655,260088.9433350492,239554297689.7349,489442.8441500957,1132575.428875073,2557957473925.6553,1599361.5832342776,,,,,
421008.41568570695,566050292561.1588,752363.1387575808,873012.7853872107,1433822547801.8467,1197423.2951641816,261120.00020318176,135779968350.29631,368483.33524095267,1325425.5374626294,2833537228910.857,1683311.387982288,,,,,
